layer,proj,n_rows,n_ablate,pearson_sens_rms_top,spearman_sens_rms_top,mean_sens_top,mean_sens_random,top_over_random_ratio,top16_sensitive_channels
0,k,4000,64,0.9723560668927346,0.853617216117216,0.018634476084116613,0.005304276906826999,3.513103936963143,3573;604;2361;494;2790;3230;3510;1601;707;1801;2117;1762;4030;2017;3078;1769
0,v,4000,64,0.9297215066995203,0.7602106227106227,0.012857915753556881,0.008651355798065197,1.486231297576785,3573;604;2361;1601;2790;494;3230;3510;3331;3234;707;2117;2755;346;1326;2561
1,k,4000,64,0.8962225313367685,0.8250457875457875,0.024703159520868212,0.004900603256828617,5.040840530489025,3573;604;2361;2790;1601;3510;707;494;3230;3331;1371;1633;1769;1801;2082;2295
1,v,4000,64,0.9731465221444205,0.8212454212454212,0.016559476986003574,0.009591074172931258,1.7265508208391436,3573;604;2361;494;3230;2790;3510;1601;2117;707;1801;1769;3331;980;2082;3234
2,k,4000,64,0.9157170316168172,0.8412087912087911,0.02275130499037914,0.0060143398368381895,3.782843272511148,3573;604;2361;2790;3510;494;1601;3230;707;3331;1633;1371;1769;1801;2082;2117
2,v,4000,64,0.974133561420013,0.8032967032967033,0.012146273962571286,0.00881684754131129,1.3776209586998058,3573;604;2361;494;3230;2790;3510;1601;1801;2117;3234;707;2755;1326;2561;4069
3,k,4000,64,0.9195908087806193,0.8528388278388277,0.020585078760632314,0.005808108508063015,3.54419665749278,3573;604;2361;2790;494;3510;1601;3230;707;3331;1633;1371;1801;2117;2082;1769
3,v,4000,64,0.9625470709815576,0.7471611721611722,0.011829575341835152,0.009692339379398618,1.2205077514082203,3573;604;2361;494;3230;1601;2790;3510;3234;2755;1326;2561;1801;3958;957;2928
4,k,4000,64,0.9215215149606564,0.8447802197802197,0.02090308361221105,0.005967587057966739,3.5027697810131477,3573;604;2361;2790;494;3510;1601;707;3230;3331;1633;1371;1801;2117;1769;2082
4,v,4000,64,0.9628157027648102,0.7062728937728937,0.013027497290750034,0.011034973933419678,1.180564391846541,3573;604;2361;494;3230;2790;1601;3510;1801;2561;2755;957;1326;3234;4069;2693
