config,dataset,tensor,abs_p50,abs_p75,abs_p90,abs_p95,abs_p99,abs_p99_5,abs_p99_9,abs_p99_99,absmax,absmax_over_rms,channel.absmax_top1,channel.absmax_top10_ids,channel.energy_gini,channel.rms_mean,channel.top0.1pct_energy,channel.top0.5pct_energy,channel.top1pct_energy,channel.top5pct_energy,count_rows,dim,excess_kurtosis,kurtosis,max,mean,mean_abs,median_abs,min,p99_9_over_rms,p99_over_rms,rms,row.absmax.max,row.absmax.mean,row.absmax.median,row.absmax.p90,row.absmax.p95,row.absmax.p99,row.kurt.max,row.kurt.mean,row.kurt.median,row.kurt.p90,row.kurt.p95,row.kurt.p99,row.max.max,row.max.mean,row.max.median,row.max.p90,row.max.p95,row.max.p99,row.min.max,row.min.mean,row.min.median,row.min.p90,row.min.p95,row.min.p99,row.range.max,row.range.mean,row.range.median,row.range.p90,row.range.p95,row.range.p99,row.rms.max,row.rms.mean,row.rms.median,row.rms.p90,row.rms.p95,row.rms.p99,skewness,std
R0,gsm8k,C_Zt_fp,2.28125,3.96875,5.96875,7.59375,67.0,121.0,254.0,596.0007999995723,1552.0,80.59491409574277,1552.0,432.0;2017.0;2117.0;2062.0;3960.0;977.0;2910.0;3230.0;4030.0;3447.0,0.7525191318440307,13.771352736500758,0.07287868691973454,0.19829779199174066,0.2800799091710246,0.5161061597255443,42995,4096,726.398316006219,729.398316006219,1552.0,0.03336098706801688,4.462884355963506,2.28125,-1320.0,13.190147023401199,3.4792907502672454,19.256798241093737,1552.0,168.09911617629956,132.0,225.0,249.0,1544.0,570.9793608372908,260.4306552899594,246.13973075731235,411.8242270831143,454.5209100412207,519.8775051913516,1552.0,146.0524595883242,103.5,225.0,249.0,1544.0,-64.5,-155.50465170368648,-130.0,-105.5,-95.5,-85.0,2872.0,301.5571112920107,237.5,389.0,455.0,2856.0,143.66611451023115,7.412993057825804,4.730623865448805,7.249965674392077,7.932045954576315,143.59885270304258,2.253425104492175,19.256769343343464
R0,gsm8k,C_Ht_fp,0.515625,0.91015625,1.3671875,1.671875,2.359375,2.6875781250000728,5.625,21.25,27.125,28.659171049881376,27.125,3573.0;604.0;2361.0;3230.0;1601.0;494.0;707.0;3510.0;2117.0;3331.0,0.35496298029982765,0.8325679808526523,0.21381818652925716,0.25277877972177754,0.26362989161676087,0.3107636946886854,42995,4096,79.18077563805168,82.18077563805168,22.375,-0.001551678717900967,0.6545387687815849,0.515625,-27.125,5.943146070251898,2.4928196016889905,0.9464684080634731,27.125,19.46137923014304,20.375,23.375,24.25,25.625,237.00630561553902,83.6365265740731,78.36643212277463,134.02280357718863,159.59170140774663,201.52565727440455,22.375,14.682723281776951,15.1875,18.25,19.75,21.25,-6.8125,-19.46137923014304,-20.375,-14.0,-12.5,-6.84375,48.5,34.14410251191999,35.5,41.375,44.125,46.375,1.1302465013849516,0.9384411319524663,0.9897179358567866,1.0385795112240608,1.0514203145007537,1.0800722833294112,-0.823409136134387,0.9464671361200881
R0,mtbench,C_Zt_fp,2.296875,4.0,6.0,7.5625,58.5,114.0,240.0,572.0,1552.0,113.1504784421533,1552.0,432.0;2017.0;2117.0;2062.0;977.0;3960.0;2910.0;3230.0;4030.0;3447.0,0.7276911302038512,10.104180365616454,0.09493345062106191,0.22424811135095593,0.29873198294649334,0.5153766062822873,125480,4096,1303.8450793441175,1306.8450793441175,1552.0,0.03450146186877123,3.893790101699968,2.296875,-1320.0,17.49749666631237,4.265014812413639,13.7162477911522,1552.0,173.16866831367548,161.0,212.0,227.0,284.0,724.0225585915091,306.9461389520056,300.10815579924093,456.0549560353561,496.0866672620602,570.6766405186079,1552.0,144.60970473382213,130.0,184.0,213.0,284.0,-51.5,-167.3099458080969,-157.0,-116.0,-108.0,-91.0,2872.0,311.91965054191905,290.5,384.0,413.0,518.0,143.6648585648351,6.528256393533697,5.416860740806076,6.625096157975672,7.115750617363966,8.709398925941757,2.7633452076383698,13.716204399082734
R0,mtbench,C_Ht_fp,0.515625,0.90625,1.3515625,1.65625,2.3125,2.65625,6.687531250001484,21.500012499993318,29.125,30.030643363741433,29.125,3573.0;604.0;2361.0;3230.0;3331.0;1601.0;494.0;707.0;3510.0;1371.0,0.3659196254139121,0.8418079758632957,0.24546369592619924,0.2721049135200174,0.28379199086958695,0.32613226909411297,125480,4096,102.14977629267494,105.14977629267494,23.75,0.00240151239860477,0.6661909427525999,0.515625,-29.125,6.895480376057357,2.3844073057047916,0.9698426919206502,29.125,21.505647314313038,22.125,25.25,26.0,27.125,380.72118074467625,107.30633288732653,99.04748881718078,176.46321147810602,202.0456477509006,256.92966670651026,23.75,16.792327960631177,17.375,20.25,20.875,22.0,-6.8125,-21.50563536021677,-22.125,-16.875,-14.125,-12.0,51.375,38.29796332084794,39.625,45.125,46.25,48.0,1.1314340971296515,0.9654576302728856,0.9897033933242958,1.036389495910525,1.0498828230980464,1.0823288714981605,-0.8689193693517769,0.9698397186185419
R0q,gsm8k,C_Zt_fp,1.84375,3.1875,4.6875,5.84375,21.125,38.0,75.0,168.00009999994654,290.0,47.46573440098416,290.0,2017.0;432.0;2117.0;2062.0;2910.0;3230.0;4030.0;977.0;3447.0;3960.0,0.6256986495374588,4.9463527429086644,0.07735417117154822,0.17675840375149757,0.24569492428668407,0.4417125222662251,42995,4096,278.7232904881521,281.7232904881521,288.0,0.01659761677439383,2.6690751024406705,1.84375,-290.0,12.275620965771765,3.4576332386923805,6.109670558346762,290.0,75.31953134085359,70.0,88.0,96.14999999999782,284.0,272.1407711550789,98.84204259895374,90.82755331521457,161.9144132685183,181.33876901199156,227.9072298651322,288.0,61.05866379811606,53.5,82.5,95.5,284.0,-35.75,-73.63532387486917,-69.5,-58.5,-55.25,-50.0,578.0,134.69398767298523,124.25,161.5,178.0,568.0,40.4059704636748,3.9036945040762525,3.273752128106571,3.7545731132720577,4.026193726070837,39.85321800510739,0.32421965556201404,6.109648013645847
R0q,gsm8k,C_Ht_fp,0.640625,1.1015625,1.609375,1.9453125,2.671875,2.984375,4.53125,16.25,22.0,21.076794836994118,22.0,3573.0;604.0;2361.0;3230.0;494.0;707.0;3510.0;2790.0;1601.0;2117.0,0.25561648937595605,0.9784813958020918,0.11636170998049405,0.1342797070836027,0.14242313894673694,0.1960267085742242,42995,4096,21.353169341648695,24.353169341648695,16.75,0.002784417755506021,0.7814714847377027,0.640625,-22.0,4.341101209324073,2.5597527820497117,1.0438019713218192,22.0,15.920906500755901,16.125,18.625,19.25,20.375,85.46993552056621,25.143833447967882,22.88983815125519,41.35169371273244,48.55176189417802,59.532647812425516,16.75,11.587654814513316,11.75,13.6875,14.25,15.1875,-5.3125,-15.919340911733922,-16.125,-13.5625,-12.625,-5.375,38.375,27.506995726247236,27.75,32.125,33.375,35.4375,1.1493318114186315,1.042361648428268,1.0585985417316985,1.0926791260001467,1.1007466032856104,1.1150957213231738,-0.3394816215303273,1.043798257496667
R0q,mtbench,C_Zt_fp,1.7734375,3.0625,4.5,5.5625,18.375,35.75,72.5,168.0,290.0,61.132226658854435,290.0,2017.0;432.0;2117.0;2062.0;2910.0;3230.0;4030.0;977.0;3447.0;3960.0,0.5491928568455965,3.975817224562827,0.12776859142509148,0.20580839284125257,0.25947697992192575,0.41607648867592795,125480,4096,367.47682396893157,370.47682396893157,288.0,0.016748380993167368,2.38423448985897,1.7734375,-290.0,15.283056664713609,3.873464361573966,4.743815428453663,290.0,75.36780164169589,73.0,89.0,95.0,123.5,429.740061588351,118.95621751675277,110.55961576606951,194.59162563027672,223.1099288490075,281.8273421001624,288.0,59.2786320529168,56.0,72.5,80.0,123.5,-31.125,-74.59485973860376,-72.5,-59.75,-56.25,-50.5,578.0,133.87349179152056,128.75,159.5,170.5,215.0,40.4059704636748,3.4884140779902357,3.2123244940200073,3.675922607974743,3.8528638594829485,4.556873975712284,0.1504469850730143,4.743785862680684
R0q,mtbench,C_Ht_fp,0.63671875,1.1015625,1.609375,1.9375,2.65625,2.96875,4.718781250001484,17.0,25.0,23.701907981933537,25.0,3573.0;604.0;2361.0;3230.0;494.0;707.0;3510.0;2790.0;1601.0;1757.0,0.26475286680079635,0.9814710116139695,0.13417391323828026,0.14632123898202423,0.15400674182860388,0.20641332952535968,125480,4096,28.771145595843404,31.771145595843404,19.875,0.0044645118990462515,0.7844973961695918,0.63671875,-25.0,4.47376475897634,2.5183277230804384,1.0547674060272243,25.0,17.204267114281162,17.25,20.375,21.125,22.5,164.2231014483256,32.82741546618662,28.70297465902548,56.84996961624654,68.03947454384951,92.05796226396815,19.875,12.843923832483265,12.875,15.5,16.125,17.5,-5.3125,-17.203307299968124,-17.25,-14.1875,-13.25,-10.8125,44.5,30.047231132451387,30.125,35.625,37.125,39.625,1.1457292947515891,1.0539119104560304,1.0616589938016474,1.0958818992470805,1.1041416394997912,1.1196383077824623,-0.35073410250595255,1.0547579575195927
R1,gsm8k,C_Zt_fp,2.6845743656158447,4.674445986747742,6.954882669448853,8.77503981590271,64.19146781921445,115.74630428314241,238.92828387454216,558.6791645629742,1452.245849609375,79.30027957812786,1452.245849609375,432.0;2017.0;2117.0;2062.0;3960.0;977.0;2910.0;3230.0;4030.0;3447.0,0.7404186937967628,13.319593126595805,0.07272234071276099,0.2003801754712157,0.2802667989324916,0.5096427935648893,42995,4096,689.6413572148118,692.6413572148118,1452.245849609375,0.03887373545715654,4.825692913055804,2.6845743656158447,-1243.1151123046875,13.046743921127318,3.5051925581080634,18.31325005832546,1452.245849609375,171.8565424706523,143.64312744140625,215.8852081298828,232.21121215820312,1449.0820385742188,462.5238426346263,210.35524219652248,194.40852270807233,359.89375922687975,404.42613883758287,443.8467726620354,1452.245849609375,148.10610999355677,112.78450012207031,215.8852081298828,232.21121215820312,1449.0820385742188,-62.116031646728516,-160.45324650123544,-140.8478546142578,-113.39041137695312,-103.64884185791016,-88.63973236083984,2695.3609619140625,308.5593564947922,256.79180908203125,391.7687683105469,415.0338592529297,2688.47607421875,135.08650985802424,7.781594205443822,5.472677549561105,7.1066468684537805,7.465482053261046,134.6210860118046,2.0811942180447067,18.313208799428054
R1,gsm8k,C_Ht_fp,0.471238911151886,0.8268972784280777,1.2229302525520327,1.493990969657898,2.12975331068039,2.52089524269104,11.26695158863421,27.20274356880186,33.00542068481445,33.00542167999289,33.00542068481445,3573.0;494.0;604.0;3230.0;2361.0;1601.0;3510.0;1801.0;2117.0;707.0,0.524933550124383,0.7626008773073902,0.3559755859029584,0.4586624312310255,0.4715719641490674,0.5111593834066466,42995,4096,207.30529889733768,210.30529889733768,32.91232681274414,0.0024510254457849093,0.603098638741731,0.471238911151886,-33.00542068481445,11.266951928354992,2.1297533748966466,0.9999999698480314,33.00542068481445,26.19613114219583,26.491682052612305,30.501506805419922,31.35633659362793,32.25588607788086,462.52386438112444,210.3552422204446,194.4085163706239,359.8937662973629,404.42613895516604,443.8467968292114,32.91232681274414,21.672273698680996,20.68340301513672,29.795764923095703,31.209810256958008,32.25588607788086,-9.199134826660156,-25.052596846402057,-25.233884811401367,-21.672439575195312,-20.633586883544922,-9.206130981445312,59.31644821166992,46.72487054508306,47.05478096008301,54.32784194946287,56.5105037689209,57.996665954589844,1.000000125136428,0.9999999698480305,0.9999999682181486,1.0000000263975002,1.000000045811966,1.0000000754665754,-0.4635939670565855,0.9999969660805617
