basis,alpha,k_nmse,v_nmse
m3,none,0.26974396109580995,0.591725742816925
m3,0.25,0.45280752778053285,0.8974108934402466
m3,0.5,0.5529171168804169,0.9848692536354064
m3,0.75,0.653481525182724,0.9927582979202271
m3,0.9,0.7390599191188812,0.9956999659538269
m5,none,0.011013672221451998,0.031212252750992774
m5,0.25,0.013068002089858055,0.03734121285378933
m5,0.5,0.013828741386532784,0.03937204293906689
m5,0.75,0.01516952458769083,0.04299343526363373
m5,0.9,0.016363721899688245,0.046059435606002806
