cell,comp,layer,direction,val_ce,delta_vs_fp,delta_vs_w4a4
ref_fp16,-,-1,ref,2.2218,0.0,-2.4757
base_w4a4,-,-1,ref,4.6975,2.4757,-0.0
restore_q,q,-1,restore,4.3976,2.1758,-0.2999
only_q,q,-1,only,2.518,0.2962,-2.1795
restore_k,k,-1,restore,4.2398,2.018,-0.4577
only_k,k,-1,only,3.0239,0.8021,-1.6736
restore_v,v,-1,restore,3.4266,1.2048,-1.2709
only_v,v,-1,only,3.992,1.7702,-0.7055
restore_o,o,-1,restore,4.4618,2.24,-0.2357
only_o,o,-1,only,2.4997,0.2779,-2.1978
restore_mlp,mlp,-1,restore,4.2062,1.9844,-0.4913
only_mlp,mlp,-1,only,2.4041,0.1823,-2.2934
restore_fc,fc,-1,restore,5.065,2.8432,0.3675
only_fc,fc,-1,only,2.6188,0.397,-2.0787
restore_q@0,q,0,restore,4.5089,2.2871,-0.1886
only_q@0,q,0,only,2.3588,0.137,-2.3387
restore_q@1,q,1,restore,4.4972,2.2754,-0.2003
only_q@1,q,1,only,2.3848,0.163,-2.3127
restore_q@2,q,2,restore,4.5876,2.3658,-0.1099
only_q@2,q,2,only,2.3946,0.1728,-2.3029
restore_q@3,q,3,restore,4.5305,2.3087,-0.167
only_q@3,q,3,only,2.5033,0.2815,-2.1942
restore_q@4,q,4,restore,4.5244,2.3026,-0.1731
only_q@4,q,4,only,2.3491,0.1273,-2.3484
restore_k@0,k,0,restore,4.334,2.1122,-0.3635
only_k@0,k,0,only,2.5784,0.3566,-2.1191
restore_k@1,k,1,restore,4.4764,2.2546,-0.2211
only_k@1,k,1,only,2.4596,0.2378,-2.2379
restore_k@2,k,2,restore,4.3806,2.1588,-0.3169
only_k@2,k,2,only,2.5103,0.2885,-2.1872
restore_k@3,k,3,restore,4.4833,2.2615,-0.2142
only_k@3,k,3,only,2.5279,0.3061,-2.1696
restore_k@4,k,4,restore,4.7179,2.4961,0.0204
only_k@4,k,4,only,2.3734,0.1516,-2.3241
restore_v@0,v,0,restore,4.4202,2.1984,-0.2773
only_v@0,v,0,only,2.6237,0.4019,-2.0738
restore_v@1,v,1,restore,4.2255,2.0037,-0.472
only_v@1,v,1,only,2.7135,0.4917,-1.984
restore_v@2,v,2,restore,4.0602,1.8384,-0.6373
only_v@2,v,2,only,2.6368,0.415,-2.0607
restore_v@3,v,3,restore,4.0439,1.8221,-0.6536
only_v@3,v,3,only,2.3872,0.1654,-2.3103
restore_v@4,v,4,restore,4.2966,2.0748,-0.4009
only_v@4,v,4,only,2.5415,0.3197,-2.156
restore_o@0,o,0,restore,4.5582,2.3364,-0.1393
only_o@0,o,0,only,2.6293,0.4075,-2.0682
restore_o@1,o,1,restore,4.5757,2.3539,-0.1218
only_o@1,o,1,only,2.4308,0.209,-2.2667
restore_o@2,o,2,restore,4.5386,2.3168,-0.1589
only_o@2,o,2,only,2.317,0.0952,-2.3805
restore_o@3,o,3,restore,4.5528,2.331,-0.1447
only_o@3,o,3,only,2.29,0.0682,-2.4075
restore_o@4,o,4,restore,4.7942,2.5724,0.0967
only_o@4,o,4,only,2.2067,-0.0151,-2.4908
