candidate,layer,Kcache_nmse_postknorm,Vcache_nmse
R1D_DeltaR,0,0.014366529881954193,0.02343398705124855
R1D_DeltaR,1,0.004089259542524815,0.02827279455959797
R1D_DeltaR,2,0.012997637502849102,0.023703517392277718
R1D_DeltaR,3,0.012563709169626236,0.03105778619647026
R1D_DeltaR,4,0.01209617406129837,0.03788529336452484
R1DC,0,0.016888806596398354,0.028302282094955444
R1DC,1,0.004485631361603737,0.03406672179698944
R1DC,2,0.014748716726899147,0.0291155818849802
R1DC,3,0.01437784917652607,0.03762499615550041
R1DC,4,0.014084912836551666,0.047516077756881714
none,0,0.36465534567832947,0.5787215232849121
none,1,0.10091681778430939,0.5955209136009216
none,2,0.3515891432762146,0.5698696970939636
none,3,0.3446072041988373,0.5866224765777588
none,4,0.34029367566108704,0.6537572741508484
R1_D,0,0.03381158411502838,0.05606229975819588
R1_D,1,0.008041941560804844,0.06604617834091187
R1_D,2,0.028387190774083138,0.05625651776790619
R1_D,3,0.027581801638007164,0.0736464187502861
R1_D,4,0.02683977782726288,0.09173218160867691
R1_T_currentRC,0,0.015059282071888447,0.0252697616815567
R1_T_currentRC,1,0.004128668922930956,0.030064137652516365
R1_T_currentRC,2,0.013615702278912067,0.025182070210576057
R1_T_currentRC,3,0.012576437555253506,0.0332239493727684
R1_T_currentRC,4,0.012427737936377525,0.04063817113637924
Hadamard,0,0.014770186506211758,0.025129402056336403
Hadamard,1,0.004055352881550789,0.029792260378599167
Hadamard,2,0.01299920491874218,0.025326743721961975
Hadamard,3,0.01274158526211977,0.03327804058790207
Hadamard,4,0.012225259095430374,0.041092269122600555
Random_s101,0,0.01548126619309187,0.026326268911361694
Random_s101,1,0.004173302557319403,0.030948301777243614
Random_s101,2,0.014313382096588612,0.025922853499650955
Random_s101,3,0.013307265937328339,0.0346294529736042
Random_s101,4,0.013031098060309887,0.042062826454639435
Random_s102,0,0.01601162739098072,0.02637326903641224
Random_s102,1,0.0042028226889669895,0.03141748905181885
Random_s102,2,0.014121770858764648,0.02678932622075081
Random_s102,3,0.013361969962716103,0.03567764163017273
Random_s102,4,0.012882945127785206,0.04265206307172775
Random_s103,0,0.015591460280120373,0.026441067457199097
Random_s103,1,0.004219504073262215,0.031069206073880196
Random_s103,2,0.013548925518989563,0.026770692318677902
Random_s103,3,0.013485823757946491,0.03432570770382881
Random_s103,4,0.012652344070374966,0.04262175038456917
Random_s1234,0,0.01590176299214363,0.026163028553128242
Random_s1234,1,0.004236011300235987,0.03170708939433098
Random_s1234,2,0.013938795775175095,0.026449184864759445
Random_s1234,3,0.013457600958645344,0.03465520218014717
Random_s1234,4,0.01315797958523035,0.04297277703881264
RC_L0_learned,0,0.027263857424259186,0.04645591601729393
RC_L0_learned,1,0.007779133040457964,0.055437758564949036
RC_L0_learned,2,0.02600906416773796,0.047730498015880585
RC_L0_learned,3,0.02474677935242653,0.06291410326957703
RC_L0_learned,4,0.02389540709555149,0.07645820826292038
R_combo_c7b,0,0.015598959289491177,0.02530773915350437
R_combo_c7b,1,0.004140205215662718,0.031680937856435776
R_combo_c7b,2,0.0137920081615448,0.026696285232901573
R_combo_c7b,3,0.01357289683073759,0.034897010773420334
R_combo_c7b,4,0.012813514098525047,0.04386512562632561
