candidate,proj,L0,L1,L2,L3,L4
R1D_DeltaR,K,0.012836,0.006312,0.010576,0.011394,0.011388
R1D_DeltaR,V,0.023434,0.028273,0.023704,0.031058,0.037885
R1DC,K,0.015071,0.007037,0.012181,0.013147,0.013235
R1DC,V,0.028302,0.034067,0.029116,0.037625,0.047516
none,K,0.320074,0.161809,0.282851,0.300391,0.302636
none,V,0.578722,0.595521,0.569870,0.586622,0.653757
R1_D,K,0.029650,0.013932,0.024295,0.025518,0.025833
R1_D,V,0.056062,0.066046,0.056257,0.073646,0.091732
R1_T_currentRC,K,0.013341,0.006340,0.011099,0.011378,0.011628
R1_T_currentRC,V,0.025270,0.030064,0.025182,0.033224,0.040638
Hadamard,K,0.013286,0.006347,0.010825,0.011597,0.011487
Hadamard,V,0.025129,0.029792,0.025327,0.033278,0.041092
Random_s101,K,0.013783,0.006493,0.011707,0.011960,0.012064
Random_s101,V,0.026326,0.030948,0.025923,0.034629,0.042063
Random_s102,K,0.014081,0.006533,0.011514,0.012041,0.012133
Random_s102,V,0.026373,0.031417,0.026789,0.035678,0.042652
Random_s103,K,0.014008,0.006592,0.011252,0.012186,0.011901
Random_s103,V,0.026441,0.031069,0.026771,0.034326,0.042622
Random_s1234,K,0.014098,0.006534,0.011391,0.012160,0.012312
Random_s1234,V,0.026163,0.031707,0.026449,0.034655,0.042973
RC_L0_learned,K,0.024810,0.011799,0.020353,0.021672,0.021812
RC_L0_learned,V,0.046456,0.055438,0.047730,0.062914,0.076458
R_combo_c7b,K,0.013858,0.006484,0.011299,0.012285,0.011982
R_combo_c7b,V,0.025308,0.031681,0.026696,0.034897,0.043865
