method,meaning,mtbench_tau,gsm8k_tau,humaneval_tau,sharegpt_tau,mean4_micro,mean4_macro,cycles_total,full_block_rate_mean4,P_L_ge_2,P_L_ge_4,P_L_ge_6,P_L_ge_8,P_L_ge_10
PRIOR_F0_fp16,F0 FP16 DFlash (reused M0),3.8619,4.2129,4.892,3.8391,4.2015,4.2511,52384,0.0806,0.8337,0.4941,0.2841,0.1576,0.0806
PRIOR_F1_rtn,F1 naive W4A4 RTN (reused M1),1.874,1.6681,1.6435,1.6105,1.699,1.6841,281776,0.005,0.4004,0.0662,0.0152,0.0083,0.005
PRIOR_F2_vanillaSQ,"F2 model-local SpinQuant, no ctx rot (M3)",1.6749,2.005,2.099,1.5643,1.8358,1.8451,98028,0.0004,0.4747,0.089,0.0116,0.0013,0.0004
F3_r1d,F3 + H_t@R1_D (draft-R1 context extension),3.1703,3.2898,3.9186,2.9902,3.3422,3.2044,53370,0.0141,0.7694,0.3859,0.1681,0.0572,0.0141
F3b_c8,F3b + H_t@(R1_D ΔR) (C8 residual),3.2309,3.3208,4.0109,3.0204,3.3957,3.2501,52551,0.0167,0.7718,0.3943,0.178,0.0627,0.0167
F3c_c9,"F3c shared R1_DC (C9, one matrix both sides)",3.3126,3.457,4.1998,3.1134,3.5207,3.3804,50824,0.0253,0.7804,0.4079,0.1947,0.0785,0.0253
PRIOR_F4_rt,F4 + H_t@current R_C==R1_T (reused M5a),3.203,3.3123,3.9836,3.0313,3.3825,3.2489,52755,0.0148,0.7709,0.3914,0.1758,0.0609,0.0148
F5b_r1d_p2,F5b R1_D + P2,3.3851,3.5145,4.459,3.1569,3.6289,3.4721,49554,0.0411,0.7731,0.4126,0.2136,0.1026,0.0411
PRIOR_F5_rt_p2,F5 R1_T + P2 (reused M5),3.4395,3.551,4.5042,3.2089,3.6759,3.5198,48875,0.045,0.7764,0.416,0.2217,0.1087,0.045
F6b_r1d_p2_qat,F6b R1_D + P2 + QAT (matched recipe),3.4936,3.7198,4.5843,3.2859,3.7709,3.6358,47717,0.0498,0.7864,0.4309,0.2322,0.1183,0.0498
PRIOR_F6_rt_p2_qat,"F6 R1_T + P2 + QAT (reused M6, final)",3.542,3.7877,4.65,3.3121,3.823,3.7054,47078,0.0507,0.7888,0.4363,0.2436,0.1241,0.0507
