prompt_id,turn,n_cycles,taus
0,0,63,"7;10;1;8;4;2;3;2;1;10;6;4;7;3;9;2;7;2;3;2;4;7;6;3;1;3;5;3;1;5;8;7;6;4;1;6;5;3;5;9;10;3;7;2;8;2;1;1;3;4;2;5;1;8;3;7;3;1;3;1;3;1;1"
1,0,32,"4;8;1;5;1;1;4;5;2;9;3;3;2;4;2;3;6;4;3;3;4;3;2;4;7;4;5;6;1;1;3;2"
2,0,80,"4;6;3;5;2;1;5;10;3;7;4;5;6;3;3;2;2;3;4;1;4;2;3;2;7;1;2;1;1;1;3;3;1;6;1;1;9;3;4;2;2;3;10;1;3;1;10;2;5;4;4;5;3;10;5;2;5;5;2;3;3;10;5;10;2;6;2;5;5;1;2;6;10;5;4;5;6;2;2;5"
3,0,51,"5;4;10;3;1;2;2;6;4;5;1;6;3;4;3;3;5;7;4;4;3;1;2;1;3;1;6;3;6;1;3;2;1;1;3;1;3;9;6;4;1;4;3;5;1;3;3;1;2;2;1"
4,0,69,"6;5;2;10;3;1;3;3;1;5;1;2;2;1;5;5;5;1;4;4;2;1;8;4;2;1;1;2;4;1;3;1;7;3;1;5;2;5;3;3;4;5;3;3;9;2;3;1;8;1;5;5;10;6;6;4;2;8;10;5;1;8;5;5;6;10;4;3;2"
5,0,71,"3;2;6;4;6;3;2;1;1;3;10;2;2;8;6;2;6;4;6;4;2;3;1;2;1;1;3;1;1;3;1;2;6;3;5;1;1;4;4;2;3;1;2;2;1;3;1;7;7;3;2;3;4;2;6;8;6;4;3;1;5;1;7;2;2;3;5;5;2;6;1"
6,0,36,"4;3;4;4;3;3;1;1;2;3;10;4;2;4;6;3;2;4;5;3;7;7;5;3;6;5;1;1;4;10;6;2;2;4;2;1"
7,0,61,"4;3;9;1;5;4;3;1;4;4;1;9;3;3;8;6;3;2;4;4;5;5;2;5;4;2;6;1;3;3;4;5;4;5;7;5;3;2;2;2;1;2;3;1;4;2;2;3;5;2;3;8;9;3;3;2;6;5;3;2;1"
8,0,99,"3;1;4;10;2;3;2;1;1;2;1;2;1;3;2;1;1;1;3;2;3;3;1;8;4;7;1;5;2;2;2;3;5;4;1;2;9;1;4;1;7;1;4;4;1;2;1;4;1;3;8;10;10;2;5;1;4;1;5;2;7;1;2;8;4;1;2;4;8;7;9;7;6;2;1;2;2;5;1;1;1;4;1;2;2;8;2;3;3;3;2;7;3;3;5;3;8;1;1"
9,0,56,"6;1;8;8;2;1;1;2;6;1;9;1;3;3;7;5;8;3;5;3;1;6;5;3;1;6;1;1;3;3;5;5;5;9;1;1;2;1;2;8;10;10;7;2;9;4;6;6;4;1;3;7;1;2;2;1"
10,0,47,"7;9;5;1;6;4;9;6;2;7;5;2;2;3;2;6;2;6;1;8;5;6;2;4;4;1;4;3;3;7;3;3;7;2;6;6;3;4;1;1;5;8;3;4;5;2;1"
11,0,39,"9;5;5;2;4;3;1;2;2;2;5;6;4;3;10;1;8;10;10;10;10;10;10;10;10;6;2;5;1;5;10;10;9;9;3;3;1;2;3"
12,0,83,"1;6;5;10;3;2;1;4;1;2;3;3;3;3;1;4;3;3;5;4;4;1;1;1;4;1;8;1;1;2;9;4;2;3;3;2;6;3;2;2;5;2;2;3;9;3;1;6;8;3;6;7;9;7;1;3;7;1;5;1;1;4;4;5;2;10;4;8;8;3;4;6;4;6;2;1;2;5;1;3;6;2;1"
