prompt_id,turn,n_cycles,taus
0,0,74,"3;3;1;1;1;4;7;10;10;6;10;6;8;6;1;9;2;3;3;10;4;1;10;3;5;7;7;5;7;4;3;4;8;3;4;3;6;3;3;1;9;3;9;10;9;2;10;10;9;10;10;1;7;4;5;3;3;2;2;8;4;4;8;3;1;3;4;5;4;6;3;7;5;5"
1,0,119,"3;3;5;6;1;2;4;6;4;8;4;1;2;2;2;2;7;1;6;6;8;8;4;6;4;5;2;5;7;3;2;2;4;2;4;3;9;4;7;5;7;3;3;4;3;4;3;3;2;4;7;5;3;1;1;4;2;3;1;5;7;4;2;2;1;2;3;1;1;4;1;9;3;1;8;8;2;6;2;2;5;4;6;6;2;4;7;2;3;1;10;9;2;5;10;10;7;10;7;7;4;3;4;5;3;2;10;10;4;3;6;4;3;7;10;7;1;5;4"
2,0,55,"3;1;2;10;10;10;6;10;5;10;8;2;7;8;10;5;7;4;1;8;8;1;10;6;1;2;2;3;3;1;5;3;2;5;3;3;2;2;1;2;3;3;4;2;3;2;3;3;5;2;8;5;3;3;1"
3,0,58,"3;2;7;6;10;6;2;3;1;3;5;8;6;5;10;4;4;9;4;10;7;10;3;5;6;6;2;4;4;10;2;1;3;4;8;2;2;3;3;5;9;1;4;3;6;3;10;3;5;1;6;2;10;3;10;10;2;1"
4,0,66,"3;1;8;6;7;4;2;10;8;10;5;7;5;6;6;7;2;4;6;8;10;8;4;9;10;6;5;1;6;1;2;2;1;1;5;5;5;4;5;2;2;8;4;7;2;4;2;6;5;6;2;6;6;3;10;10;9;10;10;2;3;6;7;2;5;6"
5,0,81,"3;1;4;5;6;8;9;5;9;3;2;10;8;8;2;9;1;5;7;2;3;2;6;3;3;5;4;4;3;2;1;2;3;5;4;3;4;2;3;4;8;4;3;5;3;3;4;2;4;6;1;5;7;2;3;3;1;1;2;8;3;4;3;6;3;2;5;9;9;10;10;8;6;2;3;8;6;6;4;4;1"
6,0,89,"3;3;2;2;4;1;2;2;1;1;7;9;8;8;4;2;2;1;2;4;4;1;4;3;4;5;5;10;1;10;4;1;2;5;3;1;5;4;6;2;5;8;7;8;3;4;7;8;3;1;2;5;3;5;3;1;1;1;7;3;5;7;1;3;2;3;8;10;9;2;2;2;4;4;2;6;1;8;9;7;4;7;6;2;4;1;7;8;1"
7,0,42,"3;1;2;1;6;1;9;10;7;9;6;5;2;10;5;10;3;10;6;10;6;2;3;8;6;7;10;10;10;5;5;2;4;7;7;6;2;4;4;2;3;9"
8,0,67,"3;1;9;9;7;8;10;10;6;2;7;7;3;9;10;9;3;7;1;7;3;3;6;5;5;8;5;2;4;10;2;1;1;8;6;10;4;3;2;2;1;8;3;7;9;4;2;9;7;3;6;4;10;10;10;6;3;6;7;4;2;3;4;1;9;2;1"
9,0,72,"3;3;3;2;4;5;4;8;8;10;8;10;6;10;4;7;2;1;2;2;5;3;5;8;10;10;10;10;6;3;8;6;4;3;3;4;4;3;2;6;3;8;10;9;10;8;10;10;10;6;2;1;2;5;2;3;5;5;8;5;10;10;10;10;10;10;2;2;9;3;2;4"
10,0,86,"4;9;3;8;1;7;8;10;10;6;8;10;10;5;10;1;3;2;3;6;5;2;6;2;6;1;3;2;3;1;1;1;6;1;1;2;6;2;1;2;2;1;2;1;3;1;9;7;4;2;4;3;7;4;3;4;2;5;7;4;10;10;7;6;4;3;1;3;3;1;5;4;1;1;7;2;3;2;6;6;4;3;8;3;5;1"
11,0,92,"3;1;3;2;2;1;2;4;3;4;10;10;2;3;4;3;7;5;7;2;10;10;5;4;2;6;2;4;9;10;10;1;5;9;2;4;1;4;9;5;4;3;2;7;7;2;8;4;9;10;1;10;1;6;3;6;1;7;5;1;4;4;5;5;1;3;1;7;4;7;10;1;6;2;7;4;5;10;5;1;2;7;10;8;3;3;7;1;7;5;5;7"
12,0,70,"3;1;4;5;8;7;8;2;1;5;2;5;9;4;1;8;8;9;6;4;9;1;5;8;2;5;6;3;2;6;5;8;1;6;4;3;7;3;3;1;1;2;4;1;1;1;1;1;1;4;2;4;5;1;1;2;2;2;5;7;1;1;10;4;5;8;7;4;5;1"
13,0,45,"4;7;1;4;5;10;2;5;10;4;10;10;9;10;10;6;4;7;6;10;6;2;2;10;10;10;10;4;5;5;10;7;8;2;8;5;9;10;4;3;1;6;9;6;4"
14,0,63,"3;1;2;2;3;2;8;9;8;4;4;4;6;10;6;5;6;1;4;2;4;10;10;1;1;2;7;2;3;4;4;9;3;2;1;7;4;3;4;4;3;2;6;1;1;2;5;3;1;1;4;4;1;1;2;2;1;2;2;2;2;1;2"
15,0,55,"3;1;4;10;8;8;4;3;10;3;3;10;4;5;5;2;3;3;3;2;2;1;3;9;6;3;5;2;5;3;7;3;4;2;1;1;5;1;2;5;2;1;4;1;3;1;6;6;1;6;10;9;10;7;1"
16,0,46,"3;1;2;1;3;4;1;3;9;10;4;9;6;4;10;10;10;7;1;2;4;9;4;3;8;9;6;6;8;4;10;10;8;7;3;3;7;5;4;7;1;2;2;7;5;7"
17,0,68,"3;1;2;7;8;7;7;4;3;3;8;2;6;9;3;2;5;5;7;4;9;3;4;1;3;1;2;7;6;7;1;2;4;7;2;2;4;2;3;4;5;1;10;5;8;2;4;2;1;1;5;3;3;3;4;10;10;9;1;2;3;3;1;1;1;3;1;4"
18,0,92,"3;1;4;1;1;4;6;6;10;10;7;4;3;8;2;4;9;10;4;10;1;2;3;2;6;1;2;3;2;7;2;1;2;2;1;5;5;10;10;10;10;10;10;10;10;10;2;7;3;5;2;8;8;7;8;9;3;2;3;3;1;3;6;2;3;3;2;3;1;2;1;8;10;10;10;10;10;10;10;10;10;1;4;4;5;7;3;2;1;2;1;2"
19,0,77,"3;1;2;3;1;2;1;7;10;9;2;7;7;5;5;10;7;8;1;3;4;10;5;3;1;3;5;2;3;3;1;8;10;6;10;10;7;8;6;3;3;2;3;4;7;4;5;2;6;9;9;6;3;3;10;2;2;3;3;3;10;10;5;4;4;6;4;6;1;3;2;5;2;1;6;5;2"
20,0,134,"3;3;2;6;1;5;2;4;7;6;10;7;9;7;4;8;4;10;7;5;6;1;8;4;4;3;7;1;4;5;10;4;10;4;5;9;1;4;1;8;7;5;4;8;10;3;3;7;3;4;10;2;8;5;5;6;4;10;10;4;7;2;5;10;10;10;9;1;10;10;10;8;8;9;4;5;6;7;3;2;7;3;2;10;4;2;10;10;10;10;10;5;7;10;10;10;10;10;10;10;10;4;10;10;4;7;3;10;3;9;10;8;8;10;10;10;10;7;7;10;10;10;10;10;10;10;10;8;9;4;10;1;6;3"
21,0,70,"3;1;2;2;1;5;10;9;4;5;5;10;10;7;8;3;1;8;2;3;8;6;5;8;10;8;1;6;5;4;6;2;6;2;2;6;4;5;1;4;8;5;3;7;10;4;2;4;8;7;9;1;4;5;2;6;2;3;1;1;7;8;10;10;8;3;10;10;6;1"
22,0,50,"3;1;3;3;3;2;1;4;6;10;9;5;4;5;6;7;10;4;4;4;2;4;9;9;10;7;10;8;6;4;3;4;8;3;1;4;2;3;6;5;1;4;2;3;2;6;2;2;6;3"
23,0,32,"3;2;3;5;9;3;4;5;6;10;5;5;10;10;4;1;5;2;4;4;4;2;2;8;1;8;4;2;2;2;2;1"
24,0,82,"3;1;2;9;10;2;10;10;8;10;1;3;5;2;10;2;4;6;4;9;5;2;5;1;2;4;3;2;2;4;4;1;4;3;1;7;1;5;2;3;2;1;4;3;2;1;1;2;7;4;2;10;10;6;9;10;8;10;10;10;10;9;3;3;1;3;2;9;9;4;3;1;1;5;1;2;5;1;3;2;2;1"
25,0,78,"3;3;2;3;1;4;2;2;1;7;7;9;6;7;7;9;8;10;10;3;7;3;7;8;7;8;3;4;10;1;2;4;2;5;2;2;10;10;9;4;10;5;9;10;10;10;8;7;1;5;3;2;2;3;1;5;1;2;2;1;2;1;2;3;3;1;1;6;3;5;5;1;2;2;1;3;6;3"
