tag,basis,beta0,beta1,beta2,beta3,beta4,nmse_calib,nmse_holdout
naive_beta0,orig,0.0,0.0,0.0,0.0,0.0,0.05362971872091293,0.053636010736227036
rms_equalized,orig,0.00379,0.00339,0.00209,-0.00036,-0.00891,0.05276235565543175,0.052768416702747345
cd_d0.06_s0_b0+,orig,0.05179,-0.00861,-0.00991,-0.01236,-0.02091,0.05001200735569,0.050019968301057816
cd_d0.06_s0_b0-,orig,0.00379,0.00339,0.00209,-0.00036,-0.00891,0.052755843847990036,0.05276113376021385
cd_d0.06_s0_b1+,orig,0.03979,0.03939,-0.02191,-0.02436,-0.03291,0.04966849833726883,0.049669742584228516
cd_d0.06_s0_b1-,orig,0.05179,-0.00861,-0.00991,-0.01236,-0.02091,0.05001200735569,0.050019968301057816
cd_d0.06_s0_b2+,orig,0.02779,0.02739,0.02609,-0.03636,-0.04491,0.04979044198989868,0.04992963746190071
cd_d0.06_s0_b2-,orig,0.05179,0.05139,-0.06991,-0.01236,-0.02091,0.06481985002756119,0.06480572372674942
cd_d0.06_s0_b3+,orig,0.02779,0.02739,-0.03391,0.02364,-0.04491,0.051841750741004944,0.051794882863759995
cd_d0.06_s0_b3-,orig,0.05179,0.05139,-0.00991,-0.07236,-0.02091,0.05164960026741028,0.051665421575307846
cd_d0.06_s0_b4+,orig,0.02779,0.02739,-0.03391,-0.03636,0.01509,0.054695095866918564,0.054669637233018875
cd_d0.06_s0_b4-,orig,0.05179,0.05139,-0.00991,-0.01236,-0.08091,0.04611515998840332,0.046169985085725784
cd_d0.06_s1_b0+,orig,0.09979,0.03939,-0.02191,-0.02436,-0.09291,0.05438781529664993,0.05444573983550072
cd_d0.06_s1_b0-,orig,0.00379,0.06339,0.00209,-0.00036,-0.06891,0.049656763672828674,0.04970875382423401
cd_d0.06_s1_b1+,orig,0.03979,0.09939,-0.02191,-0.02436,-0.09291,0.056932564824819565,0.0570676326751709
cd_d0.06_s1_b1-,orig,0.06379,0.00339,0.00209,-0.00036,-0.06891,0.04645626246929169,0.04650639370083809
cd_d0.06_s1_b2+,orig,0.03979,0.03939,0.03809,-0.02436,-0.09291,0.04789246618747711,0.04805583506822586
