tag,basis,beta0,beta1,beta2,beta3,beta4,nmse_calib,nmse_holdout
naive_beta0,rot,0.0,0.0,0.0,0.0,0.0,0.02024182863533497,0.020218830555677414
rms_equalized,rot,0.00379,0.00339,0.00209,-0.00036,-0.00891,0.019156144931912422,0.019146867096424103
cd_d0.06_s0_b0+,rot,0.05179,-0.00861,-0.00991,-0.01236,-0.02091,0.025036269798874855,0.025036124512553215
cd_d0.06_s0_b0-,rot,-0.04421,0.01539,0.01409,0.01164,0.00309,0.034118250012397766,0.03409558907151222
cd_d0.06_s0_b1+,rot,-0.00821,0.05139,-0.00991,-0.01236,-0.02091,0.028337465599179268,0.028322085738182068
cd_d0.06_s0_b1-,rot,0.01579,-0.04461,0.01409,0.01164,0.00309,0.022528862580657005,0.022521574050188065
cd_d0.06_s0_b2+,rot,-0.00821,-0.00861,0.05009,-0.01236,-0.02091,0.027441075071692467,0.027422325685620308
cd_d0.06_s0_b2-,rot,0.01579,0.01539,-0.04591,0.01164,0.00309,0.02814413420855999,0.028132522478699684
cd_d0.06_s0_b3+,rot,-0.00821,-0.00861,-0.00991,0.04764,-0.02091,0.029135486111044884,0.029097536578774452
cd_d0.06_s0_b3-,rot,0.01579,0.01539,0.01409,-0.04836,0.00309,0.019625863060355186,0.019607337191700935
cd_d0.06_s0_b4+,rot,-0.00821,-0.00861,-0.00991,-0.01236,0.03909,0.03223427012562752,0.03220342844724655
cd_d0.06_s0_b4-,rot,0.01579,0.01539,0.01409,0.01164,-0.05691,0.018076006323099136,0.01808716170489788
cd_d0.06_s1_b0+,rot,0.06379,0.00339,0.00209,-0.00036,-0.06891,0.024061979725956917,0.024062149226665497
cd_d0.06_s1_b0-,rot,-0.03221,0.02739,0.02609,0.02364,-0.04491,0.03042590618133545,0.030412064865231514
cd_d0.06_s1_b1+,rot,0.00379,0.06339,0.00209,-0.00036,-0.06891,0.02627181075513363,0.026278305798768997
cd_d0.06_s1_b1-,rot,0.02779,-0.03261,0.02609,0.02364,-0.04491,0.02015971764922142,0.020169023424386978
cd_d0.06_s1_b2+,rot,0.00379,0.00339,0.06209,-0.00036,-0.06891,0.026155561208724976,0.02615250088274479
cd_d0.06_s1_b2-,rot,0.02779,0.02739,-0.03391,0.02364,-0.04491,0.024710770696401596,0.024710245430469513
cd_d0.06_s1_b3+,rot,0.00379,0.00339,0.00209,0.05964,-0.06891,0.028042571619153023,0.028024980798363686
cd_d0.06_s1_b3-,rot,0.02779,0.02739,0.02609,-0.03636,-0.04491,0.018300192430615425,0.018307367339730263
cd_d0.06_s1_b4+,rot,0.00379,0.00339,0.00209,-0.00036,-0.00891,0.019140681251883507,0.01913129724562168
cd_d0.06_s1_b4-,rot,0.02779,0.02739,0.02609,0.02364,-0.10491,0.022113190963864326,0.022111494094133377
cd_d0.03_s0_b0+,rot,0.03979,0.00939,0.00809,0.00564,-0.06291,0.01933123916387558,0.019326068460941315
cd_d0.03_s0_b0-,rot,-0.00821,0.02139,0.02009,0.01764,-0.05091,0.021434824913740158,0.021444018930196762
cd_d0.03_s0_b1+,rot,0.00979,0.03939,0.00809,0.00564,-0.06291,0.02053094655275345,0.020535839721560478
cd_d0.03_s0_b1-,rot,0.02179,-0.00861,0.02009,0.01764,-0.05091,0.01644587703049183,0.01644333079457283
cd_d0.03_s0_b2+,rot,0.01579,-0.01461,0.04409,0.01164,-0.05691,0.0192453321069479,0.019257353618741035
cd_d0.03_s0_b2-,rot,0.02779,-0.00261,-0.00391,0.02364,-0.04491,0.01817554607987404,0.018169600516557693
cd_d0.03_s0_b3+,rot,0.01579,-0.01461,0.01409,0.04164,-0.05691,0.019228748977184296,0.01922769285738468
cd_d0.03_s0_b3-,rot,0.02779,-0.00261,0.02609,-0.00636,-0.04491,0.015492480248212814,0.015486693941056728
