arm,P_ge_1,P_ge_2,P_ge_3,P_ge_4,P_ge_5,P_ge_6,P_ge_7,P_ge_8,P_ge_9,P_ge_10
T16 D16 (fp16),1.0,0.8047,0.5989,0.4353,0.3173,0.2324,0.1736,0.1303,0.097,0.0723
T16 D4 naive,1.0,0.3266,0.0842,0.0202,0.0055,0.0013,0.0003,0.0,0.0,0.0
T16 D4 +P2,1.0,0.6452,0.3738,0.2079,0.1097,0.0595,0.0294,0.0148,0.0068,0.0032
T16 D4 +iface-rot,1.0,0.6129,0.3458,0.1889,0.0969,0.0462,0.0213,0.0098,0.0049,0.002
T4 D16,1.0,0.7501,0.546,0.3992,0.2967,0.2292,0.1787,0.1402,0.1096,0.0845
T4 D4 (folded),1.0,0.5501,0.297,0.1519,0.0733,0.0332,0.014,0.006,0.0028,0.0008
T4 D4 +P2 (RC0),1.0,0.5283,0.2785,0.142,0.074,0.0367,0.0183,0.0095,0.0049,0.0018
T4 D4 +P2+R_C reuse (RC1),1.0,0.6954,0.4707,0.3187,0.2187,0.1514,0.1044,0.069,0.0445,0.0255
T8 D4 +P2+R_C reuse,1.0,0.758,0.5209,0.345,0.2318,0.1566,0.1063,0.0718,0.0467,0.0295
T4 D4 +P2+R_C (RC2),1.0,0.6916,0.4689,0.3159,0.2164,0.1499,0.0989,0.0661,0.0416,0.0229
