[gauge] H_t (2438, 4096) from 8 rows
{'arm': 'M3_noRC', 'layer': 0, 's': 0.25, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 0, 's': 0.5, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 0, 's': 1.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 0, 's': 2.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 0, 's': 4.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 1, 's': 0.25, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 1, 's': 0.5, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 1, 's': 1.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 1, 's': 2.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 1, 's': 4.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 2, 's': 0.25, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 2, 's': 0.5, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 2, 's': 1.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 2, 's': 2.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 2, 's': 4.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 3, 's': 0.25, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 3, 's': 0.5, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 3, 's': 1.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 3, 's': 2.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
{'arm': 'M3_noRC', 'layer': 3, 's': 4.0, 'act_codes_equal': True, 'wk_codes_equal': True, 'wv_codes_equal': True, 'act_nmse': 0.4869055449962616, 'act_nmse_base': 0.4869055449962616, 'y_max_rel_dev': 0.0, 'scale_clamped_frac': 0.0}
