Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 65.14it/s]
{'cell': 'ref_fp16', 'comp': '-', 'layer': -1, 'direction': 'ref', 'val_ce': 2.2218}
{'cell': 'base_w4a4', 'comp': '-', 'layer': -1, 'direction': 'ref', 'val_ce': 4.6975}
{'cell': 'restore_q', 'comp': 'q', 'layer': -1, 'direction': 'restore', 'val_ce': 4.3976}
{'cell': 'only_q', 'comp': 'q', 'layer': -1, 'direction': 'only', 'val_ce': 2.518}
{'cell': 'restore_k', 'comp': 'k', 'layer': -1, 'direction': 'restore', 'val_ce': 4.2398}
{'cell': 'only_k', 'comp': 'k', 'layer': -1, 'direction': 'only', 'val_ce': 3.0239}
{'cell': 'restore_v', 'comp': 'v', 'layer': -1, 'direction': 'restore', 'val_ce': 3.4266}
{'cell': 'only_v', 'comp': 'v', 'layer': -1, 'direction': 'only', 'val_ce': 3.992}
{'cell': 'restore_o', 'comp': 'o', 'layer': -1, 'direction': 'restore', 'val_ce': 4.4618}
{'cell': 'only_o', 'comp': 'o', 'layer': -1, 'direction': 'only', 'val_ce': 2.4997}
{'cell': 'restore_mlp', 'comp': 'mlp', 'layer': -1, 'direction': 'restore', 'val_ce': 4.2062}
{'cell': 'only_mlp', 'comp': 'mlp', 'layer': -1, 'direction': 'only', 'val_ce': 2.4041}
{'cell': 'restore_fc', 'comp': 'fc', 'layer': -1, 'direction': 'restore', 'val_ce': 5.065}
{'cell': 'only_fc', 'comp': 'fc', 'layer': -1, 'direction': 'only', 'val_ce': 2.6188}
{'cell': 'restore_q@0', 'comp': 'q', 'layer': 0, 'direction': 'restore', 'val_ce': 4.5089}
{'cell': 'only_q@0', 'comp': 'q', 'layer': 0, 'direction': 'only', 'val_ce': 2.3588}
{'cell': 'restore_q@1', 'comp': 'q', 'layer': 1, 'direction': 'restore', 'val_ce': 4.4972}
{'cell': 'only_q@1', 'comp': 'q', 'layer': 1, 'direction': 'only', 'val_ce': 2.3848}
{'cell': 'restore_q@2', 'comp': 'q', 'layer': 2, 'direction': 'restore', 'val_ce': 4.5876}
{'cell': 'only_q@2', 'comp': 'q', 'layer': 2, 'direction': 'only', 'val_ce': 2.3946}
{'cell': 'restore_q@3', 'comp': 'q', 'layer': 3, 'direction': 'restore', 'val_ce': 4.5305}
{'cell': 'only_q@3', 'comp': 'q', 'layer': 3, 'direction': 'only', 'val_ce': 2.5033}
{'cell': 'restore_q@4', 'comp': 'q', 'layer': 4, 'direction': 'restore', 'val_ce': 4.5244}
{'cell': 'only_q@4', 'comp': 'q', 'layer': 4, 'direction': 'only', 'val_ce': 2.3491}
{'cell': 'restore_k@0', 'comp': 'k', 'layer': 0, 'direction': 'restore', 'val_ce': 4.334}
{'cell': 'only_k@0', 'comp': 'k', 'layer': 0, 'direction': 'only', 'val_ce': 2.5784}
{'cell': 'restore_k@1', 'comp': 'k', 'layer': 1, 'direction': 'restore', 'val_ce': 4.4764}
{'cell': 'only_k@1', 'comp': 'k', 'layer': 1, 'direction': 'only', 'val_ce': 2.4596}
