prompt_id,turn,n_cycles,taus
0,0,45,"4;4;6;9;7;10;2;1;3;2;4;7;3;2;2;5;6;4;6;1;3;4;5;4;1;2;3;1;7;2;4;1;3;3;4;9;10;8;10;10;7;10;7;1;1"
1,0,56,"5;10;2;5;4;3;1;2;3;3;1;2;4;2;1;4;3;6;2;3;9;1;6;8;6;4;1;2;2;1;3;4;2;5;2;3;5;1;4;3;4;2;3;5;3;3;7;4;4;1;1;4;1;2;3;3"
2,0,16,"3;8;1;10;3;10;6;2;9;9;7;10;2;1;2;3"
3,0,52,"3;8;2;2;2;2;3;5;3;1;1;1;2;2;2;2;3;6;6;5;4;6;6;5;3;2;3;3;6;6;2;2;9;2;2;4;8;7;5;8;5;5;1;4;8;10;6;1;2;4;4;1"
4,0,41,"1;5;1;2;9;6;4;10;5;6;9;4;6;6;5;7;6;10;10;6;1;4;4;1;9;5;2;3;5;1;1;4;1;10;4;1;3;3;2;2;10"
5,0,54,"1;6;5;1;3;7;4;10;3;2;7;7;2;6;3;9;3;3;6;3;3;1;3;5;7;10;7;5;5;9;3;3;10;3;10;3;4;10;8;5;1;5;8;9;3;6;10;2;6;3;1;3;1;1"
6,0,200,"1;1;3;7;9;2;6;6;6;5;9;5;4;5;1;3;3;8;1;2;2;2;2;10;4;1;1;1;1;3;1;1;3;2;3;3;1;1;4;1;2;4;1;3;3;2;3;7;6;1;6;6;1;2;10;4;4;4;4;1;2;6;2;7;4;2;2;2;2;1;3;1;1;3;3;4;6;2;1;3;3;2;7;2;3;1;2;1;1;7;1;2;3;3;1;1;2;7;2;3;1;2;1;1;2;1;1;1;1;1;1;1;4;7;8;10;8;9;9;1;3;8;2;5;6;4;3;4;8;6;6;7;8;9;10;3;10;6;10;4;10;7;10;10;10;3;2;4;8;7;9;3;4;2;8;3;3;4;8;3;3;5;1;10;3;4;1;2;1;1;1;1;2;1;7;1;1;1;2;3;6;1;5;3;4;7;2;5;2;2;1;1;1;2;4;2;2;3;4;2"
7,0,18,"4;7;9;5;10;7;4;6;9;10;9;6;4;5;1;2;1;1"
8,0,18,"8;7;3;9;9;7;2;7;10;2;3;4;6;5;2;7;4;1"
9,0,33,"5;2;6;4;6;10;4;6;5;3;5;6;5;4;7;2;3;1;1;2;3;8;4;5;4;1;5;4;6;4;4;1;1"
10,0,84,"1;9;10;6;3;8;10;10;5;5;10;6;3;9;4;2;1;3;8;1;9;4;5;1;2;4;6;4;1;1;3;2;2;2;7;1;1;3;4;3;2;3;1;1;3;1;3;1;1;2;1;2;4;6;2;1;2;1;2;2;4;1;2;4;4;3;2;5;3;10;9;1;5;1;3;3;1;2;4;5;1;7;3;1"
11,0,32,"6;9;1;7;5;9;7;5;1;7;7;2;1;1;1;1;2;1;2;4;3;3;4;1;6;8;3;6;2;1;1;1"
12,0,22,"6;3;6;5;10;10;5;5;8;2;5;8;8;10;4;3;5;4;2;5;1;1"
13,0,45,"6;8;3;3;10;2;2;3;9;7;5;7;1;1;3;4;4;2;1;5;6;4;2;3;4;10;6;10;10;1;2;6;4;7;3;5;3;6;2;2;2;2;2;4;4"
14,0,24,"4;6;3;1;5;5;5;6;10;2;6;3;4;1;2;1;2;5;2;1;1;1;1;1"
15,0,16,"5;7;8;4;5;3;7;9;10;3;3;3;1;7;3;1"
16,0,12,"5;8;9;8;8;6;10;10;1;2;3;2"
17,0,80,"5;8;1;2;7;2;4;6;2;4;2;4;1;3;4;5;9;7;6;4;1;5;3;1;2;2;7;5;7;6;4;2;1;1;1;2;1;1;1;5;5;2;3;5;5;9;7;6;5;3;3;7;4;2;10;2;1;7;8;2;4;5;2;4;1;1;1;1;3;1;1;1;5;5;9;10;2;4;4;1"
18,0,26,"4;4;10;2;7;10;1;1;4;4;3;4;2;3;2;1;1;1;5;8;3;1;1;7;5;1"
19,0,89,"1;2;4;4;8;5;4;8;7;10;10;10;3;7;8;4;4;6;4;3;3;2;8;1;1;5;3;3;2;1;4;4;5;3;2;2;2;10;8;6;4;7;10;9;2;3;1;2;6;3;2;10;3;1;5;2;3;4;4;1;2;4;3;5;3;7;2;10;1;2;3;4;3;5;3;2;4;1;2;7;1;5;4;4;4;2;2;4;3"
20,0,40,"7;3;7;1;2;5;5;6;1;3;3;7;4;1;2;2;8;1;6;3;2;3;5;3;4;5;4;3;9;3;1;3;7;9;5;7;5;5;7;2"
21,0,65,"6;8;6;3;5;10;9;8;3;2;5;7;2;7;2;1;3;3;7;4;6;3;8;4;1;2;1;5;3;5;1;5;3;4;1;5;2;2;4;1;2;2;2;2;1;1;3;4;1;2;6;5;7;6;3;6;10;10;3;5;8;9;10;2;1"
22,0,40,"1;3;2;1;3;3;2;4;4;3;6;5;5;5;7;3;8;5;3;10;9;7;10;1;6;4;4;3;4;3;4;2;6;1;6;5;2;7;2;4"
23,0,9,"2;8;2;6;2;9;7;5;1"
24,0,43,"5;7;5;10;4;2;1;3;1;1;2;1;3;1;3;5;3;6;7;1;2;4;7;4;4;3;4;1;5;3;6;9;3;6;7;6;2;7;3;5;6;2;1"
25,0,60,"4;2;10;2;5;8;2;2;6;4;6;1;7;10;4;1;2;1;7;7;4;2;5;2;1;7;5;2;8;7;4;5;2;2;5;1;1;6;3;3;1;2;7;2;2;2;6;2;7;4;4;2;1;6;1;9;10;10;10;1"
26,0,20,"4;8;9;1;10;9;5;6;9;10;7;4;5;6;6;6;9;2;1;1"
27,0,11,"3;8;7;8;3;4;8;2;1;1;3"
