prompt_id,turn,n_cycles,taus
0,0,66,"1;1;1;1;1;2;1;1;1;2;4;4;2;3;3;3;1;1;1;1;3;3;2;4;1;1;1;1;4;1;1;2;2;1;2;1;2;3;2;1;2;5;1;2;1;1;3;1;4;1;2;1;2;2;1;4;1;2;1;2;2;1;1;1;1;1"
1,0,82,"1;1;1;1;3;2;3;3;1;1;1;2;5;1;1;2;2;3;3;2;1;2;1;6;1;2;2;2;2;2;1;3;2;1;2;1;1;4;1;5;2;6;1;2;1;1;1;3;2;2;1;2;2;4;2;1;1;3;1;1;2;1;1;3;3;1;3;3;2;1;1;3;2;1;1;2;3;4;2;2;2;1"
2,0,118,"1;1;3;2;3;4;1;3;1;2;2;2;4;1;2;1;1;1;1;1;4;6;3;4;2;1;1;4;1;1;1;1;5;1;1;5;1;2;2;1;1;2;1;1;1;5;1;3;1;1;1;2;1;3;1;4;3;5;3;1;2;1;3;3;2;2;2;1;4;2;2;3;2;2;1;2;1;1;1;2;1;1;5;3;2;1;2;3;1;3;1;2;2;1;1;2;1;1;5;2;3;4;1;1;1;1;4;3;3;1;2;2;1;1;1;2;1;1"
3,0,150,"1;1;1;3;1;2;3;1;2;1;1;2;1;1;1;5;2;4;3;2;1;1;1;6;3;1;1;4;3;1;2;1;1;2;3;2;2;4;1;2;1;1;1;2;1;1;1;1;2;1;1;2;1;2;1;1;2;2;1;2;1;1;2;2;3;3;1;1;1;1;1;1;1;1;4;1;1;5;2;2;1;2;1;1;1;1;1;2;1;1;1;3;2;1;6;1;2;1;1;1;2;2;2;1;3;1;3;2;1;1;4;3;1;3;2;3;1;2;1;3;1;1;2;2;1;1;1;1;2;1;1;3;1;3;1;1;2;1;1;1;6;1;3;3;3;1;2;2;1;2"
4,0,56,"1;2;1;3;3;3;1;1;2;1;2;4;1;2;1;3;2;4;2;2;3;1;2;4;2;1;2;1;2;1;1;2;1;3;3;1;3;2;1;2;4;1;1;4;2;1;2;1;2;1;1;2;1;2;2;1"
5,0,60,"1;1;4;4;1;2;2;1;2;1;3;2;1;3;3;1;2;2;1;4;3;2;1;5;1;1;1;1;1;4;2;2;2;2;3;1;1;2;1;4;1;1;1;2;2;1;2;1;2;1;2;1;1;2;3;4;2;3;2;1"
6,0,58,"1;1;1;2;1;1;2;1;1;1;4;2;1;4;1;1;2;4;4;2;3;4;5;2;4;3;3;4;2;2;2;5;2;3;2;1;1;2;3;1;3;2;1;1;1;3;1;3;2;1;1;2;1;1;1;2;1;1"
7,0,130,"1;1;1;1;3;4;1;2;2;1;1;2;2;2;2;1;4;1;1;3;1;2;3;2;2;6;2;3;2;5;3;2;4;3;1;3;4;1;1;2;1;1;1;3;2;2;1;3;1;3;4;3;5;2;3;2;2;1;2;1;3;4;3;3;3;5;4;1;1;1;2;5;2;1;3;1;1;1;2;4;1;3;1;3;1;1;2;2;1;2;1;1;2;2;1;3;1;2;1;2;4;1;1;2;2;1;3;3;1;2;2;2;3;2;3;1;1;4;2;1;2;2;2;1;1;1;1;3;1;1"
8,0,64,"1;1;3;3;4;1;1;2;1;1;2;2;3;3;2;1;1;1;2;2;1;1;2;1;1;1;2;2;1;2;1;1;6;1;2;1;3;2;2;1;5;2;3;4;2;1;2;1;2;1;1;2;5;2;5;1;1;2;1;4;1;5;2;1"
9,0,188,"1;1;1;2;1;4;2;1;2;1;1;3;2;1;1;2;1;3;1;2;5;1;3;1;1;3;1;1;1;3;1;3;1;3;1;1;1;1;1;3;2;2;2;3;1;1;2;1;2;3;2;1;2;1;3;1;3;1;1;1;2;1;1;3;2;4;2;1;2;1;1;1;1;6;3;2;1;2;1;3;1;2;1;1;2;2;2;2;3;3;1;2;2;4;2;2;1;2;1;2;2;1;4;2;2;2;2;1;2;4;1;1;1;4;1;1;1;2;1;2;1;2;1;1;3;4;2;1;3;1;1;3;5;1;3;2;1;1;4;3;4;2;4;4;3;2;2;1;3;1;3;2;1;5;2;1;3;1;1;2;1;1;1;2;2;1;3;3;1;1;2;4;1;1;2;3;1;2;4;3;2;1;6;1;2;1;2;2"
