tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CCAL_ptq_gs,int4,c4,c4_val_802,"[1, 2, 3, 2, 4, 3, 3, 4, 2, 2, 4, 4, 3, 2, 4, 4, 3, 4, 1, 6, 2, 2, 2, 3, 2, 2, 2, 3, 4, 1, 2, 3, 5, 6, 4, 6, 1, 3, 5, 1, 4, 3, 1]",43,9.589
CCAL_ptq_gs,int4,c4,c4_val_803,"[1, 2, 4, 4, 4, 1, 2, 4, 2, 4, 5, 2, 4, 2, 2, 2, 3, 5, 6, 1, 6, 1, 4, 1, 2, 2, 3, 6, 6, 2, 2, 2, 5, 3, 3, 4, 2, 3, 4, 3, 3, 1]",42,8.426
CCAL_ptq_gs,int4,c4,c4_val_804,"[1, 2, 4, 3, 2, 2, 4, 4, 2, 6, 2, 4, 4, 2, 4, 4, 2, 2, 3, 2, 3, 5, 5, 1, 4, 3, 1, 2, 3, 3, 2, 4, 5, 4, 4, 3, 3, 4, 5, 6]",40,7.782
CCAL_ptq_gs,int4,c4,c4_val_807,"[1, 2, 3, 3, 4, 3, 5, 4, 2, 4, 2, 1, 3, 6, 3, 3, 3, 3, 4, 5, 1, 4, 2, 2, 2, 1, 3, 1, 2, 3, 2, 2, 3, 4, 4, 3, 2, 4, 2, 2, 1, 2, 4, 3, 4, 3]",46,7.683
CCAL_ptq_gs,int4,c4,c4_val_808,"[1, 2, 4, 6, 1, 4, 4, 3, 2, 5, 2, 1, 6, 4, 2, 2, 2, 3, 4, 4, 1, 2, 3, 3, 1, 2, 5, 4, 5, 3, 4, 3, 2, 2, 2, 6, 3, 2, 3, 4, 1, 3, 4]",43,7.172
CCAL_ptq_gs,int4,c4,c4_val_809,"[1, 2, 3, 3, 3, 4, 3, 2, 2, 2, 2, 2, 2, 4, 3, 3, 4, 4, 4, 3, 4, 4, 2, 3, 4, 6, 1, 3, 1, 4, 1, 5, 6, 3, 1, 3, 3, 2, 2, 2, 3, 2, 4, 2, 2]",45,9.536
CCAL_ptq_gs,int4,c4,c4_val_812,"[1, 3, 3, 5, 3, 3, 2, 1, 4, 3, 3, 3, 3, 6, 4, 6, 3, 3, 4, 4, 4, 4, 4, 4, 3, 6, 5, 2, 4, 2, 2, 4, 4, 4, 2, 3, 3, 3]",38,7.518
CCAL_ptq_gs,int4,c4,c4_val_813,"[1, 4, 4, 3, 3, 1, 5, 2, 4, 4, 4, 3, 2, 3, 5, 4, 6, 3, 2, 2, 4, 3, 4, 2, 4, 5, 3, 2, 6, 4, 5, 4, 5, 2, 2, 6, 5]",37,7.531
CCAL_ptq_gs,int4,c4,c4_val_815,"[1, 2, 3, 3, 2, 4, 4, 4, 3, 2, 1, 3, 6, 5, 2, 5, 2, 1, 4, 4, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 6, 5, 2, 4, 1, 3, 2, 2, 4, 1, 2, 5, 3, 3]",47,12.566
CCAL_ptq_gs,int4,c4,c4_val_817,"[2, 1, 3, 2, 3, 4, 2, 3, 4, 3, 4, 2, 1, 6, 3, 1, 1, 3, 4, 3, 3, 5, 4, 6, 4, 4, 3, 4, 4, 4, 5, 4, 6, 4, 6, 6, 3]",37,8.335
CCAL_ptq_gs,int4,c4,c4_val_818,"[1, 2, 3, 2, 4, 4, 2, 2, 4, 4, 4, 4, 1, 3, 6, 2, 2, 4, 4, 4, 1, 3, 2, 2, 1, 3, 5, 2, 4, 5, 4, 3, 5, 3, 2, 3, 5, 3, 4, 1, 2, 3]",42,8.345
CCAL_ptq_gs,int4,c4,c4_val_819,"[1, 2, 3, 2, 1, 2, 4, 4, 2, 4, 1, 5, 3, 3, 5, 2, 6, 2, 4, 2, 4, 2, 3, 2, 4, 4, 5, 5, 3, 3, 3, 5, 5, 5, 2, 4, 3, 3, 3, 3]",40,7.736
CCAL_ptq_gs,int4,c4,c4_val_822,"[1, 3, 3, 5, 4, 1, 2, 5, 2, 1, 5, 5, 3, 2, 1, 2, 4, 3, 2, 2, 3, 3, 3, 2, 3, 1, 1, 1, 5, 4, 2, 2, 3, 3, 2, 6, 2, 6, 3, 3, 2, 4, 4, 4]",44,8.473
CCAL_ptq_gs,int4,c4,c4_val_823,"[1, 2, 4, 2, 3, 2, 1, 2, 1, 2, 4, 5, 2, 2, 4, 2, 5, 2, 2, 3, 6, 4, 2, 2, 1, 3, 1, 3, 3, 1, 4, 3, 1, 4, 4, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 4, 3, 4]",49,6.964
