tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CCAL_ptq_gsr5,int4,c4,c4_val_802,"[6, 3, 4, 2, 1, 3, 4, 5, 1, 2, 4, 3, 3, 2, 4, 2, 4, 1, 2, 1, 4, 6, 4, 4, 4, 4, 4, 4, 2, 4, 3, 1, 3, 5, 2, 2, 2, 4, 4, 3, 3]",41,8.948
CCAL_ptq_gsr5,int4,c4,c4_val_803,"[1, 2, 4, 2, 4, 2, 4, 4, 2, 3, 5, 3, 2, 4, 5, 2, 3, 2, 2, 3, 1, 6, 5, 2, 4, 2, 3, 4, 1, 3, 4, 2, 3, 1, 1, 3, 4, 3, 4, 3, 3, 2, 1, 6]",44,12.097
CCAL_ptq_gsr5,int4,c4,c4_val_804,"[6, 4, 1, 1, 4, 6, 6, 4, 6, 3, 4, 2, 3, 4, 2, 1, 3, 3, 4, 3, 4, 3, 1, 3, 4, 6, 3, 1, 3, 2, 3, 6, 3, 3, 4, 2, 1, 2, 2, 2]",40,7.996
CCAL_ptq_gsr5,int4,c4,c4_val_807,"[5, 6, 2, 4, 4, 6, 4, 2, 6, 5, 5, 4, 3, 2, 2, 3, 3, 4, 6, 1, 3, 3, 4, 3, 4, 6, 2, 4, 4, 4, 2, 3, 3, 4, 1, 5]",36,7.266
CCAL_ptq_gsr5,int4,c4,c4_val_808,"[3, 4, 6, 3, 2, 4, 1, 2, 1, 4, 4, 6, 2, 4, 2, 3, 4, 3, 1, 5, 3, 1, 2, 5, 5, 2, 2, 3, 4, 3, 4, 3, 5, 1, 2, 2, 2, 6, 3, 5, 5]",41,7.997
CCAL_ptq_gsr5,int4,c4,c4_val_809,"[3, 4, 4, 3, 4, 3, 2, 2, 4, 6, 3, 4, 3, 6, 3, 2, 4, 6, 3, 4, 3, 2, 3, 3, 2, 1, 2, 2, 4, 6, 2, 4, 2, 4, 2, 1, 3, 2, 6, 6]",40,7.911
CCAL_ptq_gsr5,int4,c4,c4_val_812,"[3, 4, 6, 4, 1, 3, 3, 2, 5, 3, 4, 6, 4, 6, 4, 4, 3, 1, 4, 6, 3, 4, 4, 6, 4, 3, 3, 4, 3, 1, 2, 3, 3, 4, 2, 6]",36,6.104
CCAL_ptq_gsr5,int4,c4,c4_val_813,"[1, 4, 4, 3, 1, 2, 1, 2, 2, 3, 4, 3, 4, 2, 5, 6, 2, 3, 4, 2, 3, 2, 4, 5, 2, 4, 5, 3, 3, 1, 5, 3, 2, 6, 5, 6, 4, 5, 6]",39,6.61
CCAL_ptq_gsr5,int4,c4,c4_val_815,"[6, 5, 4, 5, 4, 5, 3, 6, 4, 2, 5, 3, 1, 4, 3, 2, 5, 1, 3, 3, 4, 3, 3, 4, 2, 3, 4, 4, 1, 3, 1, 3, 1, 1, 1, 4, 4, 3, 4, 3]",40,6.836
CCAL_ptq_gsr5,int4,c4,c4_val_817,"[4, 4, 3, 4, 2, 3, 4, 6, 4, 4, 5, 2, 3, 4, 3, 6, 4, 2, 6, 3, 4, 1, 5, 4, 2, 4, 6, 4, 6, 6, 4, 6]",32,5.435
CCAL_ptq_gsr5,int4,c4,c4_val_818,"[6, 3, 4, 5, 2, 6, 5, 3, 6, 1, 6, 2, 4, 3, 4, 1, 2, 3, 3, 3, 2, 2, 2, 4, 2, 2, 2, 4, 4, 4, 4, 2, 3, 6, 4, 5, 3, 4]",38,6.377
CCAL_ptq_gsr5,int4,c4,c4_val_819,"[4, 4, 1, 2, 2, 4, 4, 2, 2, 3, 3, 4, 5, 1, 4, 4, 3, 1, 2, 3, 2, 4, 4, 3, 2, 3, 1, 4, 1, 6, 3, 2, 5, 4, 4, 4, 4, 2, 3, 3, 3, 4]",42,7.044
CCAL_ptq_gsr5,int4,c4,c4_val_822,"[1, 4, 4, 4, 4, 1, 2, 6, 1, 4, 4, 2, 3, 4, 5, 2, 3, 4, 5, 2, 4, 2, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3, 5, 1, 2, 1]",41,6.936
CCAL_ptq_gsr5,int4,c4,c4_val_823,"[4, 4, 1, 2, 3, 3, 1, 6, 6, 6, 3, 4, 1, 4, 5, 3, 2, 4, 2, 5, 4, 4, 3, 5, 4, 5, 2, 3, 5, 6, 4, 2, 3, 6, 4]",35,4.458
CCAL_ptq_gsr5,int4,c4,c4_val_824,"[4, 2, 6, 2, 1, 3, 4, 4, 5, 4, 3, 5, 5, 4, 4, 3, 5, 3, 3, 3, 3, 3, 4, 5, 3, 4, 4, 3, 2, 3, 4, 3, 3, 4, 5, 1, 2]",37,4.82
CCAL_ptq_gsr5,int4,c4,c4_val_826,"[4, 4, 3, 2, 3, 4, 6, 2, 1, 5, 4, 6, 3, 2, 2, 2, 1, 2, 6, 3, 2, 2, 5, 3, 1, 2, 1, 4, 4, 1, 1, 1, 2, 1, 4, 3, 2, 4, 2, 4, 3, 6, 4, 4]",44,5.586
CCAL_ptq_gsr5,int4,c4,c4_val_827,"[4, 4, 2, 2, 3, 3, 2, 5, 1, 2, 3, 5, 2, 4, 5, 2, 4, 2, 3, 4, 3, 3, 4, 2, 2, 4, 3, 5, 1, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 5, 3, 2, 4, 1]",46,5.91
CCAL_ptq_gsr5,int4,c4,c4_val_828,"[6, 6, 4, 3, 4, 1, 4, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 5, 4, 2, 3, 2, 3, 1, 4, 3, 4, 3, 3, 4, 4, 4, 4, 2, 1, 6, 3, 2, 3, 4]",40,5.126
CCAL_ptq_gsr5,int4,c4,c4_val_829,"[6, 3, 2, 3, 3, 3, 6, 5, 5, 4, 4, 4, 4, 2, 2, 4, 2, 2, 3, 5, 6, 2, 6, 4, 2, 3, 6, 4, 2, 3, 2, 3, 4, 3, 3, 2, 1]",37,4.717
CCAL_ptq_gsr5,int4,c4,c4_val_832,"[4, 4, 2, 3, 4, 6, 5, 4, 2, 6, 5, 2, 1, 4, 2, 3, 2, 3, 3, 3, 3, 1, 1, 3, 2, 4, 3, 6, 3, 4, 2, 6, 3, 3, 2, 1, 1, 2, 2, 3, 2, 3]",42,6.005
