tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CCAL_ptq_lsr5,int4,c4,c4_val_802,"[6, 3, 4, 2, 1, 4, 3, 6, 2, 4, 3, 3, 2, 4, 2, 3, 2, 2, 1, 3, 2, 4, 2, 2, 4, 1, 4, 1, 4, 5, 3, 2, 2, 2, 3, 3, 2, 3, 4, 3, 4, 1, 3, 2, 2]",45,9.401
CCAL_ptq_lsr5,int4,c4,c4_val_803,"[1, 2, 4, 2, 2, 4, 1, 2, 4, 2, 3, 3, 2, 1, 4, 2, 4, 2, 5, 4, 3, 5, 2, 4, 2, 3, 3, 5, 4, 3, 4, 4, 3, 4, 4, 2, 4, 3, 3, 3, 4, 6]",42,8.278
CCAL_ptq_lsr5,int4,c4,c4_val_804,"[6, 3, 2, 3, 6, 6, 4, 5, 3, 6, 5, 1, 4, 3, 1, 4, 4, 2, 4, 3, 1, 3, 4, 3, 3, 4, 4, 2, 2, 2, 5, 4, 2, 3, 4, 3, 3, 5]",38,7.449
CCAL_ptq_lsr5,int4,c4,c4_val_807,"[4, 3, 4, 2, 3, 6, 6, 6, 2, 6, 3, 1, 4, 1, 4, 4, 5, 3, 2, 3, 3, 2, 3, 5, 4, 4, 2, 2, 4, 3, 4, 1, 3, 5, 3, 5, 3]",37,6.313
CCAL_ptq_lsr5,int4,c4,c4_val_808,"[3, 4, 6, 1, 5, 3, 1, 2, 1, 4, 3, 4, 1, 1, 5, 4, 2, 5, 2, 5, 5, 3, 2, 3, 2, 3, 3, 6, 3, 3, 1, 4, 3, 2, 2, 3, 2, 3, 3, 4, 2, 5]",42,5.29
CCAL_ptq_lsr5,int4,c4,c4_val_809,"[4, 5, 3, 4, 4, 3, 4, 4, 3, 4, 2, 2, 3, 1, 6, 4, 2, 2, 4, 4, 2, 6, 4, 6, 3, 5, 4, 4, 3, 5, 4, 6, 1, 2, 2, 4]",36,4.543
CCAL_ptq_lsr5,int4,c4,c4_val_812,"[4, 3, 4, 4, 3, 2, 1, 3, 2, 5, 3, 4, 6, 4, 4, 3, 4, 6, 1, 4, 6, 5, 2, 4, 6, 6, 4, 3, 1, 4, 4, 4, 2, 4, 2, 3]",36,4.524
CCAL_ptq_lsr5,int4,c4,c4_val_813,"[1, 4, 4, 3, 1, 2, 1, 4, 3, 4, 3, 4, 2, 4, 4, 4, 4, 4, 4, 3, 4, 5, 2, 4, 6, 2, 3, 1, 4, 4, 2, 6, 5, 6, 3, 5, 5]",37,4.654
CCAL_ptq_lsr5,int4,c4,c4_val_815,"[4, 4, 3, 3, 5, 6, 4, 3, 6, 4, 1, 2, 3, 4, 2, 4, 1, 4, 3, 2, 2, 3, 2, 3, 1, 2, 1, 2, 2, 1, 4, 4, 2, 6, 4, 2, 6, 2, 5, 3, 3]",41,7.299
CCAL_ptq_lsr5,int4,c4,c4_val_817,"[4, 4, 3, 1, 2, 2, 3, 6, 3, 3, 3, 5, 4, 2, 6, 3, 3, 2, 3, 1, 5, 3, 3, 4, 4, 2, 4, 2, 6, 2, 2, 3, 2, 6, 4, 6, 6, 4]",38,7.24
