tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gs_s1,int4,mtbench,81,"[5, 3, 2, 3, 1, 1, 3, 1, 2, 2, 5, 6, 4, 1, 3, 2, 3, 2, 3, 3, 2, 5, 2, 4, 4, 2, 3, 3, 4, 4, 4, 4, 4, 2, 2, 2, 2, 3, 3, 3, 1, 4, 4, 2]",44,8.921
CFIN_P2conv_gs_s1,int4,mtbench,82,"[4, 2, 4, 3, 3, 6, 4, 4, 4, 2, 6, 5, 3, 4, 3, 2, 3, 3, 1, 4, 4, 4, 4, 3, 2, 4, 3, 2, 2, 3, 2, 3, 2, 1, 3, 4, 3, 1, 2, 1, 2, 2, 4]",43,8.389
CFIN_P2conv_gs_s1,int4,mtbench,83,"[4, 6, 4, 6, 3, 4, 4, 4, 2, 4, 5, 5, 3, 3, 1, 1, 3, 2, 3, 4, 2, 4, 2, 2, 2, 5, 4, 2, 2, 2, 1, 1, 3, 3, 1, 3, 1, 2, 4, 3, 5, 6]",42,7.118
CFIN_P2conv_gs_s1,int4,mtbench,84,"[4, 2, 3, 3, 5, 4, 4, 4, 4, 3, 2, 3, 3, 3, 5, 3, 3, 2, 3, 4, 1, 6, 4, 3, 1, 2, 4, 3, 3, 4, 3, 1, 4, 3, 3, 3, 4, 4, 2, 2, 4]",41,5.149
CFIN_P2conv_gs_s1,int4,mtbench,85,"[3, 6, 4, 4, 2, 2, 3, 3, 3, 4, 2, 3, 3, 1, 3, 2, 3, 6, 2, 4, 2, 3, 2, 1, 2, 3, 4, 3, 1, 4, 4, 2, 2, 1, 4, 4, 2, 3, 4, 3, 2, 4, 2, 2, 2]",45,5.637
CFIN_P2conv_gs_s1,int4,mtbench,86,"[2, 4, 6, 3, 2, 3, 4, 3, 3, 1, 2, 3, 3, 3, 4, 2, 2, 1, 2, 4, 3, 1, 2, 3, 1, 2, 1, 1, 3, 1, 4, 2, 5, 2, 3, 3, 2, 1, 3, 4, 2, 4, 3, 2, 3, 2, 1, 2, 1, 4]",50,6.227
CFIN_P2conv_gs_s1,int4,mtbench,87,"[2, 3, 5, 3, 6, 4, 1, 4, 2, 4, 4, 2, 1, 3, 4, 2, 5, 4, 3, 2, 1, 2, 2, 1, 2, 1, 1, 3, 4, 1, 1, 2, 2, 2, 4, 3, 1, 4, 3, 3, 4, 3, 2, 1, 4, 2, 4, 2]",48,10.303
CFIN_P2conv_gs_s1,int4,mtbench,88,"[2, 2, 3, 2, 2, 2, 4, 3, 2, 2, 3, 1, 1, 1, 3, 4, 3, 5, 1, 2, 2, 3, 3, 3, 6, 3, 4, 2, 2, 2, 2, 3, 4, 2, 2, 3, 3, 1, 3, 1, 6, 2, 1, 3, 4, 4, 2, 3, 4]",49,8.495
CFIN_P2conv_gs_s1,int4,mtbench,89,"[2, 3, 6, 2, 5, 3, 4, 5, 3, 2, 3, 4, 3, 5, 1, 2, 2, 1, 3, 4, 2, 1, 3, 1, 2, 5, 2, 3, 2, 3, 2, 5, 2, 1, 2, 4, 1, 2, 3, 1, 4, 1, 3, 4, 6]",45,7.467
CFIN_P2conv_gs_s1,int4,mtbench,90,"[1, 1, 5, 4, 3, 3, 3, 3, 3, 2, 4, 5, 1, 1, 4, 4, 2, 3, 2, 1, 3, 2, 2, 4, 2, 3, 4, 2, 3, 4, 4, 4, 4, 1]",34,5.623
CFIN_P2conv_gs_s1,int4,mtbench,91,"[4, 1, 5, 3, 3, 2, 5, 6, 5, 6, 3, 1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 1, 3, 4, 3, 1, 3, 2, 6, 3, 2, 3, 4, 2, 3, 2, 2, 6, 2, 3, 3, 4, 3, 4]",44,7.182
CFIN_P2conv_gs_s1,int4,mtbench,92,"[3, 3, 3, 3, 1, 3, 1, 2, 4, 1, 6, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 3, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 3, 1, 3, 1, 1, 3, 1, 1, 4, 3, 1, 1, 1, 2, 2, 2, 4, 2, 1, 2, 2, 3, 3]",55,7.613
CFIN_P2conv_gs_s1,int4,mtbench,93,"[4, 6, 2, 2, 2, 3, 5, 4, 3, 6, 6, 4, 3, 3, 3, 1, 2, 3, 2, 3, 2, 2, 1, 2, 3, 4, 1, 2, 5, 4, 1, 4, 2, 6, 6, 3, 2, 3, 4, 4]",40,4.922
CFIN_P2conv_gs_s1,int4,mtbench,94,"[4, 3, 4, 2, 2, 3, 4, 3, 2, 3, 4, 3, 2, 1, 5, 4, 4, 3, 3, 3, 3, 1, 3, 2, 2, 3, 1, 4, 1, 3, 3, 2, 2, 4, 6, 3, 3, 2, 3, 2, 3, 1, 3, 3, 1, 2]",46,5.64
CFIN_P2conv_gs_s1,int4,mtbench,95,"[1, 2, 4, 2, 4, 2, 3, 3, 1, 1, 2, 1, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 1, 2, 3, 2, 2, 2, 1, 2, 4, 1, 4, 3, 4, 5, 5, 2, 3, 2, 3, 2, 3, 2, 4, 4, 4, 6, 4]",49,5.974
CFIN_P2conv_gs_s1,int4,mtbench,96,"[6, 3, 6, 1, 3, 6, 2, 3, 1, 3, 3, 1, 2, 5, 4, 3, 2, 3, 2, 4, 4, 4, 2, 2, 1, 2, 1, 6, 1, 4, 3, 3, 3, 1, 3, 4, 2, 4, 3, 1, 3, 1, 3, 2, 4]",45,5.477
CFIN_P2conv_gs_s1,int4,mtbench,97,"[6, 6, 1, 2, 5, 3, 6, 4, 2, 4, 3, 4, 2, 4, 2, 3, 3, 2, 2, 2, 2, 5, 3, 3, 1, 4, 2, 3, 4, 3, 3, 4, 1, 3, 2, 2, 5, 3, 4, 4, 5]",41,5.033
CFIN_P2conv_gs_s1,int4,mtbench,98,"[3, 2, 2, 2, 2, 1, 3, 2, 1, 2, 1, 2, 1, 1, 6, 2, 1, 2, 1, 2, 3, 3, 3, 5, 1, 2, 5, 3, 2, 2, 1, 2, 3, 1, 1, 2, 3, 2, 1, 3, 4, 2, 3, 1, 1, 4, 6, 3, 1, 1, 1, 2, 2, 3, 3, 5]",56,6.824
CFIN_P2conv_gs_s1,int4,mtbench,99,"[1, 2, 2, 2, 6, 1, 2, 2, 3, 3, 3, 2, 6, 4, 1, 6, 6, 5, 5, 6, 5, 1, 4, 2, 1, 6, 2, 4, 2, 5, 3, 5, 6, 6, 6, 4]",36,4.4
CFIN_P2conv_gs_s1,int4,mtbench,100,"[3, 2, 1, 1, 1, 4, 2, 1, 2, 3, 3, 1, 1, 1, 4, 2, 2, 3, 4, 4, 3, 3, 3, 2, 2, 2, 3, 1, 1, 3, 5, 2, 3, 3, 2, 3, 3, 3, 1, 2, 4, 4, 1, 2, 1, 3, 6, 3, 2, 6, 4]",51,6.457
CFIN_P2conv_gs_s1,int4,mtbench,101,"[6, 1, 4, 3, 4, 4, 5, 4, 3, 4, 6, 3, 4, 6, 2, 5, 1, 1, 2, 3, 4, 3, 4, 1, 2, 2, 1, 3, 4, 6, 1, 6, 2]",33,5.025
CFIN_P2conv_gs_s1,int4,mtbench,102,"[6, 3, 4, 2, 2, 2, 2, 1, 3, 3, 2, 1, 2, 4, 3, 6, 1, 3, 4, 2, 2, 3, 4, 3, 4, 5, 5, 4, 2, 2, 3, 2, 1, 3, 3, 6, 4, 2, 4, 1, 1, 3, 1, 4]",44,5.384
CFIN_P2conv_gs_s1,int4,mtbench,103,"[4, 2, 6, 3, 4, 5, 3, 5, 3, 3, 3, 3, 6, 3, 1, 5, 6, 2, 4, 1, 3, 4, 5, 2, 3, 5, 2, 2, 4, 3, 1, 4, 2, 4, 3, 2, 3, 2, 6]",39,4.805
CFIN_P2conv_gs_s1,int4,mtbench,104,"[4, 4, 6, 1, 2, 5, 3, 3, 2, 2, 3, 2, 6, 3]",14,1.809
CFIN_P2conv_gs_s1,int4,mtbench,105,"[2, 3, 2, 2, 2, 3, 2, 3, 2, 4, 4, 5, 1]",13,1.7
CFIN_P2conv_gs_s1,int4,mtbench,106,"[4, 6, 2, 4, 2, 2, 3, 6, 3, 2, 6, 4, 3, 3, 4, 4, 4, 5, 4, 2, 2, 3, 4, 2, 4, 5, 4, 2, 3, 6, 6, 1]",32,3.967
CFIN_P2conv_gs_s1,int4,mtbench,107,"[4, 6, 4, 5, 4, 2, 3, 2, 2, 1, 2, 6, 5, 2, 6, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 1, 3, 2, 3, 6, 5, 1]",32,3.963
CFIN_P2conv_gs_s1,int4,mtbench,108,"[4, 6, 6, 1, 4, 3, 2, 3, 3, 4, 5, 5, 3, 1, 2, 4, 2, 3, 4, 2, 2, 4, 4, 1, 3, 3, 3, 3, 1, 2, 3, 2, 4, 4, 3, 3, 2, 4, 6, 4]",40,4.907
CFIN_P2conv_gs_s1,int4,mtbench,109,"[2, 3, 4, 6, 4, 4, 3, 3, 4, 5, 3, 4, 2, 4, 2, 4, 4, 2, 6, 3, 2, 3, 3, 2, 4, 1, 1, 3, 4, 2, 6, 2, 3, 5, 6, 5, 5]",37,4.539
CFIN_P2conv_gs_s1,int4,mtbench,110,"[6, 6, 4, 3, 3, 3, 5, 2, 4, 2, 1]",11,1.439
CFIN_P2conv_gs_s1,int4,mtbench,111,"[6, 3, 6, 4, 4, 6, 6, 1, 1, 2, 3, 2, 5, 5, 2, 1, 3, 5, 3, 4, 2, 4, 6, 1, 4, 3, 3, 2, 3, 6, 4, 3, 4, 4, 6, 2]",36,4.424
CFIN_P2conv_gs_s1,int4,mtbench,112,"[4, 6, 4, 1, 5, 4, 4, 6, 3, 4, 4, 3, 3, 6, 4, 6, 2, 4, 4, 4, 3, 6, 4, 4, 3, 6, 6, 3, 2, 6, 4]",31,3.827
CFIN_P2conv_gs_s1,int4,mtbench,113,"[6, 6, 3, 4, 4, 4, 4, 2, 3, 4, 3, 5, 4, 4, 5, 4, 3, 3, 1, 3, 2, 2, 3, 3, 2, 4, 3, 3, 4, 6, 2, 1, 4, 4, 5, 4, 5]",37,4.543
