tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_0,"[5, 5, 6, 1, 6, 5, 5, 4, 6, 3, 3, 5, 4, 3, 3, 2, 2, 6, 5, 3, 3, 4, 1, 3, 6, 1, 2, 3, 5, 4, 4, 3, 6, 4]",34,6.683
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_1,"[4, 3, 3, 3, 4, 3, 5, 2, 6, 4, 3, 3, 3, 2, 2, 3, 4, 4, 3, 4, 4, 3, 4, 6, 4, 4, 1, 3, 2, 2, 3, 3, 3, 2, 4, 4, 4, 4]",38,6.452
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_2,"[6, 5, 4, 2, 3, 2, 6, 3, 4, 4, 4, 3, 2, 3, 5, 2, 3, 6, 3, 4, 2, 2, 2, 2, 4, 6, 3, 3, 5, 4, 1, 4, 2, 1, 1, 3, 4, 4, 5]",39,6.663
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_4,"[1, 2, 3, 2, 5, 4, 2, 2, 2, 4, 3, 2, 5, 1, 3, 4, 5, 4, 3, 2, 2, 3, 2, 5, 4, 4, 3, 4, 3, 4, 4, 5, 2, 2, 2, 3, 6, 5, 6]",39,6.634
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_5,"[3, 4, 6, 3, 2, 3, 4, 3, 3, 3, 6, 4, 2, 2, 3, 4, 2, 4, 3, 4, 3, 3, 4, 3, 2, 4, 3, 3, 3, 3, 3, 1, 4, 3, 3, 6, 3, 3, 1, 4]",40,6.777
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_6,"[6, 6, 4, 3, 4, 4, 1, 5, 6, 2, 4, 2, 3, 5, 3, 4, 4, 2, 1, 2, 2, 5, 6, 1, 4, 2, 2, 4, 2, 6, 2, 5, 1, 5, 3, 2, 3, 4]",38,6.431
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_8,"[3, 3, 5, 4, 4, 2, 2, 4, 3, 3, 2, 5, 4, 3, 3, 4, 3, 2, 1, 1, 4, 3, 1, 4, 2, 4, 4, 2, 3, 4, 1, 2, 6, 4, 3, 6, 1, 4, 3, 4, 6]",41,6.022
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 5, 6, 1, 3, 3, 3, 6, 2, 1, 2, 3, 2, 1, 2, 2, 6, 3, 4, 6, 3, 4, 3, 3, 6, 2, 3, 4, 1, 3, 4, 3, 6, 4]",37,4.807
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_10,"[5, 4, 1, 3, 2, 4, 6, 6, 4, 6, 4, 2, 1, 2, 3, 2, 3, 1, 4, 2, 2, 5, 2, 6, 5, 2, 6, 5, 6, 5, 2, 2, 3, 4, 3, 2, 4]",37,4.815
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_13,"[6, 4, 3, 2, 4, 3, 5, 2, 2, 3, 2, 1, 3, 1, 4, 4, 3, 6, 4, 4, 2, 1, 3, 4, 4, 1, 1, 1, 1, 1, 2, 3, 2, 2, 3, 4, 1, 2, 2, 2, 2, 1, 2, 2, 3, 6, 6]",47,6.086
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_15,"[6, 5, 4, 3, 2, 4, 3, 4, 4, 3, 3, 3, 5, 3, 4, 4, 1, 4, 4, 3, 3, 4, 2, 2, 4, 4, 4, 4, 4, 2, 4, 2, 4, 2, 3, 4, 2, 3]",38,4.932
CFIN_P2conv_gs_s2,int4,sharegpt,sharegpt_16,"[1, 1, 3, 3, 1, 2]",6,0.884
