tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gs_s1,int4,mtbench,81,"[3, 1, 4, 2, 3, 2, 3, 1, 4, 4, 4, 5, 3, 2, 3, 3, 2, 2, 4, 2, 4, 3, 6, 4, 3, 3, 6, 5, 3, 2, 4, 3, 4, 4, 3, 3, 3, 1, 2, 3, 3]",41,8.252
CFIN_P2hybrid_gs_s1,int4,mtbench,82,"[4, 2, 4, 4, 6, 2, 6, 5, 3, 4, 2, 4, 6, 4, 2, 3, 2, 4, 3, 5, 6, 1, 2, 2, 4, 4, 6, 3, 5, 4, 1, 1, 2, 1, 2, 2, 4, 4]",38,7.358
CFIN_P2hybrid_gs_s1,int4,mtbench,83,"[6, 4, 4, 6, 3, 4, 6, 4, 4, 4, 2, 4, 4, 4, 2, 5, 1, 4, 1, 1, 1, 3, 3, 6, 1, 2, 3, 1, 2, 2, 2, 4, 5, 2, 2, 2, 2, 3, 3, 5, 2]",41,7.844
CFIN_P2hybrid_gs_s1,int4,mtbench,84,"[4, 2, 3, 3, 6, 3, 4, 4, 3, 3, 4, 3, 2, 2, 4, 3, 1, 2, 4, 4, 6, 3, 4, 4, 3, 2, 4, 6, 4, 3, 4, 2, 3, 3, 5, 3, 3, 1, 3]",39,5.313
CFIN_P2hybrid_gs_s1,int4,mtbench,85,"[4, 6, 6, 2, 2, 1, 4, 2, 3, 4, 2, 2, 1, 6, 2, 4, 2, 2, 2, 1, 4, 4, 5, 3, 2, 6, 1, 1, 4, 1, 2, 3, 4, 4, 2, 2, 3, 2, 4, 3, 2, 3, 5]",43,5.453
CFIN_P2hybrid_gs_s1,int4,mtbench,86,"[2, 3, 3, 6, 1, 1, 4, 4, 1, 3, 1, 2, 2, 3, 4, 4, 4, 2, 1, 2, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 4, 2, 1, 2, 3, 2, 1, 3, 2, 1, 1, 2, 1, 1, 3, 2, 2, 3, 2, 4, 1, 2, 5]",55,6.951
CFIN_P2hybrid_gs_s1,int4,mtbench,87,"[2, 4, 4, 3, 2, 3, 4, 2, 3, 2, 3, 1, 1, 4, 1, 2, 1, 1, 6, 3, 3, 2, 3, 3, 3, 5, 1, 2, 3, 3, 3, 3, 2, 3, 4, 1, 4, 4, 2, 1, 4, 5, 4, 3, 2, 2, 2]",47,7.754
CFIN_P2hybrid_gs_s1,int4,mtbench,88,"[2, 2, 3, 2, 2, 2, 4, 3, 2, 2, 3, 2, 3, 1, 5, 4, 2, 2, 2, 4, 2, 3, 1, 2, 1, 2, 2, 4, 3, 2, 3, 2, 1, 3, 3, 2, 2, 2, 2, 3, 4, 4, 2, 1, 4, 3, 2, 3, 3, 4, 1]",51,8.762
CFIN_P2hybrid_gs_s1,int4,mtbench,89,"[2, 3, 6, 2, 5, 4, 4, 4, 4, 2, 2, 4, 3, 5, 1, 2, 3, 3, 2, 2, 1, 2, 2, 4, 1, 2, 4, 1, 2, 3, 3, 4, 3, 3, 2, 4, 2, 2, 4, 3, 1, 5, 4, 6]",44,5.568
CFIN_P2hybrid_gs_s1,int4,mtbench,90,"[1, 3, 3, 3, 4, 2, 5, 2, 5, 1, 2, 3, 4, 3, 1, 4, 1, 4, 2, 5, 2, 2, 4, 3, 3, 1, 3, 2, 3, 1]",30,3.825
CFIN_P2hybrid_gs_s1,int4,mtbench,91,"[4, 3, 4, 5, 1, 4, 4, 3, 6, 2, 5, 2, 1, 1, 1, 2, 2, 1, 2, 3, 2, 1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 1, 6, 1, 1, 4, 1, 3, 3, 1, 1, 3, 1, 2, 2, 2, 2, 3, 2, 3, 1, 3, 3, 2]",54,6.728
CFIN_P2hybrid_gs_s1,int4,mtbench,92,"[3, 3, 3, 3, 1, 3, 2, 2, 1, 3, 4, 3, 3, 1, 4, 2, 1, 1, 2, 1, 3, 3, 3, 2, 2, 1, 1, 3, 1, 1, 4, 3, 2, 1, 1, 2, 3, 4, 3, 1, 3, 2, 1, 2, 3, 3, 2, 2, 2, 1, 5, 1, 1, 2, 1, 1, 3, 3]",58,7.159
