tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 2, 3, 6, 4, 6, 6, 6, 4, 6, 4, 2, 3, 4, 1, 2, 4, 4, 3, 4, 4, 4, 3, 3, 2, 2, 4, 4, 2, 3, 5, 2, 4]",35,6.352
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_1,"[4, 3, 1, 4, 3, 6, 6, 5, 6, 4, 4, 4, 4, 3, 2, 4, 3, 2, 4, 5, 4, 1, 1, 5, 3, 5, 4, 1, 6, 6, 3, 3, 4, 3, 4]",35,5.927
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_2,"[3, 3, 2, 4, 3, 2, 4, 5, 6, 4, 6, 5, 2, 3, 4, 5, 4, 6, 4, 4, 4, 6, 6, 5, 4, 6, 5, 4, 4, 5]",30,5.078
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_3,"[3, 6, 4, 4, 5, 4, 5, 2, 4, 3, 4, 4, 3, 4, 3, 3, 2, 5, 2, 4, 3, 1, 4, 4, 4, 1, 5, 2, 3, 4, 3, 6, 2, 3, 1, 1, 2, 2, 4]",39,6.548
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_4,"[3, 5, 5, 6, 4, 5, 3, 4, 2, 3, 3, 4, 3, 2, 4, 4, 5, 4, 3, 4, 2, 3, 6, 5, 4, 6, 3, 5, 4, 6, 4, 2, 4]",33,5.571
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 4, 2, 3, 6, 3, 4, 4, 3, 3, 1, 1, 1, 2, 3, 4, 5, 4, 4, 4, 2, 3, 2, 1, 2, 6, 4, 2, 4, 5, 5, 2, 6, 3, 4, 4]",38,6.19
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_6,"[4, 6, 2, 4, 3, 6, 4, 5, 2, 1, 4, 3, 3, 4, 5, 2, 3, 4, 5, 2, 5, 2, 1, 5, 4, 4, 6, 3, 1, 5, 4, 5, 5, 4, 5]",35,4.927
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_7,"[5, 1, 4, 2, 2, 3, 4, 4, 2, 3, 4, 6, 4, 6, 4, 4, 3, 4, 6, 2, 2, 3, 1, 4, 4, 3, 2, 4, 3, 6, 2, 4, 3, 4, 3, 1, 1, 1, 4]",39,4.948
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_8,"[3, 3, 1, 4, 4, 3, 3, 5, 5, 5, 6, 4, 2, 4, 3, 1, 2, 6, 1, 2, 4, 2, 4, 2, 6, 4, 3, 5, 2, 6, 4, 4, 3, 2, 4, 3, 2, 3]",38,4.889
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_9,"[3, 6, 3, 4, 4, 6, 3, 2, 4, 3, 5, 2, 6, 3, 6, 4, 4, 4, 4, 4, 5, 2, 6, 4, 6, 6, 4, 5, 5, 2, 3]",31,3.975
CFIN_P2hybrid_gsr5_s0,int4,gsm8k,gsm8k_test_10,"[3, 6, 4, 3, 4, 6, 5, 2, 1, 4, 4, 4, 1, 1, 2, 1, 4, 3, 3, 4, 3, 4, 4, 2, 1, 5, 2, 2, 1, 2, 1, 1, 4, 2, 5, 1, 2, 4, 6, 5, 2, 2, 2]",43,5.452
