tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gsr5_s2,int4,mtbench,81,"[5, 3, 2, 2, 2, 2, 3, 2, 2, 4, 6, 5, 1, 2, 4, 1, 1, 6, 3, 2, 1, 1, 1, 1, 5, 1, 3, 2, 2, 4, 3, 3, 2, 2, 2, 1, 4, 2, 2, 2, 4, 2, 3, 1, 2, 4, 4, 2, 3, 3]",50,10.883
CFIN_P2hybrid_gsr5_s2,int4,mtbench,82,"[4, 2, 4, 3, 6, 3, 6, 4, 2, 3, 3, 2, 5, 6, 3, 1, 1, 4, 1, 2, 3, 3, 5, 3, 3, 2, 5, 4, 6, 2, 4, 3, 4, 4, 3, 3, 6]",37,7.971
CFIN_P2hybrid_gsr5_s2,int4,mtbench,83,"[6, 4, 4, 6, 3, 4, 6, 4, 4, 4, 2, 2, 6, 4, 2, 5, 1, 3, 2, 1, 2, 3, 1, 2, 3, 1, 2, 5, 2, 2, 2, 5, 4, 2, 2, 3, 3, 1, 3, 1, 3, 3]",42,8.307
CFIN_P2hybrid_gsr5_s2,int4,mtbench,84,"[4, 3, 2, 4, 4, 4, 2, 6, 4, 2, 5, 3, 3, 1, 3, 1, 1, 2, 3, 2, 3, 4, 2, 4, 2, 2, 4, 2, 3, 4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 4]",41,6.919
CFIN_P2hybrid_gsr5_s2,int4,mtbench,85,"[6, 5, 6, 2, 2, 4, 2, 3, 4, 2, 2, 1, 3, 3, 2, 3, 1, 1, 3, 4, 2, 3, 2, 5, 5, 2, 2, 4, 4, 1, 5, 2, 4, 1, 4, 2, 2, 3, 3, 3, 2, 3, 4, 1]",44,8.614
CFIN_P2hybrid_gsr5_s2,int4,mtbench,86,"[2, 4, 4, 5, 1, 4, 4, 3, 2, 2, 3, 4, 3, 3, 4, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 4, 2, 1, 2, 3, 2, 1, 2, 1, 1, 2, 3, 1, 3, 1, 2, 1, 4, 3, 2, 2, 3, 2]",55,9.552
CFIN_P2hybrid_gsr5_s2,int4,mtbench,87,"[3, 4, 5, 3, 4, 2, 2, 1, 4, 2, 4, 3, 1, 1, 3, 1, 1, 2, 1, 1, 4, 3, 2, 2, 5, 2, 1, 1, 1, 1, 2, 5, 4, 2, 3, 3, 4, 2, 2, 4, 3, 3, 4, 4, 3, 5, 2, 1, 3]",49,7.694
CFIN_P2hybrid_gsr5_s2,int4,mtbench,88,"[3, 1, 3, 2, 2, 2, 4, 3, 2, 3, 3, 1, 1, 3, 4, 2, 4, 3, 2, 4, 1, 4, 4, 1, 3, 2, 4, 4, 1, 3, 4, 1, 4, 2, 2, 4, 2, 1, 2, 1, 1, 4, 4, 2, 5, 5, 3, 4]",48,6.409
CFIN_P2hybrid_gsr5_s2,int4,mtbench,89,"[2, 4, 5, 2, 4, 3, 4, 6, 3, 2, 3, 4, 4, 5, 2, 3, 3, 2, 3, 4, 6, 5, 2, 2, 4, 1, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 3]",37,6.621
CFIN_P2hybrid_gsr5_s2,int4,mtbench,90,"[1, 1, 5, 3, 3, 3, 3, 3, 1, 3, 3, 1, 4, 3, 2, 3, 4, 2, 4, 2, 5, 2, 4, 4, 2, 4, 1, 3, 4, 2, 3, 5, 3, 1]",34,6.947
