tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_0,"[3, 2, 4, 2, 2, 5, 4, 3, 5, 2, 4, 6, 2, 4, 4, 3, 2, 3, 2, 4, 5, 4, 3, 4, 3, 5, 4, 4, 2, 5, 2, 2, 3, 4, 3, 4, 6]",37,6.651
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 4, 4, 3, 4, 2, 4, 4, 2, 2, 4, 6, 2, 4, 4, 3, 2, 3, 4, 2, 6, 5, 2, 4, 2, 4, 4, 2, 2, 5, 4, 4, 6, 4, 6]",37,6.148
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_2,"[1, 2, 3, 2, 4, 3, 2, 3, 3, 4, 4, 2, 2, 4, 6, 4, 4, 3, 6, 4, 4, 4, 3, 2, 3, 1, 6, 5, 2, 4, 5, 6, 2, 5, 4, 1, 1, 2, 1, 2]",40,6.598
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_3,"[3, 5, 4, 2, 4, 3, 3, 1, 6, 4, 4, 2, 3, 6, 1, 5, 3, 4, 1, 4, 4, 6, 2, 1, 2, 6, 5, 4, 4, 3, 1, 4, 3, 4, 4, 3, 3, 4]",38,6.291
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_4,"[1, 4, 6, 2, 3, 3, 3, 6, 2, 3, 2, 4, 4, 4, 3, 2, 1, 3, 4, 6, 5, 4, 2, 3, 4, 4, 4, 2, 3, 4, 4, 4, 6, 3, 6, 3, 4]",37,6.13
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_5,"[6, 5, 3, 6, 2, 4, 6, 3, 2, 4, 2, 3, 5, 6, 6, 2, 4, 4, 4, 4, 3, 6, 1, 6, 6, 6, 3, 6, 4, 6]",30,4.79
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_6,"[3, 3, 6, 4, 3, 2, 4, 2, 6, 3, 1, 4, 6, 1, 3, 4, 2, 2, 4, 6, 2, 3, 4, 1, 4, 3, 3, 5, 6, 2, 3, 5, 4, 4, 3, 4, 3]",37,4.631
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_7,"[1, 2, 1, 6, 4, 3, 3, 5, 3, 4, 3, 3, 2, 3, 2, 5, 4, 2, 4, 6, 1, 3, 4, 4, 2, 4, 4, 2, 3, 2, 2, 5, 4, 1, 1, 3, 5, 2, 2, 6, 4]",41,5.11
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_8,"[1, 2, 2, 2, 4, 4, 4, 4, 4, 4, 2, 4, 6, 3, 2, 4, 4, 5, 2, 4, 4, 1, 4, 6, 5, 3, 5, 2, 5, 3, 4, 4, 2, 4, 1, 5, 6]",37,4.621
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_9,"[4, 6, 2, 4, 3, 3, 2, 4, 6, 3, 5, 4, 4, 2, 4, 3, 5, 4, 6, 4, 2, 1, 5, 3, 4, 4, 4, 2, 4, 6, 4, 4, 2, 3, 2]",35,4.44
CFIN_QH_gs_s1,int4,gsm8k,gsm8k_test_10,"[4, 4, 3, 3, 4, 4, 6, 2, 4, 6, 5, 4, 1, 6, 4, 3, 2, 6, 4, 6, 4, 5, 4, 6, 5, 4, 6, 4, 4, 2, 3]",31,3.89
