tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gs_s1,int4,mtbench,81,"[3, 4, 3, 3, 4, 2, 2, 2, 5, 6, 3, 2, 3, 3, 2, 1, 3, 3, 3, 5, 2, 3, 4, 4, 4, 5, 4, 4, 4, 3, 6, 3, 6, 3, 2, 4, 2, 1, 5]",39,6.847
CFIN_QH_gs_s1,int4,mtbench,82,"[5, 3, 2, 4, 6, 2, 6, 4, 4, 6, 5, 6, 4, 4, 1, 2, 2, 4, 4, 4, 3, 3, 3, 3, 5, 4, 1, 1, 4, 5, 4, 4, 3, 2, 2, 3]",36,5.983
CFIN_QH_gs_s1,int4,mtbench,83,"[5, 5, 4, 6, 3, 4, 6, 2, 4, 6, 4, 3, 5, 6, 1, 1, 2, 3, 3, 5, 2, 1, 2, 4, 4, 5, 3, 4, 3, 3, 1, 3, 5, 5, 1, 1, 2, 4]",38,6.451
CFIN_QH_gs_s1,int4,mtbench,84,"[4, 2, 4, 6, 4, 4, 6, 3, 6, 3, 1, 2, 4, 6, 4, 2, 5, 5, 4, 4, 1, 3, 4, 4, 3, 4, 4, 4, 2, 4, 6, 4, 2, 3, 2]",35,5.863
CFIN_QH_gs_s1,int4,mtbench,85,"[3, 4, 4, 6, 2, 3, 4, 1, 3, 4, 2, 1, 4, 4, 3, 1, 3, 3, 2, 4, 1, 2, 1, 2, 4, 2, 2, 3, 4, 2, 2, 3, 1, 4, 3, 2, 1, 1, 1, 5, 2, 2, 3, 1, 2, 2, 2, 2, 3, 4]",50,9.012
CFIN_QH_gs_s1,int4,mtbench,86,"[2, 2, 6, 5, 4, 5, 3, 3, 1, 1, 2, 4, 2, 2, 3, 2, 2, 2, 1, 3, 3, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 5, 1, 5, 4, 1, 1, 1, 2, 2, 1, 1, 2, 3, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2, 2]",55,8.962
CFIN_QH_gs_s1,int4,mtbench,87,"[2, 3, 2, 5, 5, 5, 2, 3, 3, 3, 1, 3, 3, 5, 4, 3, 4, 1, 2, 3, 1, 2, 4, 3, 1, 1, 2, 3, 1, 2, 4, 4, 2, 3, 4, 4, 3, 2, 2, 2, 2, 3, 3, 6, 5]",45,7.294
CFIN_QH_gs_s1,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 3, 2, 2, 3, 4, 1, 1, 3, 1, 4, 1, 2, 1, 2, 3, 2, 4, 4, 2, 1, 2, 3, 2, 2, 5, 2, 3, 4, 3, 2, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 4, 2, 4, 4, 3]",51,7.132
CFIN_QH_gs_s1,int4,mtbench,89,"[1, 4, 6, 2, 6, 4, 4, 4, 2, 2, 4, 6, 4, 2, 4, 4, 4, 2, 4, 6, 3, 5, 3, 4, 5, 4, 4, 4, 4, 5, 3, 3, 3, 6]",34,4.213
CFIN_QH_gs_s1,int4,mtbench,90,"[1, 4, 3, 3, 3, 2, 3, 4, 4, 2, 2, 3, 2, 4, 1, 2, 4, 3, 2, 2, 2, 5, 3, 3, 2, 3, 2, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 2, 5, 4, 3]",41,5.058
CFIN_QH_gs_s1,int4,mtbench,91,"[1, 4, 4, 5, 2, 2, 2, 3, 3, 2, 5, 4, 2, 1, 2, 2, 4, 2, 2, 4, 3, 3, 2, 2, 2, 4, 3, 2, 6, 2, 2, 1, 1, 4, 5, 3, 4, 2, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 4]",49,5.997
CFIN_QH_gs_s1,int4,mtbench,92,"[3, 3, 1, 2, 3, 1, 3, 1, 3, 3, 1, 2, 3, 2, 2, 2, 2, 2, 5, 3, 3, 3, 4, 2, 1, 2, 2, 4, 2, 3, 4, 4, 3, 2, 4, 2, 3, 2, 2, 1, 4, 3, 2, 1, 1, 4, 3, 1, 2, 2, 4, 5]",52,6.36
CFIN_QH_gs_s1,int4,mtbench,93,"[1, 6, 5, 2, 2, 4, 5, 3, 4, 5, 4, 5, 1, 1, 2, 3, 3, 2, 3, 3, 2, 2, 2, 3, 1, 3, 4, 3, 3, 5, 4, 1, 4, 2, 4, 3, 5, 3, 2, 2, 2, 3, 4]",43,5.327
CFIN_QH_gs_s1,int4,mtbench,94,"[3, 4, 4, 2, 2, 3, 3, 4, 4, 3, 2, 5, 3, 2, 4, 4, 2, 2, 3, 4, 6, 2, 2, 1, 3, 3, 2, 1, 1, 4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 5]",41,5.051
CFIN_QH_gs_s1,int4,mtbench,95,"[3, 4, 4, 2, 6, 4, 3, 2, 2, 2, 2, 2, 2, 1, 2, 3, 1, 1, 1, 1, 2, 3, 3, 1, 2, 2, 2, 6, 5, 4, 4, 3, 4, 3, 1, 5, 6, 1, 3, 3, 4, 2, 5, 1, 2, 2, 2]",47,5.766
CFIN_QH_gs_s1,int4,mtbench,96,"[1, 4, 2, 5, 4, 3, 4, 4, 4, 2, 4, 3, 3, 5, 4, 3, 5, 1, 4, 5, 2, 3, 2, 6, 5, 2, 2, 3, 4, 2, 2, 2, 3, 5, 1, 4, 4, 5, 4]",39,4.806
CFIN_QH_gs_s1,int4,mtbench,97,"[3, 6, 3, 1, 2, 5, 4, 3, 1, 3, 5, 3, 4, 4, 6, 3, 2, 4, 6, 3, 5, 2, 2, 2, 4, 3, 3, 2, 4, 1, 1, 2, 4, 2, 2, 5, 4, 4, 2, 3]",40,4.917
CFIN_QH_gs_s1,int4,mtbench,98,"[3, 2, 1, 2, 3, 3, 1, 1, 1, 1, 2, 3, 4, 3, 1, 1, 2, 6, 1, 2, 1, 1, 4, 4, 1, 1, 4, 2, 2, 1, 3, 4, 2, 1, 4, 4, 1, 2, 6, 2, 6, 1, 3, 4, 2, 4, 2, 1, 3, 4, 4, 3]",52,6.415
CFIN_QH_gs_s1,int4,mtbench,99,"[1, 4, 2, 5, 1, 2, 2, 2, 3, 1, 4, 3, 3, 4, 5, 2, 5, 4, 4, 6, 3, 5, 3, 4, 2, 5, 3, 6, 4, 3, 3, 5, 4, 2, 4, 4, 4, 2]",38,4.719
CFIN_QH_gs_s1,int4,mtbench,100,"[3, 3, 3, 2, 2, 5, 1, 1, 1, 2, 3, 4, 1, 2, 2, 6, 1, 1, 1, 4, 2, 4, 5, 4, 1, 3, 1, 3, 2, 4, 6, 1, 3, 2, 6, 2, 2, 2, 4, 2, 1, 2, 1, 3, 2, 5, 2, 3, 4]",49,6.033
CFIN_QH_gs_s1,int4,mtbench,101,"[1, 4, 2, 4, 3, 1, 3, 5, 5, 3, 2, 2, 2, 4, 4, 4, 3, 6, 4, 3, 1, 2, 4, 4, 2, 5, 3, 6, 6, 6, 2]",31,3.853
