tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gsr5_s2,int4,mtbench,81,"[3, 3, 4, 3, 3, 3, 2, 2, 5, 6, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 5, 2, 6, 4, 3, 2, 4, 5, 3, 3, 2, 4, 4, 5, 3, 5, 5, 2, 4]",39,9.047
CFIN_QH_gsr5_s2,int4,mtbench,82,"[4, 2, 2, 2, 6, 4, 2, 6, 5, 3, 6, 4, 4, 5, 3, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 1, 3, 1, 2, 4, 4, 1, 1, 2, 2, 4]",40,8.399
CFIN_QH_gsr5_s2,int4,mtbench,83,"[6, 4, 4, 6, 3, 5, 6, 3, 5, 4, 4, 1, 2, 4, 4, 3, 3, 2, 5, 1, 1, 2, 3, 2, 1, 5, 3, 4, 2, 2, 5, 1, 2, 2, 2, 4, 2, 4, 2, 3, 4]",41,8.547
CFIN_QH_gsr5_s2,int4,mtbench,84,"[4, 2, 6, 5, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 2, 5, 5, 5, 3, 1, 4, 2, 2, 4, 4, 4, 4, 2, 2, 6, 3, 3, 3, 2, 2, 3]",37,7.843
CFIN_QH_gsr5_s2,int4,mtbench,85,"[1, 5, 5, 6, 2, 3, 4, 1, 3, 4, 2, 1, 1, 3, 1, 4, 2, 1, 1, 2, 4, 3, 2, 4, 2, 2, 2, 4, 3, 2, 2, 1, 2, 4, 3, 1, 2, 2, 4, 2, 2, 2, 2, 5, 3, 3, 1, 2, 1, 1, 4]",51,10.897
CFIN_QH_gsr5_s2,int4,mtbench,86,"[1, 3, 4, 6, 2, 3, 3, 2, 3, 2, 3, 3, 3, 2, 2, 1, 4, 3, 4, 4, 2, 2, 2, 1, 4, 1, 2, 1, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2, 4, 3, 2, 2, 3, 1, 3, 2, 2, 4, 2, 4]",51,10.756
CFIN_QH_gsr5_s2,int4,mtbench,87,"[3, 2, 4, 4, 5, 5, 3, 3, 2, 1, 2, 4, 2, 2, 2, 4, 2, 5, 4, 3, 2, 2, 2, 2, 3, 2, 2, 4, 3, 4, 1, 3, 2, 3, 1, 4, 2, 2, 5, 3, 4, 4, 4, 3]",44,9.339
CFIN_QH_gsr5_s2,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 3, 2, 2, 4, 2, 2, 1, 1, 2, 1, 4, 2, 3, 3, 3, 6, 4, 1, 6, 1, 3, 2, 6, 3, 2, 3, 4, 2, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 5, 2, 2, 3, 5]",52,9.341
CFIN_QH_gsr5_s2,int4,mtbench,89,"[1, 2, 4, 4, 2, 4, 3, 6, 4, 4, 2, 4, 4, 6, 1, 2, 3, 3, 4, 3, 3, 4, 4, 2, 2, 3, 2, 3, 4, 4, 4, 2, 3, 3, 2, 2, 4, 2, 4, 2, 3]",41,7.726
CFIN_QH_gsr5_s2,int4,mtbench,90,"[1, 4, 2, 4, 3, 4, 3, 3, 3, 2, 3, 4, 4, 1, 3, 3, 4, 3, 2, 5, 3, 3, 3, 4, 3, 3, 2, 2, 2, 3, 4, 1]",32,7.016
CFIN_QH_gsr5_s2,int4,mtbench,91,"[1, 4, 6, 4, 3, 5, 3, 2, 2, 4, 5, 4, 3, 2, 2, 3, 3, 3, 5, 2, 3, 3, 3, 6, 3, 4, 4, 2, 3, 2, 3, 1, 2, 4, 2, 2, 3, 6, 4, 3]",40,8.253
CFIN_QH_gsr5_s2,int4,mtbench,92,"[3, 3, 1, 2, 3, 1, 3, 5, 4, 2, 2, 3, 1, 3, 3, 2, 1, 1, 2, 3, 3, 4, 2, 2, 3, 4, 3, 3, 1, 1, 3, 1, 3, 6, 1, 3, 5, 3, 3, 3, 4, 4, 1, 1, 6, 2, 4, 3]",48,8.452
CFIN_QH_gsr5_s2,int4,mtbench,93,"[2, 5, 5, 2, 4, 3, 4, 3, 5, 3, 3, 6, 3, 2, 3, 3, 2, 2, 2, 4, 4, 1, 1, 4, 2, 2, 3, 4, 4, 2, 4, 4, 6, 3, 5, 3, 3, 6, 4]",39,5.04
CFIN_QH_gsr5_s2,int4,mtbench,94,"[3, 5, 3, 2, 2, 3, 2, 3, 1, 3, 3, 4, 5, 3, 5, 2, 3, 2, 2, 1, 2, 4, 4, 4, 2, 3, 2, 1, 2, 3, 2, 3, 5, 3, 2, 3, 4, 2, 3, 2, 6, 2, 1, 3, 1, 2]",46,9.147
CFIN_QH_gsr5_s2,int4,mtbench,95,"[1, 2, 4, 1, 2, 3, 4, 4, 1, 1, 2, 3, 1, 3, 2, 1, 1, 2, 2, 2, 1, 4, 2, 1, 2, 4, 2, 1, 4, 3, 5, 3, 2, 2, 3, 3, 5, 1, 5, 2, 5, 3, 2, 3, 2, 2, 3, 3, 4, 2, 3]",51,6.75
CFIN_QH_gsr5_s2,int4,mtbench,96,"[1, 3, 3, 4, 4, 1, 3, 4, 6, 4, 5, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 1, 3, 1, 2, 3, 2, 6, 3, 3, 3, 2, 4, 3, 4, 4, 3, 2, 1, 6]",40,7.542
CFIN_QH_gsr5_s2,int4,mtbench,97,"[3, 6, 4, 2, 2, 3, 5, 3, 4, 4, 5, 2, 1, 4, 3, 4, 2, 2, 3, 2, 4, 4, 4, 2, 5, 2, 4, 1, 4, 4, 4, 5, 4, 2, 2, 4, 1, 2, 4, 2]",40,6.862
