tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_ls_s0,int4,mtbench,81,"[3, 3, 2, 2, 3, 4, 2, 2, 2, 6, 4, 4, 2, 4, 2, 2, 2, 3, 4, 3, 3, 3, 4, 3, 3, 4, 5, 4, 4, 4, 3, 2, 3, 4, 4, 1, 3, 3, 4, 4, 2]",41,7.82
CFIN_QH_ls_s0,int4,mtbench,82,"[4, 3, 3, 4, 3, 3, 2, 6, 5, 4, 6, 4, 6, 4, 1, 4, 3, 2, 6, 4, 6, 4, 6, 2, 1, 1, 4, 1, 3, 4, 4, 3, 1, 3, 4, 2, 4]",37,6.852
CFIN_QH_ls_s0,int4,mtbench,83,"[6, 4, 4, 6, 3, 4, 6, 4, 6, 3, 6, 4, 2, 2, 2, 3, 3, 4, 5, 2, 1, 4, 4, 4, 5, 5, 1, 6, 2, 3, 6, 1, 1, 2, 3, 2]",36,8.185
CFIN_QH_ls_s0,int4,mtbench,84,"[4, 2, 3, 4, 4, 4, 4, 6, 5, 4, 1, 3, 3, 5, 3, 3, 1, 4, 1, 3, 2, 4, 3, 4, 3, 3, 5, 4, 6, 3, 4, 4, 4, 3, 4, 2, 4]",37,7.447
CFIN_QH_ls_s0,int4,mtbench,85,"[1, 4, 5, 6, 3, 3, 3, 2, 3, 4, 2, 2, 1, 3, 1, 2, 3, 3, 4, 2, 1, 3, 3, 1, 1, 2, 3, 2, 6, 2, 4, 3, 1, 3, 2, 2, 2, 1, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 3, 2, 3]",51,9.931
CFIN_QH_ls_s0,int4,mtbench,86,"[2, 2, 5, 6, 5, 4, 3, 3, 1, 1, 2, 4, 2, 3, 4, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 3, 2, 2, 5, 2, 4, 3, 3, 3, 3, 4, 2, 2, 2, 1, 1, 2, 2, 4, 3]",55,9.019
CFIN_QH_ls_s0,int4,mtbench,87,"[4, 3, 5, 6, 5, 1, 4, 2, 3, 1, 3, 1, 2, 2, 1, 2, 1, 2, 5, 2, 3, 4, 2, 2, 2, 1, 1, 2, 4, 2, 2, 2, 2, 3, 3, 1, 3, 3, 3, 3, 2, 4, 2, 2, 4, 1, 3, 4, 3]",49,8.276
CFIN_QH_ls_s0,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 4, 3, 4, 3, 2, 1, 3, 4, 3, 4, 2, 2, 6, 4, 3, 3, 3, 4, 1, 3, 2, 4, 1, 1, 2, 2, 2, 3, 1, 4, 3, 2, 2, 2, 2, 4, 4, 3, 4, 2, 2, 4]",48,6.089
CFIN_QH_ls_s0,int4,mtbench,89,"[1, 4, 6, 2, 4, 3, 4, 6, 4, 2, 4, 5, 5, 1, 2, 2, 1, 3, 2, 2, 1, 2, 2, 4, 3, 3, 3, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 1, 4]",43,5.957
CFIN_QH_ls_s0,int4,mtbench,90,"[1, 4, 4, 2, 3, 2, 4, 4, 3, 2, 2, 3, 2, 4, 1, 3, 3, 3, 2, 2, 2, 6, 4, 1, 2, 3, 2, 4, 2, 3, 4, 4, 2, 1, 2, 2, 4, 3, 2, 2, 5, 3, 4, 2, 3, 4]",46,5.812
CFIN_QH_ls_s0,int4,mtbench,91,"[1, 4, 4, 5, 2, 2, 2, 4, 4, 5, 2, 3, 2, 1, 2, 1, 2, 5, 2, 1, 4, 3, 2, 4, 4, 4, 2, 2, 5, 2, 3, 3, 2, 1, 1, 3, 6, 2, 4, 3, 1, 1, 4, 5, 2, 2]",46,5.739
CFIN_QH_ls_s0,int4,mtbench,92,"[3, 3, 1, 2, 3, 1, 3, 1, 3, 3, 1, 4, 3, 2, 3, 3, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 2, 2, 1, 4, 3, 2, 1, 1, 4, 2, 4, 2, 1, 6, 3, 1, 2, 1, 2, 2, 2, 3, 3, 2, 1, 2, 1, 3, 6]",56,7.3
CFIN_QH_ls_s0,int4,mtbench,93,"[1, 6, 5, 2, 2, 3, 5, 4, 4, 2, 2, 4, 3, 4, 4, 3, 2, 2, 1, 4, 6, 6, 1, 4, 1, 2, 2, 2, 4, 2, 4, 1, 1, 3, 2, 6, 3, 6, 3, 2, 3, 1]",42,5.768
CFIN_QH_ls_s0,int4,mtbench,94,"[3, 4, 4, 2, 2, 3, 2, 4, 2, 1, 5, 3, 4, 3, 6, 3, 6, 3, 5, 4, 4, 1, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 6, 2, 4, 4, 2]",38,4.76
CFIN_QH_ls_s0,int4,mtbench,95,"[1, 2, 4, 3, 3, 4, 4, 1, 1, 4, 4, 3, 1, 1, 2, 2, 1, 2, 3, 1, 2, 1, 1, 3, 4, 1, 3, 2, 2, 4, 1, 2, 3, 2, 3, 3, 4, 1, 3, 3, 3, 4, 4, 6, 2, 3, 3, 4, 1, 3]",50,6.197
CFIN_QH_ls_s0,int4,mtbench,96,"[1, 3, 3, 4, 3, 2, 4, 6, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2, 2, 1, 3, 3, 4, 4, 1, 4, 3, 5, 2, 1, 3, 5, 4, 4, 2, 4]",39,4.852
CFIN_QH_ls_s0,int4,mtbench,97,"[4, 6, 2, 1, 2, 3, 4, 2, 2, 1, 3, 4, 4, 2, 3, 4, 2, 5, 2, 4, 2, 5, 1, 3, 5, 4, 4, 5, 3, 4, 2, 3, 2, 2, 2, 4, 3, 4, 2, 2, 4, 2]",42,5.243
CFIN_QH_ls_s0,int4,mtbench,98,"[3, 2, 1, 2, 3, 3, 1, 1, 1, 1, 2, 4, 4, 2, 2, 4, 1, 2, 4, 2, 3, 2, 4, 4, 2, 4, 1, 2, 3, 2, 1, 3, 2, 2, 2, 2, 3, 4, 2, 4, 3, 2, 3, 2, 4, 2, 3, 1, 1, 2, 1, 1, 3, 4]",54,6.683
CFIN_QH_ls_s0,int4,mtbench,99,"[1, 2, 2, 4, 3, 1, 1, 1, 3, 4, 6, 4, 4, 2, 4, 6, 5, 4, 3, 3, 3, 6, 4, 2, 3, 2, 2, 2, 1, 1, 4, 3, 3, 2, 4, 4, 6, 4, 4, 4, 2]",41,5.101
CFIN_QH_ls_s0,int4,mtbench,100,"[3, 4, 1, 2, 3, 1, 1, 4, 1, 6, 5, 4, 3, 4, 1, 1, 2, 1, 1, 5, 3, 2, 3, 2, 5, 1, 3, 3, 2, 4, 2, 2, 2, 2, 5, 3, 4, 1, 1, 3, 2, 2, 1, 6, 2, 3, 1, 4, 2]",49,6.094
CFIN_QH_ls_s0,int4,mtbench,101,"[3, 4, 6, 4, 4, 3, 4, 4, 2, 4, 6, 5, 4, 6, 2, 5, 1, 2, 2, 4, 4, 2, 4, 4, 1, 2, 1, 1, 4, 4, 1, 2, 4, 3, 4, 2, 2, 2, 3, 2, 4]",41,5.124
CFIN_QH_ls_s0,int4,mtbench,102,"[1, 4, 2, 6, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 4, 5, 2, 2, 2, 2, 2, 2, 2, 1, 6, 3, 4, 3, 3, 3, 4, 3, 4, 2, 4, 2, 6, 2, 2, 1, 2, 3, 1, 1, 2, 2, 2, 1, 3]",49,6.125
CFIN_QH_ls_s0,int4,mtbench,103,"[1, 5, 4, 5, 6, 4, 3, 3, 3, 4, 6, 3, 4, 4, 1, 4, 4, 6, 6, 4, 4, 4, 2, 6, 4, 4, 3, 2, 3, 3, 3, 1, 1, 2, 3, 3]",36,4.525
CFIN_QH_ls_s0,int4,mtbench,104,"[3, 3, 6, 2, 4, 2, 2, 4, 4, 4, 5, 2, 4, 6, 5, 4, 3, 4, 5, 5, 4, 2]",22,2.806
CFIN_QH_ls_s0,int4,mtbench,105,"[2, 4, 1, 2, 2, 3, 2, 3, 2, 4, 4, 4, 2]",13,1.727
CFIN_QH_ls_s0,int4,mtbench,106,"[4, 6, 2, 4, 2, 4, 4, 4, 4, 6, 4, 3, 4, 2, 4, 4, 5, 5, 2, 4, 2, 3, 3, 6, 4, 4, 3, 6, 6, 1]",30,3.779
CFIN_QH_ls_s0,int4,mtbench,107,"[1, 5, 4, 4, 3, 6, 2, 3, 2, 2, 3, 3, 3, 6, 6, 4, 3, 4, 4, 4, 4, 5, 2, 4, 2, 5, 5, 5, 2, 4, 5, 6, 2]",33,4.143
CFIN_QH_ls_s0,int4,mtbench,108,"[4, 4, 3, 3, 3, 5, 2, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 2, 4, 2, 2, 3, 3, 3, 5, 1, 3, 4, 4, 3, 2, 4, 6, 4]",39,4.933
CFIN_QH_ls_s0,int4,mtbench,109,"[1, 3, 4, 3, 5, 1, 4, 6, 4, 3, 2, 2, 3, 3, 1, 5, 3, 2, 4, 2, 6, 2, 2, 6, 4, 3, 3, 4, 2, 3, 2, 1, 4, 2, 4, 3, 4, 2, 1, 5, 5]",41,5.14
CFIN_QH_ls_s0,int4,mtbench,110,"[1, 5, 5, 3, 4, 4, 2, 3, 3, 5, 2, 3, 6, 4, 2, 3, 4, 4, 6, 1, 1, 1, 4, 4, 2, 1, 1, 4, 2, 3, 4, 4, 1, 3, 4, 3, 3, 4, 4, 5]",40,5.006
CFIN_QH_ls_s0,int4,mtbench,111,"[1, 3, 3, 6, 2, 5, 4, 4, 4, 2, 2, 1, 3, 4, 4, 3, 3, 2, 1, 4, 6, 5, 1, 4, 5, 3, 4, 4, 1, 2, 3, 6, 6, 6, 2, 3, 3, 6]",38,4.769
CFIN_QH_ls_s0,int4,mtbench,112,"[1, 4, 4, 3, 2, 4, 6, 5, 3, 2, 3, 6, 6, 6, 3, 6, 4, 4, 6, 5, 6, 4, 6, 5, 3, 3, 6, 4, 6, 6]",30,3.791
