tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_0,"[1, 2, 4, 3, 4, 2, 2, 5, 2, 4, 3, 6, 5, 6, 3, 3, 3, 5, 2, 2, 2, 2, 6, 5, 1, 3, 3, 4, 5, 2, 6, 4, 5, 4, 5, 1, 2, 3]",38,6.999
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 2, 4, 3, 2, 4, 5, 6, 2, 4, 6, 4, 6, 6, 6, 3, 3, 2, 2, 2, 3, 6, 3, 1, 4, 2, 4, 6, 2, 4, 2, 2, 3, 3, 4, 3]",38,6.582
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_2,"[1, 2, 3, 4, 5, 2, 1, 2, 4, 4, 3, 2, 4, 6, 3, 4, 4, 3, 2, 2, 2, 4, 1, 4, 5, 2, 3, 6, 4, 6, 6, 4, 6, 3, 6, 6]",36,6.273
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_3,"[3, 4, 5, 2, 4, 4, 2, 1, 6, 4, 3, 3, 1, 2, 4, 3, 6, 3, 4, 4, 4, 4, 6, 4, 2, 5, 4, 4, 5, 6, 6, 4, 1, 6]",34,5.882
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_4,"[1, 4, 6, 2, 3, 3, 3, 6, 2, 3, 2, 2, 6, 4, 3, 2, 1, 2, 3, 4, 4, 6, 4, 4, 2, 5, 6, 2, 3, 4, 4, 4, 6, 2, 6, 4]",36,6.163
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 4, 5, 3, 4, 5, 2, 4, 2, 1, 1, 4, 2, 2, 2, 4, 2, 4, 5, 1, 3, 6, 5, 6, 2, 5, 4, 3, 2, 6, 4, 6, 4]",36,6.34
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_6,"[3, 6, 3, 3, 3, 4, 3, 2, 5, 4, 1, 2, 5, 3, 1, 4, 6, 3, 6, 3, 3, 3, 5, 6, 3, 4, 2, 3, 4, 3, 6, 6, 4, 3, 6]",35,6.057
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_7,"[1, 2, 1, 6, 4, 3, 3, 4, 1, 4, 4, 3, 1, 3, 4, 6, 4, 2, 6, 5, 3, 5, 5, 4, 4, 3, 3, 2, 2, 4, 3, 3, 2, 4, 4, 4, 1, 4, 6]",39,6.687
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_8,"[1, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 6, 6, 2, 1, 1, 5, 4, 5, 2, 4, 4, 1, 3, 2, 6, 3, 3, 3, 4, 4, 3, 3, 1, 4, 4, 4, 1, 6]",40,6.144
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_9,"[4, 6, 2, 4, 3, 3, 4, 6, 2, 4, 4, 4, 4, 4, 4, 6, 6, 4, 6, 3, 1, 5, 3, 6, 4, 4, 6, 6, 6, 2, 4]",31,4.13
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_10,"[4, 6, 4, 6, 4, 5, 4, 6, 5, 4, 2, 3, 4, 4, 6, 6, 4, 3, 6, 6, 2, 5, 5, 4, 6, 4, 3, 6, 4]",29,3.885
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_11,"[3, 6, 3, 3, 4, 4, 4, 6, 2, 3, 3, 2, 2, 1, 2, 5, 1, 3, 4, 2, 5, 1, 3, 4, 4, 2, 4, 4, 4, 1, 2, 4, 2, 4, 1, 1, 3, 3, 6, 4, 6]",41,5.468
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_12,"[1, 2, 4, 5, 4, 4, 3, 2, 4, 2, 4, 6, 3, 6, 3, 4, 2, 4, 4, 4, 2, 3, 5, 5, 2, 2, 3, 4, 4, 3, 2, 2, 2, 2, 5, 3, 4, 4]",38,5.086
CFIN_QH_lsr5_s0,int4,gsm8k,gsm8k_test_13,"[4, 6, 4, 4, 3, 5, 3, 6, 4, 3, 5, 1, 4, 6, 4, 5, 4, 2, 2, 1, 4, 4, 4, 4, 3, 4, 4, 1, 4, 4, 2, 2, 2, 5, 3, 4]",36,5.126
