tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_lsr5_s1,int4,mtbench,81,"[3, 3, 4, 3, 2, 4, 2, 2, 5, 4, 5, 2, 2, 3, 2, 1, 2, 2, 3, 3, 4, 3, 1, 5, 2, 2, 3, 3, 3, 5, 6, 2, 4, 3, 4, 2, 3, 6, 4, 1, 4, 2]",42,7.499
CFIN_QH_lsr5_s1,int4,mtbench,82,"[4, 2, 2, 2, 4, 6, 2, 6, 5, 4, 5, 5, 6, 3, 4, 5, 4, 3, 3, 4, 4, 2, 4, 1, 2, 3, 4, 4, 1, 2, 2, 2, 4, 3, 2, 3, 4, 4]",38,6.578
CFIN_QH_lsr5_s1,int4,mtbench,83,"[6, 4, 4, 6, 3, 5, 6, 3, 4, 6, 4, 3, 1, 3, 2, 3, 2, 4, 3, 2, 4, 3, 1, 3, 1, 2, 4, 3, 2, 5, 4, 2, 4, 2, 3, 1, 2, 4, 4]",39,6.787
CFIN_QH_lsr5_s1,int4,mtbench,84,"[4, 2, 3, 4, 4, 4, 4, 5, 3, 4, 3, 2, 1, 2, 4, 5, 1, 4, 2, 2, 3, 5, 4, 4, 4, 3, 6, 3, 4, 3, 3, 5, 4, 3, 4, 3, 4]",37,6.236
CFIN_QH_lsr5_s1,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 3, 2, 3, 4, 2, 2, 1, 3, 1, 2, 3, 2, 1, 2, 2, 3, 4, 3, 1, 2, 3, 2, 6, 2, 3, 4, 1, 2, 2, 3, 1, 1, 1, 3, 4, 2, 5, 1, 4, 4, 1, 2, 4]",49,7.122
CFIN_QH_lsr5_s1,int4,mtbench,86,"[1, 3, 4, 6, 4, 2, 3, 3, 4, 1, 1, 5, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 4, 2, 3, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1, 1, 2, 3, 3, 2, 1, 3, 4, 2, 3, 2, 2, 2, 6, 1, 4, 1, 2]",56,7.109
CFIN_QH_lsr5_s1,int4,mtbench,87,"[2, 3, 4, 4, 5, 5, 3, 5, 3, 3, 3, 2, 2, 3, 3, 5, 4, 3, 4, 2, 2, 2, 4, 2, 5, 2, 2, 1, 3, 4, 3, 3, 4, 3, 4, 4, 2, 4, 2, 1, 3]",41,5.249
CFIN_QH_lsr5_s1,int4,mtbench,88,"[1, 3, 3, 2, 2, 1, 1, 3, 2, 2, 1, 2, 3, 2, 1, 3, 1, 4, 1, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 2, 3, 2, 4, 2, 3, 1, 2, 4, 3, 3, 2, 2, 2, 3, 1, 3, 3, 1, 2, 2, 3, 2, 1, 2, 2, 2]",57,7.275
CFIN_QH_lsr5_s1,int4,mtbench,89,"[1, 4, 6, 2, 6, 4, 4, 4, 2, 2, 4, 4, 4, 2, 2, 2, 2, 1, 3, 4, 2, 1, 2, 3, 1, 4, 1, 2, 3, 4, 3, 3, 6, 1, 5, 5, 1, 3, 5, 2, 3, 6]",42,5.462
CFIN_QH_lsr5_s1,int4,mtbench,90,"[1, 4, 3, 3, 3, 4, 4, 2, 4, 1, 3, 4, 4, 1, 3, 4, 3, 3, 2, 5, 3, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 2, 1]",33,4.279
CFIN_QH_lsr5_s1,int4,mtbench,91,"[1, 4, 4, 4, 3, 2, 2, 4, 4, 5, 2, 3, 2, 1, 2, 1, 1, 1, 4, 2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 3, 3, 6, 6, 2, 5, 3, 3, 1, 2, 4, 2, 3, 2, 4, 6]",47,6.041
CFIN_QH_lsr5_s1,int4,mtbench,92,"[3, 3, 1, 2, 3, 1, 3, 3, 1, 3, 1, 4, 3, 2, 6, 2, 1, 1, 2, 1, 3, 3, 3, 2, 3, 1, 1, 3, 1, 2, 5, 2, 1, 2, 4, 1, 4, 2, 3, 1, 3, 4, 1, 4, 3, 1, 2, 2, 2, 4, 1, 1, 2, 3, 4]",55,7.086
CFIN_QH_lsr5_s1,int4,mtbench,93,"[1, 6, 5, 2, 2, 3, 5, 4, 4, 2, 1, 4, 1, 6, 1, 2, 2, 1, 4, 6, 1, 3, 2, 4, 1, 2, 1, 1, 3, 5, 2, 2, 1, 3, 1, 3, 6, 1, 3, 4, 1, 3, 6, 4, 1, 1, 5]",47,6.054
CFIN_QH_lsr5_s1,int4,mtbench,94,"[4, 4, 3, 2, 2, 3, 2, 3, 3, 1, 4, 3, 5, 1, 4, 5, 4, 1, 2, 1, 1, 3, 4, 6, 3, 3, 3, 2, 5, 4, 4, 4, 4, 6, 2, 2, 4, 3, 1, 3, 5]",41,5.321
CFIN_QH_lsr5_s1,int4,mtbench,95,"[1, 2, 5, 2, 3, 4, 4, 1, 1, 2, 2, 2, 2, 3, 1, 1, 2, 2, 2, 1, 4, 2, 1, 2, 3, 3, 1, 3, 1, 3, 2, 6, 4, 3, 3, 2, 3, 2, 3, 4, 3, 4, 6, 4, 3, 3, 6, 5]",48,6.205
CFIN_QH_lsr5_s1,int4,mtbench,96,"[1, 4, 2, 5, 4, 6, 6, 4, 1, 5, 3, 4, 3, 4, 3, 5, 3, 3, 3, 5, 2, 2, 4, 5, 2, 3, 2, 3, 2, 4, 2, 4, 6, 1, 2, 6, 3, 2]",38,4.919
CFIN_QH_lsr5_s1,int4,mtbench,97,"[4, 6, 2, 1, 2, 4, 1, 5, 4, 3, 4, 4, 3, 3, 4, 2, 2, 2, 5, 3, 5, 4, 3, 2, 2, 3, 1, 3, 2, 2, 4, 2, 2, 2, 4, 4, 3, 1, 5, 2, 6, 4]",42,5.425
