tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 3, 2, 4, 5, 6, 6, 6, 4, 2, 4, 4, 3, 3, 5, 2, 4, 4, 3, 4, 2, 2, 6, 6, 2, 6, 2, 2, 3, 4, 3, 4]",34,6.078
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_1,"[1, 5, 6, 3, 2, 4, 5, 6, 5, 6, 4, 4, 6, 4, 3, 3, 3, 4, 6, 4, 2, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6]",31,5.171
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_2,"[1, 5, 6, 2, 3, 3, 4, 4, 5, 4, 6, 2, 6, 6, 3, 3, 4, 6, 6, 6, 2, 5, 5, 5, 4, 5, 1, 3, 6, 6, 1]",31,5.176
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_3,"[3, 6, 4, 1, 3, 5, 3, 6, 2, 4, 4, 3, 4, 3, 4, 3, 5, 3, 4, 4, 4, 5, 4, 5, 1, 4, 5, 4, 4, 2, 4, 6, 2, 3, 1]",35,5.842
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_4,"[4, 4, 5, 3, 4, 6, 2, 4, 3, 2, 6, 4, 3, 2, 4, 6, 5, 5, 4, 4, 2, 6, 5, 3, 6, 6, 6, 6, 6, 6]",30,5.034
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 4, 6, 2, 2, 2, 5, 4, 3, 2, 3, 2, 4, 6, 3, 4, 3, 4, 2, 3, 4, 6, 6, 4, 4, 3, 5, 5, 4, 2, 6]",34,5.695
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_6,"[6, 4, 2, 3, 4, 6, 2, 4, 6, 6, 3, 1, 3, 1, 3, 3, 5, 6, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 1, 3]",35,5.832
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_7,"[3, 4, 3, 2, 2, 4, 4, 3, 3, 4, 4, 5, 2, 4, 5, 5, 6, 2, 3, 4, 5, 4, 2, 5, 3, 3, 1, 5, 6, 5, 5, 4, 4, 3, 2]",35,5.827
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_8,"[1, 6, 4, 4, 4, 4, 5, 2, 1, 4, 4, 6, 4, 3, 5, 4, 4, 1, 2, 5, 1, 1, 4, 4, 6, 3, 3, 5, 6, 4, 5, 3, 4, 4, 2]",35,4.502
CFIN_T6conv_gs_s1,int4,gsm8k,gsm8k_test_9,"[3, 6, 4, 3, 5, 6, 4, 4, 6, 3, 6, 2, 5, 5, 4, 5, 6, 3, 3, 5, 4, 6, 4, 4, 5, 6, 6, 3, 3]",29,3.671
