tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6conv_gs_s2,int4,mtbench,81,"[5, 3, 4, 1, 2, 1, 3, 6, 4, 5, 2, 3, 4, 1, 6, 5, 1, 2, 3, 3, 4, 4, 3, 3, 2, 2, 3, 3, 4, 3, 2, 4, 2, 1, 3, 4, 2, 1, 3, 3, 3, 3, 5]",43,8.927
CFIN_T6conv_gs_s2,int4,mtbench,82,"[4, 2, 4, 4, 6, 2, 6, 5, 4, 5, 5, 6, 5, 4, 3, 4, 5, 3, 5, 3, 6, 3, 2, 1, 4, 1, 2, 3, 2, 4, 2, 4, 4, 2, 2, 5]",36,7.105
CFIN_T6conv_gs_s2,int4,mtbench,83,"[4, 6, 3, 6, 2, 4, 4, 5, 3, 4, 4, 6, 5, 1, 2, 3, 1, 2, 1, 3, 3, 4, 2, 3, 2, 3, 2, 5, 4, 2, 3, 3, 1, 3, 1, 3, 3, 1, 6, 3, 2]",41,8.065
CFIN_T6conv_gs_s2,int4,mtbench,84,"[4, 3, 4, 3, 6, 1, 4, 5, 3, 6, 4, 4, 3, 6, 2, 5, 5, 4, 1, 2, 3, 4, 3, 2, 4, 1, 2, 3, 6, 2, 5, 3, 1, 2, 4, 3, 2, 2, 2]",39,6.68
CFIN_T6conv_gs_s2,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 4, 1, 3, 4, 2, 2, 1, 3, 1, 3, 4, 3, 6, 2, 2, 3, 4, 2, 2, 4, 2, 2, 1, 2, 2, 4, 2, 5, 3, 2, 1, 3, 2, 3, 3, 3, 1, 3, 4, 2]",46,7.635
CFIN_T6conv_gs_s2,int4,mtbench,86,"[2, 2, 5, 6, 1, 4, 4, 3, 2, 1, 1, 3, 5, 2, 5, 3, 1, 2, 2, 2, 3, 3, 2, 4, 2, 3, 2, 2, 6, 3, 2, 4, 2, 4, 3, 3, 3, 3, 3, 1, 1, 2, 3, 4, 2, 2]",46,7.616
CFIN_T6conv_gs_s2,int4,mtbench,87,"[1, 4, 5, 3, 4, 5, 2, 4, 2, 4, 4, 4, 1, 3, 3, 4, 2, 2, 3, 4, 3, 2, 3, 2, 3, 6, 3, 1, 3, 4, 4, 3, 5, 4, 6, 3, 4, 1, 1, 6]",40,6.659
CFIN_T6conv_gs_s2,int4,mtbench,88,"[3, 1, 3, 2, 2, 2, 2, 4, 1, 2, 2, 3, 1, 1, 1, 3, 4, 2, 1, 5, 1, 3, 4, 6, 6, 1, 3, 3, 2, 4, 1, 4, 4, 4, 3, 2, 3, 5, 3, 2, 4, 2, 4, 4, 3, 5]",46,7.607
CFIN_T6conv_gs_s2,int4,mtbench,89,"[3, 4, 4, 2, 6, 4, 4, 4, 3, 2, 4, 5, 5, 1, 4, 1, 3, 2, 2, 1, 3, 3, 2, 1, 3, 3, 1, 4, 2, 5, 6, 2, 4, 4, 2, 3, 2, 4, 3, 5, 6]",41,6.183
CFIN_T6conv_gs_s2,int4,mtbench,90,"[1, 1, 5, 4, 3, 3, 4, 2, 3, 3, 1, 4, 3, 2, 3, 4, 3, 3, 2, 3, 4, 2, 2, 4, 5, 5, 2, 3, 5, 2, 3, 5, 1]",33,4.144
CFIN_T6conv_gs_s2,int4,mtbench,91,"[4, 3, 4, 5, 1, 2, 2, 4, 4, 2, 6, 2, 5, 2, 3, 1, 1, 2, 6, 6, 3, 4, 4, 1, 3, 4, 1, 2, 6, 2, 4, 3, 3, 2, 2, 1, 3, 3, 5, 3, 1, 1, 4]",43,5.373
CFIN_T6conv_gs_s2,int4,mtbench,92,"[3, 3, 3, 3, 1, 2, 2, 3, 1, 3, 5, 2, 3, 4, 1, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 4, 3, 5, 2, 1, 2, 3, 2, 4, 2, 3, 1, 2, 3, 2, 2, 3, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 3, 3, 2]",56,6.996
CFIN_T6conv_gs_s2,int4,mtbench,93,"[3, 6, 3, 4, 4, 2, 1, 4, 6, 5, 1, 5, 3, 3, 5, 3, 4, 2, 2, 6, 3, 4, 4, 3, 6, 2, 4, 4, 3, 4, 3, 5, 2, 4, 3, 4]",36,4.773
CFIN_T6conv_gs_s2,int4,mtbench,94,"[4, 4, 3, 2, 2, 3, 4, 2, 1, 2, 3, 4, 3, 2, 1, 6, 2, 3, 3, 2, 4, 1, 2, 3, 2, 2, 3, 4, 2, 4, 4, 4, 6, 2, 2, 3, 4, 3, 2, 3, 2, 1, 5, 3, 3]",45,6.092
