tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6conv_gsr5_s0,int4,mtbench,81,"[5, 3, 4, 2, 1, 4, 6, 6, 3, 2, 2, 5, 3, 2, 2, 2, 2, 5, 4, 4, 2, 2, 3, 3, 4, 3, 3, 4, 4, 1, 1, 1, 1, 5, 4, 2, 6, 3, 3, 4, 4]",41,9.295
CFIN_T6conv_gsr5_s0,int4,mtbench,82,"[4, 4, 2, 3, 6, 3, 6, 5, 5, 4, 6, 6, 2, 3, 4, 1, 2, 2, 4, 5, 3, 4, 1, 5, 6, 5, 1, 1, 2, 4, 4, 3, 2, 2, 2, 2, 4]",37,7.091
CFIN_T6conv_gsr5_s0,int4,mtbench,83,"[4, 5, 4, 6, 2, 6, 4, 4, 2, 4, 4, 4, 2, 3, 3, 2, 1, 4, 3, 4, 2, 4, 2, 3, 2, 5, 4, 2, 2, 2, 4, 1, 1, 1, 4, 3, 4, 3, 6, 5]",40,9.181
CFIN_T6conv_gsr5_s0,int4,mtbench,84,"[4, 3, 2, 3, 6, 3, 4, 4, 4, 4, 4, 3, 4, 6, 2, 3, 5, 4, 4, 3, 4, 3, 2, 3, 5, 4, 3, 2, 4, 6, 1, 4, 3, 1, 4, 2, 6]",37,6.447
CFIN_T6conv_gsr5_s0,int4,mtbench,85,"[6, 6, 6, 2, 2, 5, 3, 4, 2, 2, 1, 3, 3, 2, 4, 3, 3, 1, 5, 3, 4, 4, 2, 1, 4, 1, 3, 2, 3, 3, 4, 4, 1, 2, 2, 6, 2, 1, 3, 2, 5, 1, 2]",43,7.552
CFIN_T6conv_gsr5_s0,int4,mtbench,86,"[3, 3, 6, 3, 1, 4, 3, 3, 2, 1, 2, 4, 3, 2, 2, 3, 3, 2, 1, 4, 3, 3, 2, 3, 1, 1, 2, 2, 2, 2, 6, 3, 2, 3, 6, 1, 2, 4, 2, 2, 2, 3, 1, 1, 2, 5, 1, 2, 1, 2, 3]",51,10.683
CFIN_T6conv_gsr5_s0,int4,mtbench,87,"[2, 3, 6, 2, 4, 5, 2, 6, 2, 2, 5, 3, 1, 1, 3, 3, 4, 3, 2, 4, 6, 3, 3, 1, 1, 4, 5, 1, 1, 2, 2, 3, 1, 4, 2, 1, 1, 2, 3, 4, 2, 4, 2, 2, 2, 1, 6]",47,8.775
CFIN_T6conv_gsr5_s0,int4,mtbench,88,"[3, 1, 3, 2, 2, 2, 4, 3, 2, 4, 2, 1, 1, 2, 2, 3, 2, 6, 1, 2, 2, 3, 5, 3, 1, 4, 3, 1, 2, 3, 1, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 2, 3, 5, 3, 3, 2, 3]",48,8.343
CFIN_T6conv_gsr5_s0,int4,mtbench,89,"[2, 3, 6, 2, 5, 4, 4, 4, 3, 2, 3, 4, 3, 6, 2, 4, 2, 2, 2, 1, 3, 2, 2, 1, 4, 1, 4, 2, 2, 3, 3, 5, 3, 5, 4, 6, 2, 3, 2, 1, 4, 4]",42,7.197
CFIN_T6conv_gsr5_s0,int4,mtbench,90,"[1, 1, 5, 3, 4, 3, 4, 2, 3, 2, 4, 5, 1, 1, 4, 4, 3, 4, 1, 3, 2, 2, 6, 2, 4, 3, 3, 4, 2, 4, 5, 1]",32,5.543
