tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gs_s1,int4,mtbench,81,"[5, 3, 5, 3, 3, 4, 5, 4, 4, 4, 2, 4, 3, 3, 4, 3, 5, 4, 3, 3, 4, 2, 4, 4, 5, 4, 4, 4, 6, 3, 5, 4, 3, 4]",34,7.833
CFIN_T6hybrid_gs_s1,int4,mtbench,82,"[4, 2, 4, 6, 6, 4, 4, 4, 3, 4, 6, 6, 3, 2, 4, 2, 2, 2, 4, 4, 4, 4, 6, 2, 2, 2, 4, 1, 4, 1, 5, 2, 2, 3, 1, 2, 2, 3, 4]",39,7.125
CFIN_T6hybrid_gs_s1,int4,mtbench,83,"[6, 4, 4, 6, 1, 4, 4, 5, 3, 4, 4, 6, 5, 1, 5, 2, 4, 1, 1, 1, 3, 2, 1, 6, 3, 2, 4, 5, 2, 2, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 1, 4]",42,9.173
CFIN_T6hybrid_gs_s1,int4,mtbench,84,"[4, 3, 2, 2, 2, 6, 2, 4, 6, 4, 4, 4, 3, 6, 2, 2, 3, 5, 5, 4, 4, 1, 4, 4, 1, 1, 6, 3, 3, 1, 4, 1, 2, 3, 2, 3, 2, 4, 3, 1, 3]",41,7.555
CFIN_T6hybrid_gs_s1,int4,mtbench,85,"[3, 6, 4, 5, 2, 2, 4, 1, 3, 4, 2, 2, 1, 3, 3, 3, 3, 5, 4, 3, 2, 1, 3, 2, 1, 2, 3, 6, 4, 3, 1, 3, 2, 4, 2, 2, 4, 3, 4, 6, 2, 2, 3]",43,7.518
CFIN_T6hybrid_gs_s1,int4,mtbench,86,"[3, 3, 4, 5, 1, 4, 3, 3, 2, 1, 2, 2, 4, 3, 2, 2, 4, 2, 1, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 1, 1, 3, 1, 2, 2, 4, 2, 3, 4, 2, 2, 1, 3, 4, 2, 3, 1, 1, 3, 3, 4, 3, 6]",53,11.397
CFIN_T6hybrid_gs_s1,int4,mtbench,87,"[2, 3, 5, 3, 4, 6, 1, 2, 3, 3, 2, 2, 1, 1, 1, 2, 1, 5, 2, 3, 2, 3, 5, 3, 6, 3, 3, 4, 3, 2, 1, 4, 3, 2, 2, 2, 2, 4, 2, 2, 1, 1, 1, 6, 3, 4, 1, 6]",48,9.695
CFIN_T6hybrid_gs_s1,int4,mtbench,88,"[2, 2, 3, 2, 4, 3, 3, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 5, 3, 3, 3, 5, 2, 1, 1, 5, 6, 3, 1, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2, 1, 4, 3, 3, 1, 2, 1, 1, 1, 3, 1, 1, 3]",55,9.421
CFIN_T6hybrid_gs_s1,int4,mtbench,89,"[1, 3, 4, 4, 4, 4, 5, 5, 4, 2, 4, 4, 6, 1, 4, 3, 1, 1, 3, 2, 3, 1, 3, 6, 3, 3, 2, 3, 6, 3, 1, 4, 5, 3, 4, 2, 2, 6, 4]",39,6.766
CFIN_T6hybrid_gs_s1,int4,mtbench,90,"[1, 3, 3, 4, 3, 4, 3, 2, 5, 2, 1, 2, 4, 3, 1, 4, 2, 3, 4, 5, 3, 4, 3, 2, 2, 4, 3, 4, 2, 4, 5, 4, 1, 1, 1, 4, 4, 4, 3, 4, 2, 5]",42,7.358
