tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_0,"[6, 2, 3, 3, 2, 4, 1, 4, 3, 3, 1, 4, 6, 6, 6, 4, 4, 2, 2, 2, 4, 2, 4, 5, 3, 5, 2, 5, 4, 4, 1, 6, 2, 2, 6, 4, 4]",37,6.641
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_1,"[3, 3, 6, 2, 3, 3, 6, 6, 5, 6, 4, 4, 6, 5, 2, 3, 2, 2, 5, 5, 3, 2, 5, 3, 6, 4, 6, 6, 4, 3, 4, 3]",32,5.387
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_2,"[3, 3, 2, 4, 3, 2, 4, 6, 6, 6, 6, 2, 2, 3, 4, 4, 5, 6, 4, 3, 2, 3, 6, 5, 4, 6, 4, 6, 5, 6, 6]",31,5.168
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_3,"[6, 6, 3, 5, 4, 6, 5, 4, 3, 2, 4, 3, 5, 6, 2, 2, 3, 2, 4, 5, 4, 5, 2, 1, 4, 4, 4, 2, 3, 3, 3, 4, 4, 4, 2]",35,5.834
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_4,"[3, 5, 4, 3, 1, 3, 4, 5, 2, 5, 2, 6, 4, 3, 2, 4, 5, 4, 6, 6, 4, 5, 6, 3, 4, 5, 5, 6, 6, 4, 4]",31,5.393
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 4, 6, 4, 4, 4, 3, 5, 1, 4, 2, 3, 3, 2, 6, 3, 3, 3, 4, 4, 4, 5, 6, 4, 5, 6, 2, 3, 2, 1, 4, 2]",35,6.112
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_6,"[4, 6, 4, 2, 3, 6, 4, 6, 2, 6, 4, 6, 5, 3, 4, 4, 2, 5, 4, 4, 6, 2, 5, 1, 4, 5, 4, 4, 5, 6, 3]",31,5.278
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_7,"[4, 6, 3, 1, 3, 3, 2, 3, 3, 3, 2, 5, 5, 2, 3, 4, 4, 6, 5, 4, 6, 4, 3, 4, 3, 4, 6, 4, 4, 5, 4, 2, 3, 4, 3]",35,5.926
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_8,"[3, 2, 4, 4, 2, 4, 4, 4, 3, 3, 6, 6, 3, 2, 2, 4, 4, 5, 1, 2, 3, 2, 3, 2, 5, 4, 4, 4, 3, 5, 3, 3, 4, 3, 4, 4, 4]",37,4.723
CFIN_T6hybrid_gs_s2,int4,gsm8k,gsm8k_test_9,"[4, 6, 4, 2, 4, 5, 5, 4, 3, 6, 2, 2, 6, 2, 4, 2, 6, 3, 2, 3, 3, 4, 3, 4, 6, 4, 4, 5, 3, 2, 2, 6, 4, 4]",34,4.346
