tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gsr5_s1,int4,mtbench,81,"[4, 1, 3, 4, 1, 2, 2, 2, 4, 6, 4, 4, 2, 4, 1, 6, 5, 1, 2, 3, 3, 4, 4, 6, 2, 2, 3, 5, 2, 2, 2, 2, 4, 2, 4, 2, 4, 4, 3, 4, 2, 2]",42,7.944
CFIN_T6hybrid_gsr5_s1,int4,mtbench,82,"[4, 3, 3, 3, 6, 3, 6, 4, 4, 5, 3, 3, 6, 3, 3, 5, 2, 4, 1, 4, 4, 4, 5, 2, 2, 3, 4, 2, 5, 2, 1, 2, 2, 2, 2, 3, 3, 1, 2, 6]",40,6.65
CFIN_T6hybrid_gsr5_s1,int4,mtbench,83,"[4, 6, 3, 6, 2, 4, 5, 4, 3, 4, 4, 6, 5, 1, 3, 2, 1, 3, 3, 3, 4, 2, 4, 1, 3, 4, 3, 4, 2, 2, 4, 2, 2, 4, 4, 4, 3, 6]",38,6.32
CFIN_T6hybrid_gsr5_s1,int4,mtbench,84,"[4, 3, 2, 2, 4, 4, 2, 2, 6, 4, 6, 4, 1, 4, 6, 2, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 5, 5, 4, 4, 1, 2, 3, 4, 1, 1, 2, 1, 5]",40,6.638
CFIN_T6hybrid_gsr5_s1,int4,mtbench,85,"[3, 6, 4, 5, 2, 2, 4, 1, 3, 4, 2, 2, 1, 3, 3, 3, 3, 6, 4, 2, 3, 3, 2, 1, 2, 3, 4, 2, 2, 5, 1, 3, 2, 4, 2, 2, 2, 2, 3, 4, 6, 2, 3, 2]",44,7.289
CFIN_T6hybrid_gsr5_s1,int4,mtbench,86,"[3, 3, 5, 4, 2, 3, 3, 4, 2, 1, 1, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 5, 2, 4, 2, 1, 2, 4, 5, 4, 1, 1, 2, 3, 3, 2, 3, 3, 3, 3, 1, 2]",52,8.316
CFIN_T6hybrid_gsr5_s1,int4,mtbench,87,"[2, 3, 5, 3, 5, 3, 2, 1, 3, 1, 1, 1, 4, 3, 2, 2, 1, 1, 2, 1, 1, 1, 3, 4, 4, 4, 3, 1, 1, 2, 2, 2, 4, 3, 1, 1, 2, 2, 4, 4, 6, 4, 2, 4, 4, 2, 4, 2, 4, 1]",50,8.417
CFIN_T6hybrid_gsr5_s1,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 4, 3, 2, 2, 4, 1, 1, 3, 4, 2, 6, 1, 2, 2, 4, 4, 3, 2, 3, 3, 1, 2, 2, 4, 1, 2, 2, 5, 6, 4, 4, 1, 3, 2, 4, 4, 5, 3, 3, 1]",46,7.585
CFIN_T6hybrid_gsr5_s1,int4,mtbench,89,"[1, 6, 5, 4, 4, 4, 6, 3, 3, 4, 5, 5, 3, 6, 1, 2, 3, 4, 5, 4, 4, 5, 3, 3, 4, 1, 4, 6, 3, 2, 6, 3, 6]",33,5.482
CFIN_T6hybrid_gsr5_s1,int4,mtbench,90,"[1, 5, 3, 2, 3, 4, 4, 2, 4, 1, 3, 4, 4, 1, 3, 3, 4, 3, 4, 4, 4, 3, 3, 4, 2, 2, 5, 2]",28,4.69
CFIN_T6hybrid_gsr5_s1,int4,mtbench,91,"[4, 4, 5, 3, 3, 4, 4, 4, 5, 2, 3, 1, 3, 4, 4, 2, 4, 2, 5, 1, 1, 1, 4, 1, 3, 2, 5, 3, 2, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 5, 1, 1, 3, 2, 2, 2, 1, 3]",48,8.14
CFIN_T6hybrid_gsr5_s1,int4,mtbench,92,"[3, 3, 3, 3, 1, 3, 2, 2, 3, 1, 3, 4, 3, 3, 2, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 3, 2, 6, 3, 1, 1, 4, 2, 5, 1, 2, 1, 1, 1, 3, 2, 3, 3, 3, 3, 3, 2, 3, 4, 3, 2]",52,8.619
CFIN_T6hybrid_gsr5_s1,int4,mtbench,93,"[3, 6, 3, 2, 2, 3, 6, 3, 3, 3, 6, 5, 4, 4, 6, 5, 5, 3, 2, 4, 2, 2, 3, 2, 4, 2, 3, 4, 4, 3, 1, 2, 5, 2, 5, 4, 3]",37,6.154
CFIN_T6hybrid_gsr5_s1,int4,mtbench,94,"[4, 3, 3, 1, 2, 2, 1, 4, 4, 4, 5, 2, 2, 6, 2, 3, 3, 2, 4, 2, 2, 3, 2, 2, 4, 2, 3, 4, 4, 2, 3, 4, 3, 2, 2, 4, 3, 1, 3, 4, 6, 1, 2, 2, 5]",45,7.498
CFIN_T6hybrid_gsr5_s1,int4,mtbench,95,"[1, 2, 4, 1, 2, 3, 2, 1, 4, 2, 1, 2, 1, 4, 2, 2, 1, 4, 2, 3, 1, 2, 1, 3, 3, 2, 2, 2, 3, 4, 3, 5, 3, 3, 6, 6, 4, 2, 3, 2, 5, 6, 1, 1, 1, 2, 3, 2, 4]",49,8.282
CFIN_T6hybrid_gsr5_s1,int4,mtbench,96,"[6, 1, 5, 4, 2, 6, 5, 4, 4, 4, 4, 3, 6, 3, 3, 4, 4, 3, 3, 6, 3, 6, 5, 4, 3, 2, 4, 4, 2, 3, 1, 3, 4, 2, 2]",35,6.39
CFIN_T6hybrid_gsr5_s1,int4,mtbench,97,"[4, 6, 3, 2, 2, 3, 4, 2, 2, 4, 2, 3, 3, 5, 1, 3, 4, 2, 3, 5, 5, 3, 4, 2, 2, 1, 5, 2, 4, 4, 2, 4, 6, 1, 4, 4, 3, 4, 2, 5]",40,6.685
