tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_ls_s1,int4,mtbench,81,"[4, 4, 2, 3, 3, 3, 3, 1, 5, 5, 4, 2, 2, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 5, 4, 4, 4, 3, 3, 2, 2, 2, 1, 5, 3, 2, 4, 3, 3, 2, 4, 4, 2, 1, 1, 4]",46,9.282
CFIN_T6hybrid_ls_s1,int4,mtbench,82,"[4, 2, 4, 6, 6, 4, 5, 3, 3, 4, 6, 6, 5, 3, 2, 2, 1, 2, 4, 4, 4, 3, 4, 3, 4, 4, 3, 2, 3, 2, 2, 2, 4, 3, 3, 3, 3]",37,7.962
CFIN_T6hybrid_ls_s1,int4,mtbench,83,"[6, 4, 4, 6, 1, 4, 5, 4, 3, 5, 5, 4, 1, 5, 1, 1, 1, 2, 2, 5, 5, 1, 1, 2, 4, 2, 2, 3, 4, 4, 6, 1, 4, 2, 5, 2, 4, 5, 3]",39,11.049
CFIN_T6hybrid_ls_s1,int4,mtbench,84,"[4, 3, 2, 2, 4, 6, 2, 6, 4, 4, 4, 1, 4, 6, 2, 2, 3, 5, 5, 4, 4, 4, 5, 4, 6, 4, 3, 3, 1, 3, 2, 2, 3, 4, 2, 4, 3]",37,6.587
CFIN_T6hybrid_ls_s1,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 5, 3, 4, 2, 2, 1, 6, 2, 4, 1, 2, 1, 4, 2, 2, 3, 5, 6, 1, 2, 2, 3, 3, 3, 2, 4, 1, 1, 3, 2, 3, 3, 2, 1, 3, 3, 1, 1, 2, 5]",46,9.051
CFIN_T6hybrid_ls_s1,int4,mtbench,86,"[3, 3, 2, 6, 1, 1, 4, 4, 4, 1, 2, 4, 4, 3, 4, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 3, 4, 3, 4, 3, 4, 1, 5, 2, 3, 1, 3, 5, 1, 3, 2, 2, 2, 3, 3, 4]",49,9.826
CFIN_T6hybrid_ls_s1,int4,mtbench,87,"[2, 3, 6, 2, 6, 5, 4, 3, 3, 3, 1, 4, 2, 3, 4, 3, 3, 3, 4, 1, 4, 4, 4, 3, 2, 5, 2, 3, 2, 6, 3, 5, 4, 4, 1, 2, 1, 1, 2, 1, 2, 3]",42,8.221
CFIN_T6hybrid_ls_s1,int4,mtbench,88,"[3, 1, 3, 2, 3, 1, 3, 3, 1, 2, 2, 4, 1, 1, 3, 4, 1, 1, 1, 3, 4, 2, 3, 6, 3, 1, 4, 4, 4, 2, 2, 3, 2, 4, 2, 2, 2, 2, 4, 1, 5, 1, 2, 1, 4, 2, 3, 3, 3, 2, 4]",51,8.348
CFIN_T6hybrid_ls_s1,int4,mtbench,89,"[1, 5, 5, 4, 5, 4, 6, 3, 3, 4, 4, 5, 2, 2, 6, 4, 2, 2, 2, 6, 3, 1, 4, 1, 2, 3, 4, 3, 5, 4, 2, 2, 4, 5, 4, 6]",36,5.038
CFIN_T6hybrid_ls_s1,int4,mtbench,90,"[1, 4, 4, 3, 2, 4, 4, 2, 4, 1, 3, 4, 4, 1, 3, 3, 3, 2, 4, 4, 2, 4, 4, 3, 3, 1, 3, 2, 2, 2, 2]",31,4.001
CFIN_T6hybrid_ls_s1,int4,mtbench,91,"[4, 4, 4, 4, 3, 4, 3, 3, 2, 5, 2, 3, 1, 3, 3, 5, 2, 4, 2, 2, 3, 3, 2, 3, 2, 1, 2, 2, 4, 2, 5, 1, 3, 4, 4, 2, 1, 3, 2, 1, 3, 5, 3, 2, 1, 4]",46,7.545
CFIN_T6hybrid_ls_s1,int4,mtbench,92,"[3, 3, 3, 3, 1, 2, 2, 3, 1, 4, 2, 4, 3, 4, 3, 1, 1, 2, 2, 4, 3, 3, 4, 2, 4, 2, 1, 2, 3, 4, 4, 2, 2, 1, 5, 4, 2, 1, 2, 4, 1, 1, 5, 3, 4, 1, 2, 3, 4]",49,8.092
CFIN_T6hybrid_ls_s1,int4,mtbench,93,"[4, 6, 4, 2, 3, 6, 3, 4, 4, 5, 3, 4, 4, 3, 5, 1, 1, 4, 3, 2, 4, 4, 2, 4, 2]",25,4.346
CFIN_T6hybrid_ls_s1,int4,mtbench,94,"[6, 4, 1, 2, 2, 3, 4, 2, 1, 4, 1, 5, 2, 2, 1, 5, 4, 5, 3, 3, 1, 5, 4, 1, 2, 3, 5, 5, 3, 2, 5, 4, 1, 2, 4, 4, 4, 6, 2, 3, 3]",41,7.044
CFIN_T6hybrid_ls_s1,int4,mtbench,95,"[1, 2, 4, 4, 2, 2, 3, 2, 2, 1, 2, 1, 3, 3, 2, 2, 4, 2, 2, 1, 2, 1, 2, 2, 4, 3, 2, 2, 6, 5, 6, 2, 6, 4, 1, 6, 4, 2, 3, 2, 6, 1, 5, 3, 4]",45,7.603
CFIN_T6hybrid_ls_s1,int4,mtbench,96,"[4, 3, 6, 3, 3, 3, 4, 4, 3, 3, 3, 4, 5, 5, 6, 3, 3, 2, 3, 2, 5, 4, 3, 2, 4, 3, 5, 4, 3, 3, 2, 4, 6, 1, 2, 2, 3]",37,5.376
CFIN_T6hybrid_ls_s1,int4,mtbench,97,"[6, 6, 1, 2, 4, 4, 4, 4, 4, 5, 4, 3, 4, 1, 2, 3, 3, 1, 3, 2, 4, 1, 3, 3, 3, 3, 6, 6, 1, 4, 1, 3, 4, 3, 2, 1, 2, 4, 4, 2, 2]",41,5.079
CFIN_T6hybrid_ls_s1,int4,mtbench,98,"[3, 1, 4, 3, 1, 2, 2, 1, 2, 5, 1, 5, 1, 4, 4, 3, 6, 3, 2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 4, 2, 1, 3, 1, 3, 3, 3, 6, 4, 4, 2, 3, 4, 4, 3, 1, 1, 2, 5]",48,5.895
