tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_lsr5_s0,int4,mtbench,81,"[4, 3, 3, 3, 3, 3, 4, 5, 6, 4, 1, 2, 1, 3, 1, 2, 3, 4, 2, 6, 3, 4, 4, 4, 2, 1, 4, 5, 4, 2, 2, 2, 2, 3, 4, 4, 2, 2, 3, 6, 2]",41,8.079
CFIN_T6hybrid_lsr5_s0,int4,mtbench,82,"[5, 4, 4, 6, 3, 6, 4, 6, 4, 6, 4, 6, 4, 3, 4, 5, 5, 3, 2, 5, 3, 5, 2, 3, 4, 5, 1, 1, 4, 3, 5, 5]",32,7.86
CFIN_T6hybrid_lsr5_s0,int4,mtbench,83,"[6, 4, 3, 6, 2, 6, 4, 6, 4, 4, 3, 3, 5, 6, 4, 1, 3, 2, 1, 3, 4, 2, 4, 2, 4, 2, 3, 2, 4, 5, 2, 2, 3, 3, 4, 2, 4]",37,8.689
CFIN_T6hybrid_lsr5_s0,int4,mtbench,84,"[4, 3, 2, 2, 3, 4, 3, 2, 6, 4, 6, 3, 3, 3, 4, 3, 2, 3, 4, 5, 2, 3, 4, 1, 3, 4, 3, 2, 4, 4, 5, 5, 3, 2, 4, 6, 1, 1, 6]",39,8.595
CFIN_T6hybrid_lsr5_s0,int4,mtbench,85,"[3, 6, 6, 3, 2, 2, 4, 1, 3, 4, 2, 2, 1, 3, 3, 3, 4, 5, 3, 3, 3, 3, 2, 3, 1, 4, 4, 3, 3, 2, 2, 3, 4, 5, 3, 2, 4, 1, 2, 2, 2, 4, 1, 2]",44,8.515
CFIN_T6hybrid_lsr5_s0,int4,mtbench,86,"[3, 3, 4, 5, 1, 4, 5, 4, 1, 1, 2, 4, 1, 2, 4, 4, 2, 3, 2, 3, 3, 2, 4, 2, 3, 2, 2, 5, 4, 6, 2, 4, 2, 2, 3, 1, 1, 2, 2, 3, 3, 3, 2, 1, 2, 3, 2]",47,9.052
CFIN_T6hybrid_lsr5_s0,int4,mtbench,87,"[2, 3, 6, 2, 2, 4, 5, 4, 4, 2, 4, 2, 2, 2, 3, 2, 3, 4, 1, 1, 3, 4, 4, 2, 4, 1, 1, 3, 3, 1, 4, 1, 3, 2, 3, 2, 5, 3, 4, 1, 2, 2, 4, 4, 2, 2]",46,8.106
CFIN_T6hybrid_lsr5_s0,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 1, 1, 2, 1, 3, 1, 1, 2, 3, 2, 3, 2, 5, 2, 1, 5, 3, 2, 2, 1, 4, 2, 2, 5, 4, 1, 2, 2, 2, 2, 2, 5, 3, 1, 2, 2, 3, 3, 2, 2, 3, 1, 3]",55,9.051
CFIN_T6hybrid_lsr5_s0,int4,mtbench,89,"[2, 3, 6, 2, 5, 4, 4, 4, 3, 2, 3, 4, 4, 4, 1, 2, 3, 3, 5, 1, 2, 2, 3, 4, 3, 3, 2, 4, 5, 1, 4, 4, 5, 2, 3, 2, 3, 4, 1, 3, 2, 1]",42,6.887
CFIN_T6hybrid_lsr5_s0,int4,mtbench,90,"[1, 4, 3, 3, 3, 2, 4, 3, 3, 3, 1, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 2, 3, 4, 2, 2, 4, 2]",28,3.602
CFIN_T6hybrid_lsr5_s0,int4,mtbench,91,"[3, 2, 4, 5, 2, 5, 6, 5, 4, 1, 2, 3, 1, 1, 1, 5, 5, 5, 1, 1, 3, 3, 2, 2, 5, 3, 4, 4, 3, 4, 6, 3, 4, 3, 3, 3, 2, 1, 1, 2, 2, 2, 2]",43,5.386
CFIN_T6hybrid_lsr5_s0,int4,mtbench,92,"[3, 3, 3, 3, 1, 4, 3, 4, 4, 4, 3, 4, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 2, 3, 3, 5, 2, 1, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 3, 5]",53,6.601
CFIN_T6hybrid_lsr5_s0,int4,mtbench,93,"[3, 6, 3, 4, 4, 3, 3, 4, 6, 4, 6, 4, 5, 3, 4, 2, 2, 6, 2, 4, 4, 3, 2, 2, 3, 6, 3, 3, 5, 2, 4, 1, 4, 3, 1, 3, 3]",37,4.641
CFIN_T6hybrid_lsr5_s0,int4,mtbench,94,"[4, 4, 3, 2, 2, 3, 4, 2, 1, 2, 3, 4, 3, 2, 3, 4, 4, 4, 3, 3, 3, 4, 5, 1, 3, 6, 5, 3, 4, 6, 5, 3, 2, 3, 4, 3, 1, 2, 3, 5]",40,5.018
CFIN_T6hybrid_lsr5_s0,int4,mtbench,95,"[1, 2, 4, 3, 3, 2, 3, 2, 2, 1, 2, 1, 4, 2, 2, 2, 4, 2, 2, 1, 2, 1, 3, 1, 4, 2, 4, 3, 4, 6, 1, 5, 2, 1, 3, 2, 1, 2, 4, 2, 4, 3, 6, 3, 5, 4, 3, 6]",48,5.997
CFIN_T6hybrid_lsr5_s0,int4,mtbench,96,"[6, 1, 6, 3, 2, 1, 3, 3, 5, 2, 3, 1, 3, 3, 2, 3, 2, 6, 3, 3, 3, 3, 3, 4, 2, 2, 4, 5, 6, 1, 2, 2, 2, 2, 3, 4, 3, 2, 3, 4, 4, 6]",42,5.199
CFIN_T6hybrid_lsr5_s0,int4,mtbench,97,"[4, 6, 3, 2, 2, 3, 2, 2, 2, 2, 3, 4, 2, 4, 4, 3, 2, 2, 3, 5, 2, 3, 5, 4, 4, 4, 5, 6, 3, 4, 6, 3, 3, 4, 4, 2, 2, 2, 5]",39,4.766
CFIN_T6hybrid_lsr5_s0,int4,mtbench,98,"[3, 2, 3, 3, 3, 2, 1, 2, 3, 2, 3, 3, 1, 4, 1, 4, 2, 3, 2, 5, 4, 5, 4, 2, 2, 4, 1, 2, 3, 1, 2, 4, 2, 1, 6, 4, 2, 2, 1, 3, 1, 6, 2, 4, 2, 5, 2]",47,5.722
CFIN_T6hybrid_lsr5_s0,int4,mtbench,99,"[1, 4, 2, 5, 2, 2, 2, 4, 3, 5, 3, 2, 6, 3, 6, 4, 1, 3, 2, 3, 3, 4, 4, 4, 6, 4, 6, 2, 2, 1, 1, 3, 2, 2, 5, 6, 2, 2, 2, 3, 2]",41,5.068
CFIN_T6hybrid_lsr5_s0,int4,mtbench,100,"[3, 2, 1, 1, 1, 3, 3, 3, 2, 2, 2, 3, 3, 4, 2, 1, 2, 3, 3, 2, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 2, 3, 3, 3, 2, 2, 1, 4, 2, 4, 2, 4, 2, 3, 3, 2, 3, 4, 1, 4, 2, 4, 3]",53,6.447
CFIN_T6hybrid_lsr5_s0,int4,mtbench,101,"[6, 1, 5, 4, 4, 4, 5, 5, 2, 6, 3, 3, 4, 1, 1, 3, 4, 3, 2, 2, 2, 4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 2, 1, 1, 3, 3, 6, 3, 2]",40,4.905
CFIN_T6hybrid_lsr5_s0,int4,mtbench,102,"[4, 3, 6, 2, 2, 2, 2, 3, 4, 2, 3, 4, 1, 3, 6, 1, 3, 4, 2, 2, 4, 2, 3, 1, 4, 4, 3, 3, 2, 2, 3, 2, 1, 2, 2, 4, 2, 1, 2, 2, 4, 1, 3, 1, 4, 1, 1, 4, 5]",49,5.969
CFIN_T6hybrid_lsr5_s0,int4,mtbench,103,"[6, 6, 4, 6, 2, 3, 6, 4, 2, 2, 5, 6, 3, 3, 1, 6, 6, 4, 3, 3, 2, 4, 2, 1, 2, 4, 2, 5, 5, 3, 4, 3, 3, 6, 6]",35,4.307
CFIN_T6hybrid_lsr5_s0,int4,mtbench,104,"[6, 6, 2, 1, 4, 4, 4, 2, 4, 1, 2, 4, 1, 3, 3, 4, 5, 6]",18,2.281
CFIN_T6hybrid_lsr5_s0,int4,mtbench,105,"[2, 4, 1, 3, 4, 2, 3, 4, 6, 5, 1]",11,1.432
CFIN_T6hybrid_lsr5_s0,int4,mtbench,106,"[4, 6, 4, 2, 4, 6, 3, 4, 4, 3, 6, 5, 4, 3, 2, 6, 6, 5, 1, 2, 1]",21,2.61
CFIN_T6hybrid_lsr5_s0,int4,mtbench,107,"[4, 6, 3, 3, 4, 4, 4, 2, 2, 1, 2, 5, 4, 4, 5, 4, 3, 6, 3, 2, 6, 4, 4, 2, 3, 2, 6, 6, 3]",29,3.565
CFIN_T6hybrid_lsr5_s0,int4,mtbench,108,"[6, 6, 5, 4, 2, 6, 2, 4, 3, 4, 3, 2, 4, 5, 2, 3, 4, 4, 3, 4, 4, 1, 4, 4, 3, 2, 2, 2, 2, 4, 2, 2, 2, 1, 2, 6, 3, 6]",38,4.733
CFIN_T6hybrid_lsr5_s0,int4,mtbench,109,"[2, 4, 4, 5, 2, 4, 1, 3, 4, 3, 4, 6, 5, 2, 6, 5, 3, 5, 3, 3, 3, 3, 6, 4, 1, 3, 4, 3, 4, 4, 3, 1, 3, 5, 6, 3]",36,5.505
CFIN_T6hybrid_lsr5_s0,int4,mtbench,110,"[3, 6, 5, 4, 4, 3, 2, 2, 3, 4, 3, 2, 4, 1, 5, 2, 2, 4, 4, 6, 3, 2, 3, 6, 4, 6, 6, 2, 5, 2, 3, 4, 3, 5, 2, 5]",36,4.481
CFIN_T6hybrid_lsr5_s0,int4,mtbench,111,"[4, 4, 5, 2, 5, 6, 3, 5, 1, 1, 1, 4, 5, 4, 3, 1, 4, 4, 4, 2, 1, 4, 5, 3, 6, 3, 6, 4, 4, 4, 4, 6, 4]",33,4.056
CFIN_T6hybrid_lsr5_s0,int4,mtbench,112,"[6, 6, 2, 4, 3, 6, 5, 4, 1, 4, 4, 6, 3, 3, 5, 6, 1, 3, 4, 4, 3, 4, 6, 6, 4, 6, 6, 3, 5, 6]",30,3.695
CFIN_T6hybrid_lsr5_s0,int4,mtbench,113,"[4, 6, 4, 4, 3, 4, 5, 2, 3, 4, 5, 2, 3, 4, 2, 6, 3, 2, 1, 2, 2, 4, 4, 2, 1, 2, 3, 4, 4, 5, 4, 2, 4, 4, 3, 1, 2, 5, 2, 1]",40,4.921
CFIN_T6hybrid_lsr5_s0,int4,mtbench,114,"[4, 4, 4, 2, 3, 4, 4, 3, 2, 4, 4, 5, 4, 1, 3, 3, 3, 1, 4, 4, 2, 3, 3, 2, 1, 3, 2, 2, 2, 1, 2, 2, 4, 5, 4, 4, 3, 5, 2, 2, 2, 4, 3]",43,5.3
CFIN_T6hybrid_lsr5_s0,int4,mtbench,115,"[4, 6, 3, 2, 4, 2, 4, 4, 2, 2, 6, 1, 3, 3, 3, 1, 5, 4, 6, 3, 5, 3, 5, 3, 1, 3, 6, 6, 3, 6, 5, 4, 4, 6]",34,4.205
