tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 3, 2, 1, 5, 4, 3, 4, 6, 6, 4, 4, 4, 4, 2, 1, 4, 2, 4, 4, 4, 5, 2, 5, 4, 3, 2, 6, 2, 2, 4, 4, 2, 4]",36,6.645
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_1,"[4, 3, 4, 3, 6, 6, 6, 6, 5, 3, 4, 4, 5, 2, 3, 2, 2, 4, 6, 2, 1, 5, 3, 6, 5, 5, 6, 3, 5, 3, 6]",31,5.336
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_2,"[3, 3, 2, 4, 3, 4, 5, 6, 4, 6, 6, 5, 4, 4, 4, 2, 1, 3, 4, 5, 4, 6, 5, 4, 6, 5, 6, 2, 4, 4, 1, 5]",32,5.528
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_3,"[4, 6, 4, 4, 5, 2, 6, 2, 4, 3, 4, 4, 3, 1, 4, 3, 5, 3, 2, 3, 4, 4, 6, 1, 3, 4, 5, 4, 4, 4, 1, 2, 4, 3, 4, 3]",36,6.118
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_4,"[4, 4, 4, 3, 1, 5, 6, 3, 4, 1, 2, 6, 5, 4, 3, 6, 5, 5, 6, 3, 4, 4, 4, 3, 5, 6, 4, 5, 4, 6, 3]",31,5.279
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 6, 6, 4, 3, 4, 4, 5, 4, 5, 5, 6, 3, 4, 5, 4, 6, 5, 5, 3, 4, 3, 3, 6, 2, 5, 4, 1]",30,3.878
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_6,"[4, 6, 2, 3, 4, 6, 4, 5, 2, 1, 3, 4, 3, 4, 4, 3, 4, 4, 4, 2, 5, 4, 3, 3, 4, 3, 6, 4, 6, 3, 5, 6, 6]",33,4.178
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_7,"[4, 4, 4, 2, 3, 5, 3, 4, 4, 6, 4, 2, 5, 6, 6, 6, 4, 6, 4, 3, 3, 3, 1, 4, 2, 3, 4, 3, 5, 4, 5, 4, 1, 4]",34,4.283
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_8,"[1, 4, 2, 3, 3, 6, 6, 4, 6, 6, 5, 4, 4, 2, 3, 3, 4, 6, 5, 3, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 2, 4]",32,4.038
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_9,"[4, 6, 3, 4, 4, 2, 5, 2, 5, 6, 5, 5, 4, 4, 4, 5, 4, 5, 6, 3, 3, 5, 6, 4, 5, 4, 2, 6, 5, 4]",30,3.788
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_10,"[6, 5, 4, 4, 6, 6, 2, 1, 5, 3, 4, 2, 3, 4, 6, 5, 4, 5, 4, 5, 6, 2, 4, 4, 4, 4, 6, 2, 3, 2, 4, 6]",32,4.062
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_11,"[4, 6, 3, 6, 4, 6, 4, 5, 2, 3, 2, 1, 4, 4, 3, 3, 3, 2, 5, 4, 4, 2, 2, 4, 6, 4, 6, 5, 6, 5, 6, 6]",32,4.048
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_12,"[3, 4, 2, 2, 1, 5, 3, 4, 3, 6, 4, 6, 6, 3, 4, 2, 4, 4, 5, 6, 1, 4, 6, 4, 1, 1, 4, 6, 4, 4, 3, 2, 2, 3, 3, 6]",36,5.041
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_13,"[6, 6, 5, 4, 5, 4, 5, 4, 6, 4, 2, 4, 6, 6, 6, 6, 4, 6, 6, 4, 5, 3, 3, 5, 4, 4, 6]",27,3.853
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_14,"[6, 6, 4, 3, 4, 5, 2, 2, 4, 6, 4, 2, 3, 4, 5, 2, 1, 2, 2, 3, 3, 4, 5, 4, 1, 5, 6, 6, 2, 4, 2, 6, 6, 2, 6]",35,4.424
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_15,"[6, 5, 5, 4, 4, 3, 4, 5, 3, 4, 4, 5, 4, 4, 4, 3, 6, 6, 6, 4, 2, 6, 2, 5, 5, 3, 5, 5, 6]",29,3.691
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_16,"[3, 6, 4, 4, 3, 6, 4, 4, 2, 3, 1, 4, 3, 2, 2, 3, 1, 4, 2, 4, 2, 2, 3, 4, 4, 6, 4, 4, 3, 2, 6, 3, 5, 6, 6, 3]",36,4.538
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_17,"[3, 4, 4, 2, 3, 5, 6, 6, 6, 5, 4, 3, 2, 5, 1, 4, 3, 4, 3, 4, 2, 3, 3, 2, 2, 4, 2, 6, 4, 6, 5, 5, 2, 3, 4]",35,4.397
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_18,"[6, 6, 3, 3, 6, 3, 4, 3, 5, 6, 1, 3, 6, 6, 6, 4, 4, 2, 6, 4, 3, 4, 3, 6, 4, 2, 3, 2, 6, 2, 6]",31,4.796
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_19,"[3, 4, 3, 4, 3, 6, 6, 1, 5, 6, 6, 2, 6, 6, 4, 3, 4, 4, 5, 6, 4, 3, 5, 5, 4, 6, 2, 2, 4, 5, 2]",31,5.31
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_20,"[3, 5, 2, 2, 4, 4, 2, 2, 5, 3, 6, 5, 6, 6, 5, 4, 4, 3, 1, 4, 5, 6, 5, 4, 2, 3, 4, 3, 3, 4, 5, 5, 5]",33,5.56
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_21,"[3, 6, 5, 4, 4, 5, 5, 5, 2, 1, 2, 6, 4, 1, 5, 4, 2, 3, 5, 1, 4, 3, 3, 4, 4, 2, 4, 2, 1, 6, 3, 6, 4, 5, 5]",35,4.764
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_22,"[3, 3, 4, 2, 2, 3, 3, 3, 3, 5, 6, 6, 3, 1, 5, 4, 1, 5, 2, 2, 5, 4, 4, 4, 5, 6, 4, 3, 4, 5, 5, 6, 4, 4]",34,4.346
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_23,"[6, 4, 4, 4, 4, 1, 2, 3, 3, 3, 4, 4, 6, 3, 6, 1]",16,2.095
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_24,"[6, 6, 6, 3, 3, 2, 2, 3, 1, 4, 4, 3, 2, 3, 2, 4, 4, 2, 3, 6, 4, 3, 5, 4, 6, 6, 5, 6, 5, 4, 6, 1, 4]",33,4.222
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_25,"[3, 4, 4, 3, 1, 4, 4, 4, 6, 6, 6, 6, 4, 4, 3, 3, 2, 4, 3, 5, 4, 5, 4, 4, 2, 6, 2, 5, 6, 3, 6, 3]",32,4.084
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_26,"[4, 6, 2, 5, 4, 6, 4, 5, 2, 5, 3, 6, 3, 4, 2, 4, 4, 1, 4, 1, 4, 4, 4, 3, 5, 5, 6, 1, 2, 4, 2, 3, 4, 4, 4]",35,4.454
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_27,"[3, 3, 4, 4, 3, 4, 6, 5, 6, 3, 6, 4, 4, 1, 2, 4, 4, 6, 4, 4, 4, 4, 6, 5, 5, 4, 2, 6, 6, 2, 6]",31,3.969
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_28,"[4, 6, 3, 4, 5, 6, 3, 4, 6, 4, 6, 4, 6, 4, 5, 5, 2, 6, 3, 2, 4, 4, 2, 3, 4, 4, 1, 1, 2, 2, 4, 4, 3, 3]",34,4.343
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_29,"[3, 3, 2, 4, 2, 4, 4, 3, 2, 4, 5, 4, 4, 6, 4, 6, 5, 2, 2, 2, 5, 2, 2, 5, 2, 4, 2, 1, 3, 2, 2, 6, 2, 4, 4, 3, 3, 1, 4]",39,4.978
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_30,"[4, 6, 3, 4, 3, 6, 4, 4, 5, 6, 5, 2, 6, 3, 5, 4, 5, 4, 4, 2, 5, 4, 4, 3, 4, 2, 1, 6, 4, 4, 2, 3, 4]",33,4.205
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_31,"[3, 6, 5, 6, 3, 3, 3, 4, 4, 5, 4, 5, 4, 3, 2, 3, 4, 6, 5, 6, 3, 2, 4, 4, 4, 2, 3, 5, 5, 4, 5, 4]",32,4.085
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_32,"[4, 4, 5, 5, 6, 4, 4, 4, 3, 4, 6, 3, 6, 4, 3, 5, 4, 4, 5, 3, 2, 2, 3, 2, 4, 4, 3, 1, 4, 4, 3, 1, 6, 2, 2]",35,4.465
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_33,"[4, 6, 4, 4, 4, 6, 4, 4, 3, 6, 4, 4, 4, 2, 4, 4, 6, 2, 4, 4, 2, 3, 4, 1, 5, 3, 6, 2, 4, 1, 6, 4, 4]",33,4.219
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_34,"[6, 5, 4, 3, 4, 5, 4, 3, 4, 6, 3, 4, 6, 3, 6, 3, 6, 2, 5, 1, 6, 5, 3, 4, 6, 2, 3, 2, 5, 5, 6]",31,3.958
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_35,"[3, 6, 4, 4, 3, 3, 2, 4, 3, 3, 4, 4, 2, 3, 5, 2, 5, 6, 6, 3, 4, 6, 4, 6, 2, 1, 4, 6, 5, 6, 5, 5]",32,4.073
CFIN_T6hybrid_lsr5_s2,int4,gsm8k,gsm8k_test_36,"[4, 4, 5, 3, 3, 4, 5, 3, 4, 4, 5, 4, 5, 4, 3, 3, 3, 5, 3, 2, 5, 3, 3, 1, 3, 3, 3, 6, 6, 1, 4, 5, 4, 1, 2, 1, 6]",37,4.703
