tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_0,"[5, 1, 1, 1, 3, 2, 1, 2, 1, 1, 2, 1, 2, 3, 2, 2, 3, 2, 5, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",80,13.889
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_1,"[2, 3, 1, 1, 3, 3, 1, 2, 1, 1, 1, 2, 2, 3, 4, 4, 3, 5, 4, 1, 1, 4, 1, 1, 1, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 2, 4, 1, 3, 2]",73,12.026
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_2,"[3, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 2, 2, 4, 3, 2, 5, 3, 3, 2, 1, 2, 2, 2, 4, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 3, 2, 2]",74,12.176
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_3,"[2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 4, 1, 1, 3, 2, 2, 1, 1, 2, 1, 2, 1, 4, 1, 1, 3, 1, 2, 3, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 4, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 2, 2, 2, 1, 3, 1, 1, 1]",78,12.684
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_4,"[2, 1, 3, 1, 4, 2, 2, 1, 2, 3, 5, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1]",81,11.542
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_5,"[3, 2, 4, 2, 2, 3, 2, 2, 5, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 4, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2]",75,9.279
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_6,"[4, 4, 2, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 2, 2, 3, 1, 1, 4, 4, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 3]",78,9.644
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_7,"[3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 4, 2, 4, 2, 3, 2, 3, 2, 2, 2, 1, 1, 2, 2, 4, 2, 1, 3, 3, 1, 2, 2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1]",75,9.29
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_8,"[2, 4, 1, 1, 2, 2, 1, 1, 1, 2, 5, 1, 2, 1, 1, 4, 2, 6, 4, 2, 3, 1, 1, 3, 2, 1, 4, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",76,9.782
CFIN_T6hybrid_naive_s0,int4,gsm8k,gsm8k_test_9,"[3, 2, 4, 2, 2, 2, 1, 1, 2, 2, 5, 3, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 3]",82,10.274
