tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_802,"[1, 4, 2, 1, 5, 2, 3, 3, 1, 2, 2, 5, 5, 1, 2, 2, 2, 4, 3, 4, 3, 4, 3, 2, 2, 3, 4, 4, 4, 3, 3, 5, 4, 2, 3, 2, 3, 3, 2, 4, 1, 4, 3, 4]",44,9.352
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 3, 2, 2, 4, 3, 3, 4, 3, 3, 2, 2, 3, 2, 4, 3, 4, 3, 2, 6, 5, 2, 3, 4, 3, 5, 4, 3, 3, 2, 6, 2, 5, 2, 2, 4, 3, 3]",42,7.762
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_804,"[1, 2, 3, 3, 2, 3, 4, 4, 2, 6, 2, 4, 2, 4, 3, 4, 3, 2, 1, 1, 2, 2, 6, 4, 3, 3, 4, 3, 4, 2, 1, 2, 4, 2, 1, 3, 2, 5, 1, 2, 2, 2, 2, 2, 4, 2, 4]",47,7.504
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_807,"[1, 2, 2, 3, 4, 2, 2, 4, 6, 4, 2, 2, 3, 5, 4, 4, 2, 4, 6, 4, 3, 2, 3, 1, 2, 4, 2, 1, 2, 1, 3, 4, 3, 4, 3, 4, 3, 5, 4, 4, 5]",41,5.257
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_808,"[1, 2, 2, 4, 5, 5, 3, 4, 2, 2, 5, 2, 1, 5, 5, 2, 4, 3, 3, 4, 3, 4, 2, 2, 2, 4, 3, 3, 4, 5, 4, 4, 3, 2, 4, 5, 4, 3, 2, 2]",40,5.413
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_809,"[1, 2, 4, 4, 6, 2, 6, 4, 5, 4, 4, 1, 4, 6, 3, 2, 5, 5, 3, 6, 5, 4, 1, 6, 4, 6, 2, 1, 4, 3, 5, 2, 6, 2]",34,5.27
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_812,"[1, 3, 5, 3, 4, 2, 3, 4, 6, 1, 4, 4, 6, 2, 5, 4, 6, 6, 6, 6, 6, 6, 5, 1, 4, 2, 2, 2, 2, 3, 4, 2, 2, 4, 3]",35,4.742
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_813,"[2, 3, 5, 3, 2, 1, 4, 1, 2, 6, 4, 3, 5, 4, 4, 3, 4, 4, 3, 6, 4, 5, 5, 3, 2, 2, 4, 5, 5, 3, 4, 4, 4, 4, 3, 4]",36,4.675
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_815,"[1, 2, 2, 3, 2, 5, 4, 4, 4, 2, 1, 3, 6, 3, 2, 2, 4, 1, 4, 3, 4, 3, 2, 2, 4, 2, 6, 3, 2, 1, 6, 1, 5, 4, 4, 3, 2, 4, 1, 4, 4, 4]",42,5.983
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_817,"[1, 2, 4, 4, 3, 3, 3, 4, 4, 5, 3, 4, 2, 1, 3, 4, 3, 4, 4, 2, 4, 5, 5, 2, 3, 4, 4, 2, 4, 4, 4, 5, 6, 4, 6, 3]",36,7.557
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_818,"[1, 2, 3, 3, 4, 5, 2, 3, 5, 2, 2, 3, 3, 3, 6, 2, 4, 1, 3, 4, 2, 4, 2, 4, 4, 2, 3, 2, 1, 4, 1, 3, 4, 2, 2, 2, 5, 4, 4, 5, 1, 3, 2, 4]",44,8.667
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_819,"[1, 2, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 6, 4, 1, 4, 2, 3, 4, 3, 4, 3, 2, 2, 1, 1, 5, 4, 6, 4, 4, 5, 3, 3, 4]",40,8.311
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_822,"[1, 3, 3, 6, 4, 2, 3, 4, 2, 3, 3, 5, 2, 5, 6, 3, 3, 2, 4, 4, 3, 3, 1, 2, 1, 2, 5, 2, 1, 2, 2, 4, 3, 3, 3, 4, 4, 3, 2, 2, 2, 2, 4]",43,8.596
CSELQ_CQH_gsr5_s0_st1000,int4,c4,c4_val_823,"[1, 2, 3, 3, 2, 2, 1, 3, 4, 3, 2, 2, 4, 1, 3, 4, 1, 5, 2, 4, 4, 6, 4, 3, 4, 4, 1, 3, 3, 4, 2, 2, 4, 6, 3, 3, 5, 6, 4, 6]",40,8.088
