tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_802,"[1, 2, 2, 3, 5, 2, 3, 3, 1, 2, 6, 4, 2, 4, 2, 1, 3, 6, 2, 2, 3, 4, 3, 4, 6, 3, 1, 4, 3, 4, 4, 4, 3, 6, 4, 2, 2, 3, 2, 3, 3, 2]",42,7.497
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 3, 2, 4, 2, 4, 2, 3, 3, 2, 2, 3, 2, 4, 3, 1, 5, 4, 5, 4, 2, 5, 3, 2, 4, 4, 3, 2, 4, 6, 3, 2, 4, 3, 3, 3, 3, 4, 5]",43,7.351
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_804,"[1, 5, 6, 3, 3, 4, 2, 2, 2, 6, 3, 3, 3, 3, 2, 5, 2, 4, 3, 4, 4, 4, 4, 4, 4, 1, 3, 4, 2, 4, 4, 5, 3, 5, 4, 2, 4, 2]",38,7.842
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_807,"[1, 2, 2, 2, 4, 2, 4, 3, 4, 3, 4, 2, 3, 5, 4, 3, 2, 3, 2, 6, 3, 4, 4, 4, 3, 1, 3, 3, 5, 4, 3, 2, 4, 4, 4, 4, 5, 2, 4, 3]",40,7.65
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_808,"[1, 2, 5, 6, 2, 3, 2, 4, 2, 4, 3, 3, 5, 2, 2, 3, 5, 3, 3, 3, 4, 1, 2, 5, 3, 4, 3, 2, 2, 1, 3, 4, 3, 2, 3, 4, 3, 4, 3, 4, 2, 6]",42,8.666
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_809,"[1, 2, 4, 4, 3, 5, 5, 3, 2, 5, 4, 4, 1, 6, 5, 2, 6, 4, 3, 2, 2, 3, 2, 2, 2, 4, 1, 2, 2, 5, 6, 6, 4, 4, 3, 2, 2, 3, 3]",39,7.676
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_812,"[1, 3, 5, 3, 4, 2, 2, 3, 4, 5, 4, 4, 5, 3, 6, 3, 6, 6, 6, 5, 3, 4, 6, 5, 3, 2, 2, 2, 4, 3, 5, 2, 4, 2, 3]",35,6.722
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_813,"[2, 3, 5, 3, 2, 1, 4, 3, 6, 4, 3, 5, 4, 3, 5, 6, 2, 1, 3, 5, 3, 4, 5, 4, 2, 3, 5, 2, 4, 3, 3, 2, 5, 3, 4, 6]",36,6.178
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_815,"[1, 2, 2, 3, 3, 3, 5, 3, 4, 2, 1, 3, 6, 3, 2, 2, 4, 2, 2, 4, 1, 3, 1, 3, 3, 3, 1, 4, 4, 2, 3, 1, 1, 5, 2, 5, 4, 3, 3, 4, 3, 2, 3, 2, 3, 4]",46,7.839
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_817,"[1, 2, 6, 2, 3, 1, 2, 3, 4, 3, 5, 1, 3, 6, 3, 3, 4, 1, 6, 4, 4, 6, 6, 2, 4, 3, 4, 4, 3, 4, 2, 2, 5, 5, 5, 5, 2]",37,5.736
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_818,"[1, 2, 3, 3, 5, 4, 4, 2, 5, 3, 4, 2, 3, 6, 2, 3, 2, 4, 3, 3, 4, 3, 3, 4, 4, 2, 2, 2, 3, 4, 5, 4, 2, 5, 4, 3, 1, 4, 4, 1]",40,5.213
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_819,"[1, 2, 3, 3, 2, 4, 2, 2, 2, 4, 4, 4, 1, 3, 4, 2, 3, 5, 4, 1, 2, 4, 3, 2, 2, 4, 6, 4, 2, 2, 3, 4, 2, 2, 4, 5, 3, 3, 4, 2, 3, 4, 2]",43,5.676
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_822,"[1, 3, 3, 6, 4, 2, 1, 5, 3, 3, 6, 4, 1, 3, 4, 2, 6, 2, 2, 4, 2, 5, 4, 4, 2, 2, 1, 1, 3, 2, 3, 3, 1, 4, 4, 2, 3, 2, 4, 2, 4, 4, 3]",43,7.073
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_823,"[1, 4, 4, 3, 2, 1, 3, 5, 3, 4, 3, 3, 3, 6, 4, 4, 4, 4, 4, 2, 4, 4, 1, 1, 3, 2, 6, 3, 2, 1, 3, 1, 4, 2, 3, 6, 4, 3, 3, 4, 4]",41,7.81
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_824,"[1, 2, 3, 4, 4, 2, 1, 2, 5, 1, 4, 6, 4, 3, 4, 3, 3, 5, 4, 4, 4, 3, 6, 3, 2, 3, 4, 6, 6, 4, 2, 3, 4, 4, 3, 1, 1, 4]",38,7.017
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_826,"[1, 2, 3, 3, 2, 4, 4, 5, 2, 4, 2, 4, 6, 1, 4, 4, 5, 2, 3, 4, 4, 4, 6, 3, 4, 5, 3, 2, 2, 4, 4, 4, 6, 3, 2, 1, 4, 4]",38,8.487
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_827,"[1, 4, 5, 2, 3, 3, 2, 2, 6, 4, 2, 3, 3, 5, 3, 3, 4, 2, 2, 2, 2, 4, 3, 3, 4, 2, 2, 3, 2, 3, 2, 4, 2, 3, 2, 4, 3, 3, 4, 2, 3, 2, 2, 3]",44,9.895
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_828,"[1, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 3, 2, 3, 4, 1, 3, 3, 1, 2, 3, 2, 6, 4, 3, 4, 3, 4, 5, 1, 1, 4, 4, 4, 3, 4, 2, 4, 1, 4, 3]",41,8.258
CSELQ_CQH_ls_s1_st500,int4,c4,c4_val_829,"[1, 2, 4, 2, 2, 1, 4, 3, 4, 2, 2, 2, 1, 4, 3, 3, 2, 3, 3, 2, 4, 1, 2, 1, 4, 3, 2, 3, 4, 3, 3, 4, 4, 3, 2, 3, 2, 2, 3, 3, 3, 1, 3, 2, 3, 3, 4, 5]",48,10.258
