tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_802,"[1, 4, 3, 4, 1, 2, 3, 3, 1, 2, 2, 5, 3, 2, 1, 2, 4, 4, 3, 3, 2, 5, 1, 3, 2, 2, 3, 4, 4, 4, 3, 3, 5, 4, 2, 3, 2, 3, 3, 2, 4, 1, 2, 1, 4, 5]",46,10.62
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 3, 2, 4, 2, 4, 2, 4, 4, 2, 3, 3, 5, 6, 5, 2, 3, 4, 3, 4, 3, 1, 1, 4, 4, 3, 2, 2, 2, 3, 4, 3, 4, 3, 1, 6, 2, 2, 4]",43,11.167
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_804,"[1, 4, 4, 3, 3, 3, 6, 5, 2, 3, 2, 1, 1, 3, 2, 1, 2, 6, 3, 3, 2, 2, 3, 2, 3, 4, 1, 2, 1, 1, 3, 4, 4, 4, 3, 2, 2, 3, 4, 5, 1, 3, 1, 3, 3, 1, 3]",47,10.03
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_807,"[1, 2, 2, 3, 3, 2, 4, 3, 5, 4, 3, 2, 3, 5, 4, 3, 4, 6, 4, 3, 5, 4, 2, 4, 2, 2, 2, 2, 4, 2, 2, 5, 6, 3, 5, 3, 5, 5]",38,8.138
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_808,"[1, 2, 4, 3, 6, 3, 2, 4, 2, 2, 5, 2, 1, 4, 1, 2, 2, 2, 4, 3, 4, 1, 3, 4, 1, 2, 4, 5, 5, 4, 3, 4, 5, 3, 4, 6, 2, 5, 6, 4]",40,7.442
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_809,"[1, 2, 3, 3, 3, 5, 2, 4, 6, 2, 4, 4, 2, 4, 3, 4, 2, 2, 2, 4, 3, 1, 2, 3, 3, 6, 1, 2, 5, 1, 2, 2, 2, 3, 5, 3, 3, 4, 2, 3, 4, 1, 4, 2]",44,7.762
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_812,"[1, 3, 3, 4, 3, 4, 2, 1, 3, 6, 3, 3, 3, 4, 1, 4, 2, 1, 2, 6, 3, 4, 5, 4, 4, 3, 4, 3, 4, 3, 3, 3, 4, 4, 3, 1, 3, 6, 3, 2]",40,6.856
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_813,"[2, 3, 4, 4, 2, 1, 4, 1, 2, 6, 4, 3, 5, 4, 3, 4, 4, 3, 2, 2, 3, 4, 3, 4, 4, 4, 3, 1, 6, 2, 2, 5, 4, 2, 6, 3, 6, 4]",38,6.488
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_815,"[1, 2, 2, 3, 3, 4, 4, 3, 4, 2, 1, 3, 6, 3, 2, 2, 4, 2, 2, 5, 3, 1, 4, 3, 2, 3, 3, 3, 2, 1, 3, 4, 2, 4, 5, 3, 2, 4, 2, 5, 1, 3, 2, 1, 2, 3]",46,7.817
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_817,"[1, 2, 3, 3, 3, 2, 2, 3, 3, 4, 2, 3, 3, 3, 4, 4, 2, 2, 6, 4, 4, 4, 4, 3, 4, 2, 6, 2, 3, 5, 5, 4, 3, 3, 2, 3, 6, 3, 6]",39,6.664
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_818,"[1, 2, 3, 3, 5, 4, 4, 2, 6, 2, 4, 2, 3, 6, 2, 3, 2, 2, 4, 3, 3, 6, 4, 4, 4, 6, 2, 2, 3, 4, 6, 3, 2, 4, 4, 1, 2, 2, 3]",39,6.579
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_819,"[1, 2, 3, 3, 3, 4, 3, 4, 3, 4, 2, 4, 4, 4, 4, 4, 4, 3, 5, 1, 3, 6, 2, 3, 4, 3, 3, 4, 5, 4, 3, 4, 3, 3, 1, 4, 3, 4, 5]",39,5.937
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_822,"[1, 3, 3, 6, 4, 4, 5, 2, 3, 6, 4, 2, 2, 2, 3, 1, 4, 4, 2, 3, 4, 4, 3, 2, 1, 3, 5, 2, 1, 2, 5, 3, 3, 2, 2, 4, 3, 3, 3, 4, 3, 2]",42,8.011
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_823,"[1, 3, 4, 3, 2, 2, 3, 4, 2, 4, 4, 1, 6, 6, 3, 3, 1, 4, 4, 3, 3, 2, 2, 2, 5, 2, 3, 6, 2, 4, 5, 4, 4, 2, 3, 3, 3, 5, 2, 1, 2]",41,8.837
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_824,"[1, 2, 3, 4, 4, 3, 2, 4, 2, 4, 6, 3, 2, 1, 4, 2, 5, 2, 2, 1, 2, 2, 4, 4, 3, 3, 4, 3, 5, 4, 3, 5, 1, 4, 3, 4, 3, 2, 2, 4, 5, 3]",42,8.754
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_826,"[1, 2, 4, 4, 2, 3, 4, 6, 3, 4, 3, 3, 4, 4, 4, 3, 4, 6, 3, 3, 2, 3, 3, 3, 4, 3, 2, 4, 2, 2, 3, 1, 5, 3, 2, 2, 2, 2, 6, 2, 6]",41,7.39
CSELQ_CQH_lsr5_s1_st1000,int4,c4,c4_val_827,"[1, 4, 5, 2, 3, 3, 2, 2, 6, 1, 4, 4, 2, 5, 3, 5, 3, 2, 2, 4, 3, 4, 3, 2, 2, 3, 4, 3, 5, 2, 4, 4, 5, 4, 1, 2, 4, 5, 4, 2]",40,8.112
