tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_802,"[1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 3, 2, 3, 2, 1, 2, 2, 1, 1, 1]",78,13.053
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_803,"[1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 1, 1, 2, 1, 1, 2, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2]",78,12.619
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_804,"[1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",81,10.102
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_807,"[1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2]",77,9.517
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_808,"[1, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 1, 1, 3, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 4]",72,11.4
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_809,"[1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2]",79,13.625
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_812,"[1, 1, 2, 2, 3, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2]",71,13.428
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_813,"[2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 3, 1, 1, 2, 3, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 3, 2, 2, 2]",72,14.77
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_815,"[1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2]",77,17.592
CSELQ_CQH_naive_s1_st500,int4,c4,c4_val_817,"[1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2]",77,15.439
