tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_802,"[6, 4, 4, 3, 3, 2, 4, 6, 6, 5, 5, 2, 2, 1, 1, 4, 2, 5, 4, 1, 3, 3, 5, 3, 3, 2, 2, 2, 3, 2, 1, 4, 2, 3, 1, 1, 2, 3, 4, 3, 1, 1, 1, 1, 5]",45,7.942
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 4, 1, 4, 2, 2, 4, 3, 1, 2, 2, 1, 2, 4, 5, 6, 4, 4, 1, 2, 3, 4, 3, 5, 6, 2, 3, 5, 4, 3, 4, 2, 4, 3, 3, 3, 3, 4, 4]",43,7.059
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_804,"[6, 3, 3, 2, 6, 6, 6, 6, 4, 4, 1, 4, 3, 1, 1, 5, 1, 3, 4, 3, 5, 4, 2, 2, 2, 4, 2, 4, 4, 3, 4, 3, 4, 2, 2, 3, 2, 2, 3]",39,6.422
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_807,"[6, 4, 1, 5, 5, 6, 5, 6, 6, 6, 1, 4, 3, 4, 2, 4, 3, 4, 3, 5, 1, 2, 3, 2, 1, 4, 2, 3, 3, 2, 3, 3, 4, 2, 4, 4, 4]",37,6.106
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_808,"[3, 2, 3, 4, 3, 1, 3, 4, 1, 2, 3, 3, 2, 2, 1, 4, 1, 3, 1, 2, 4, 3, 5, 3, 4, 3, 4, 5, 6, 2, 3, 4, 1, 5, 4, 3, 3, 4, 3, 1, 2, 2, 1, 2, 4]",45,7.347
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_809,"[3, 4, 3, 4, 4, 4, 3, 4, 6, 6, 5, 6, 4, 6, 3, 2, 2, 5, 2, 3, 2, 2, 2, 3, 2, 5, 5, 5, 4, 4, 2, 5, 4, 1, 6]",35,5.711
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_812,"[2, 5, 5, 4, 2, 2, 2, 2, 2, 4, 4, 4, 6, 4, 5, 2, 6, 2, 4, 4, 5, 4, 3, 4, 6, 5, 3, 2, 1, 4, 1, 2, 4, 5, 4, 5]",36,5.03
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_813,"[1, 1, 3, 5, 3, 2, 1, 2, 2, 3, 5, 4, 4, 4, 3, 4, 2, 2, 5, 2, 3, 4, 4, 3, 3, 2, 4, 3, 2, 2, 4, 4, 3, 2, 3, 2, 2, 3, 6, 2, 2, 4, 2, 2]",44,5.477
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_815,"[5, 3, 3, 4, 5, 3, 4, 6, 6, 4, 3, 4, 2, 3, 3, 2, 1, 3, 6, 2, 2, 1, 2, 1, 4, 1, 6, 4, 2, 1, 6, 4, 3, 4, 2, 3, 1, 2, 2, 3, 2]",41,5.081
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_817,"[4, 4, 1, 3, 2, 2, 3, 4, 5, 3, 3, 4, 4, 3, 2, 3, 2, 3, 1, 1, 3, 2, 2, 4, 2, 1, 3, 5, 4, 3, 6, 4, 2, 3, 2, 5, 4, 5, 2, 6, 2, 2]",42,5.573
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_818,"[6, 5, 4, 3, 2, 5, 5, 6, 4, 4, 6, 6, 3, 1, 2, 6, 3, 3, 4, 6, 5, 1, 5, 3, 2, 3, 3, 4, 5, 1, 2, 2, 6, 3]",34,6.991
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_819,"[5, 4, 4, 2, 2, 2, 6, 4, 4, 4, 5, 3, 6, 3, 4, 3, 3, 4, 4, 4, 4, 2, 3, 5, 3, 3, 3, 2, 4, 2, 2, 3, 4, 2, 4, 2, 1, 3]",38,7.549
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_822,"[3, 5, 6, 3, 2, 6, 2, 5, 5, 1, 2, 2, 1, 2, 2, 1, 3, 2, 4, 3, 4, 2, 2, 2, 2, 4, 5, 4, 2, 2, 3, 2, 4, 3, 1, 2, 1, 5, 2, 3, 6, 3, 1, 2, 3]",45,8.396
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_823,"[6, 4, 3, 3, 6, 6, 6, 4, 2, 1, 3, 3, 3, 4, 4, 4, 6, 1, 3, 5, 4, 4, 4, 6, 3, 3, 6, 4, 3, 2, 2, 4, 3, 1, 3]",35,6.936
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_824,"[6, 2, 6, 3, 4, 2, 4, 4, 5, 6, 6, 5, 5, 3, 5, 4, 3, 4, 4, 4, 2, 5, 3, 4, 2, 5, 4, 4, 2, 2, 4, 4, 4]",33,6.387
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_826,"[5, 4, 2, 5, 4, 4, 6, 5, 6, 2, 2, 4, 6, 3, 6, 1, 4, 4, 6, 3, 2, 3, 2, 2, 4, 6, 1, 2, 4, 2, 4, 6, 2, 2, 2, 3]",36,7.179
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_827,"[4, 6, 2, 3, 3, 2, 2, 5, 3, 3, 4, 4, 1, 4, 6, 1, 2, 3, 4, 3, 3, 4, 2, 4, 4, 4, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 3, 4, 2, 4, 3, 2, 4]",44,9.191
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_828,"[5, 6, 1, 4, 2, 3, 3, 4, 3, 2, 4, 1, 6, 4, 3, 1, 2, 4, 2, 3, 4, 3, 3, 3, 2, 3, 3, 4, 3, 2, 2, 3, 1, 3, 1, 4, 1, 3, 2, 4, 3, 5, 2, 4]",44,8.294
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_829,"[6, 3, 2, 3, 3, 1, 4, 3, 1, 6, 4, 3, 3, 1, 1, 4, 2, 2, 2, 3, 4, 1, 2, 2, 4, 4, 1, 2, 3, 3, 2, 6, 1, 6, 2, 4, 5, 3, 3, 4, 4, 3, 3]",43,9.018
CSEL_CAN_P2_A_conv_s1_st1000,int4,c4,c4_val_832,"[4, 4, 2, 3, 4, 6, 6, 6, 6, 5, 4, 5, 3, 2, 2, 2, 4, 3, 3, 3, 6, 4, 5, 4, 1, 2, 6, 4, 1, 3, 4, 4, 2, 1, 4]",35,7.188
