tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_802,"[6, 3, 3, 3, 1, 4, 3, 4, 2, 2, 4, 3, 3, 2, 4, 2, 3, 1, 2, 3, 4, 1, 5, 3, 3, 2, 3, 2, 1, 4, 4, 4, 3, 5, 3, 2, 5, 4, 2, 5, 4, 4]",42,9.032
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 4, 2, 3, 4, 4, 1, 4, 1, 3, 3, 4, 1, 2, 5, 3, 4, 6, 2, 2, 5, 3, 2, 4, 3, 2, 3, 4, 3, 4, 5, 3, 4, 3, 4, 1, 3]",41,7.829
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_804,"[6, 3, 2, 3, 6, 6, 6, 4, 2, 3, 5, 1, 2, 2, 3, 1, 3, 4, 3, 2, 2, 2, 4, 3, 1, 4, 1, 2, 4, 4, 2, 2, 5, 3, 3, 4, 1, 1, 2, 1, 6, 3, 4]",43,7.335
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_807,"[4, 4, 3, 2, 6, 6, 6, 6, 5, 4, 3, 3, 5, 2, 4, 3, 5, 3, 1, 2, 4, 4, 5, 4, 2, 3, 5, 3, 4, 3, 4, 2, 5, 3]",34,5.772
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_808,"[3, 2, 4, 4, 3, 3, 2, 4, 1, 3, 4, 2, 2, 4, 1, 4, 1, 3, 2, 3, 2, 3, 5, 1, 2, 5, 4, 4, 2, 2, 4, 5, 4, 4, 4, 5, 4, 4, 3, 4, 3]",41,7.018
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_809,"[4, 5, 3, 6, 5, 2, 4, 6, 3, 5, 6, 5, 2, 2, 3, 1, 3, 3, 2, 2, 5, 2, 2, 3, 2, 2, 2, 4, 6, 4, 4, 3, 1, 4, 2, 3, 3, 2, 6]",39,7.074
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_812,"[2, 6, 6, 4, 3, 3, 3, 5, 4, 4, 5, 5, 3, 3, 4, 3, 4, 2, 2, 6, 3, 5, 1, 2, 3, 4, 2, 4, 3, 1, 3, 5, 2, 2, 5, 4, 5]",37,6.296
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_813,"[1, 2, 2, 4, 3, 3, 1, 4, 3, 3, 5, 5, 4, 3, 5, 4, 4, 3, 3, 3, 4, 3, 2, 3, 4, 3, 3, 1, 4, 5, 4, 2, 3, 1, 1, 2, 4, 2, 3, 4, 2, 1, 2]",43,7.381
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_815,"[5, 3, 3, 4, 4, 3, 6, 4, 5, 1, 3, 2, 2, 4, 2, 3, 4, 3, 1, 4, 3, 2, 4, 1, 1, 2, 2, 4, 2, 2, 2, 4, 4, 2, 4, 6, 2, 1, 6, 1, 3, 4]",42,6.989
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_817,"[3, 4, 4, 4, 2, 3, 4, 4, 5, 3, 6, 4, 4, 3, 4, 4, 2, 3, 5, 3, 3, 2, 2, 4, 5, 2, 4, 3, 4, 6, 4, 4, 3, 6, 2]",35,5.854
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_818,"[4, 4, 3, 3, 6, 5, 3, 4, 3, 6, 4, 2, 5, 3, 2, 3, 2, 4, 4, 3, 4, 2, 4, 4, 2, 2, 2, 3, 6, 4, 3, 2, 2, 2, 2, 2, 4, 5]",38,8.464
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_819,"[6, 3, 2, 4, 1, 3, 4, 6, 1, 2, 4, 4, 2, 2, 6, 5, 6, 4, 5, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 4, 2, 3, 6]",36,8.268
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_822,"[1, 4, 4, 6, 2, 2, 5, 2, 3, 4, 5, 3, 4, 6, 3, 3, 2, 6, 3, 3, 2, 4, 3, 3, 4, 1, 4, 2, 2, 2, 4, 3, 3, 3, 1, 6, 4, 2, 3, 6]",40,11.089
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_823,"[4, 4, 1, 2, 1, 2, 3, 2, 6, 6, 5, 4, 3, 2, 4, 6, 3, 2, 3, 4, 4, 3, 4, 5, 4, 2, 2, 1, 2, 3, 3, 6, 1, 5, 4, 5, 3, 3, 3]",39,8.762
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_824,"[3, 3, 4, 2, 3, 4, 1, 6, 2, 6, 3, 1, 5, 4, 2, 2, 3, 4, 4, 1, 4, 4, 4, 3, 2, 2, 1, 6, 3, 2, 2, 3, 2, 3, 2, 2, 4, 4, 3, 4, 6]",41,8.986
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_826,"[3, 4, 2, 2, 2, 4, 6, 2, 3, 4, 5, 6, 4, 3, 4, 2, 3, 1, 2, 3, 3, 4, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 3, 2, 6, 3, 4, 3, 4, 4]",42,8.753
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_827,"[3, 6, 3, 3, 3, 2, 4, 4, 4, 4, 2, 4, 5, 3, 2, 1, 2, 3, 4, 4, 3, 3, 2, 2, 2, 3, 1, 3, 2, 4, 2, 4, 1, 3, 4, 2, 5, 3, 4, 3, 4, 2]",42,9.27
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_828,"[3, 3, 6, 4, 1, 2, 3, 4, 4, 3, 3, 2, 3, 3, 3, 4, 3, 4, 4, 1, 2, 2, 4, 4, 2, 4, 4, 3, 2, 4, 2, 3, 1, 6, 1, 4, 3, 2, 2, 3, 1, 4, 3]",43,9.265
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_829,"[6, 3, 2, 4, 3, 3, 5, 1, 5, 5, 4, 2, 4, 3, 4, 2, 4, 2, 3, 2, 2, 6, 3, 5, 3, 4, 3, 3, 5, 2, 2, 2, 4, 2, 5, 3, 5, 6]",38,6.505
CSEL_CAN_P2_A_greedy_s2_st100,int4,c4,c4_val_832,"[4, 4, 2, 2, 3, 6, 4, 6, 3, 6, 5, 4, 3, 6, 3, 4, 1, 2, 3, 2, 2, 2, 3, 1, 1, 2, 1, 4, 3, 4, 5, 2, 3, 6, 2, 3, 4, 5, 4]",39,8.117
