tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_802,"[6, 2, 4, 3, 1, 3, 3, 6, 1, 2, 4, 4, 2, 2, 3, 5, 1, 2, 4, 6, 6, 3, 4, 5, 3, 4, 4, 2, 4, 4, 3, 4, 3, 3, 5, 4, 2, 4]",38,8.606
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_803,"[1, 2, 3, 1, 5, 2, 3, 3, 2, 6, 2, 4, 2, 3, 3, 4, 4, 6, 4, 1, 2, 3, 4, 4, 3, 5, 2, 2, 3, 4, 3, 2, 6, 2, 4, 3, 4, 4, 4, 5]",40,8.291
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_804,"[5, 5, 3, 3, 6, 2, 3, 2, 3, 1, 1, 4, 3, 3, 2, 3, 1, 2, 2, 1, 1, 1, 3, 2, 5, 2, 2, 2, 6, 4, 2, 5, 3, 3, 3, 3, 3, 2, 3, 1, 4, 2, 1, 4, 3, 5]",46,10.01
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_807,"[5, 4, 4, 4, 3, 6, 6, 6, 6, 6, 1, 4, 3, 5, 5, 4, 4, 4, 3, 1, 4, 2, 2, 3, 2, 3, 1, 2, 4, 2, 3, 4, 5, 3, 3, 4]",36,9.004
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_808,"[3, 3, 3, 4, 4, 2, 2, 3, 3, 2, 1, 1, 2, 2, 6, 5, 4, 4, 3, 3, 2, 2, 1, 2, 1, 4, 4, 1, 3, 3, 4, 1, 3, 4, 4, 3, 2, 3, 1, 2, 5, 3, 2, 3, 3, 4]",46,10.61
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_809,"[4, 5, 2, 3, 4, 3, 4, 4, 5, 6, 4, 6, 4, 2, 2, 4, 5, 2, 2, 3, 4, 4, 4, 1, 4, 3, 4, 1, 3, 4, 4, 4, 2, 3, 3, 2, 5]",37,8.283
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_812,"[2, 6, 5, 4, 1, 2, 3, 3, 4, 6, 4, 5, 6, 3, 4, 5, 6, 1, 6, 5, 4, 6, 3, 5, 3, 3, 3, 1, 4, 3, 4, 2, 3, 3]",34,7.205
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_813,"[1, 1, 3, 5, 3, 2, 1, 2, 2, 3, 4, 4, 3, 2, 5, 3, 5, 2, 4, 4, 2, 1, 3, 3, 4, 1, 4, 1, 4, 4, 3, 1, 3, 2, 3, 2, 4, 1, 4, 4, 2, 3, 2, 6, 4]",45,9.344
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_815,"[5, 4, 2, 6, 3, 2, 6, 4, 6, 3, 2, 1, 4, 3, 3, 1, 2, 4, 1, 3, 3, 4, 2, 1, 2, 1, 5, 1, 6, 3, 3, 5, 4, 1, 4, 2, 2, 2, 4, 5, 3]",41,8.404
CSEL_CAN_P2_A_hybrid_s0_st2000,int4,c4,c4_val_817,"[4, 4, 3, 3, 3, 3, 4, 4, 5, 1, 4, 6, 4, 3, 6, 2, 2, 5, 2, 6, 3, 4, 4, 3, 3, 4, 5, 5, 2, 2, 5, 6, 3, 2, 5]",35,7.096
