tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_802,"[6, 4, 4, 3, 3, 1, 5, 6, 5, 5, 4, 1, 2, 2, 1, 1, 1, 4, 3, 3, 1, 2, 4, 5, 5, 2, 4, 2, 1, 2, 3, 3, 4, 2, 4, 3, 5, 6, 1, 3, 4]",41,7.524
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 4, 2, 2, 3, 6, 1, 4, 1, 3, 3, 4, 3, 5, 2, 6, 2, 5, 2, 5, 3, 2, 4, 3, 2, 4, 4, 6, 4, 2, 3, 3, 2, 2, 4, 2]",40,7.317
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_804,"[6, 3, 3, 2, 2, 6, 2, 4, 1, 4, 2, 1, 2, 2, 3, 6, 2, 3, 5, 4, 3, 2, 2, 1, 3, 1, 2, 3, 1, 2, 3, 3, 2, 3, 1, 1, 1, 2, 6, 4, 2, 4, 3, 3, 4, 3]",46,8.311
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_807,"[5, 4, 4, 3, 5, 6, 4, 5, 6, 1, 4, 2, 5, 4, 4, 4, 4, 3, 4, 2, 3, 2, 2, 1, 5, 1, 3, 4, 4, 4, 3, 4, 5, 3, 4, 2]",36,6.407
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_808,"[3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 4, 2, 4, 4, 1, 1, 5, 2, 2, 3, 4, 4, 4, 1, 3, 3, 3, 3, 3, 4, 2, 5, 4, 2, 3, 4, 1, 2, 3, 4, 4, 3]",44,7.791
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_809,"[4, 5, 3, 5, 1, 4, 3, 3, 4, 4, 6, 6, 6, 2, 5, 5, 3, 4, 3, 3, 2, 1, 2, 4, 2, 6, 3, 2, 4, 2, 3, 4, 4, 2, 1, 3, 4]",37,6.914
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_812,"[3, 4, 6, 4, 1, 2, 1, 6, 2, 4, 3, 4, 5, 4, 3, 1, 2, 4, 5, 3, 3, 1, 3, 4, 2, 2, 4, 3, 4, 2, 3, 5, 1, 4, 3, 2, 5, 5, 1, 1, 1, 4]",42,7.676
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_813,"[1, 1, 3, 4, 4, 2, 1, 2, 2, 3, 4, 3, 4, 2, 5, 3, 4, 3, 4, 3, 3, 2, 4, 5, 5, 5, 4, 2, 1, 5, 3, 2, 3, 4, 2, 3, 3, 4, 6, 5]",40,7.137
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_815,"[5, 3, 3, 6, 2, 4, 6, 4, 5, 3, 2, 3, 2, 1, 3, 4, 3, 1, 3, 5, 2, 2, 1, 3, 6, 3, 5, 6, 2, 6, 6, 2, 2, 4, 1, 4, 3, 3]",38,6.317
CSEL_CAN_P2_A_survival_s2_st2000,int4,c4,c4_val_817,"[4, 4, 4, 3, 1, 3, 6, 3, 3, 3, 6, 5, 4, 2, 3, 3, 2, 2, 1, 1, 4, 2, 4, 3, 4, 2, 1, 3, 4, 6, 3, 3, 2, 6, 3, 2, 6, 6, 6]",39,6.609
