tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_802,"[4, 3, 1, 4, 3, 3, 3, 2, 4, 5, 4, 4, 6, 5, 1, 5, 2, 2, 1, 1, 4, 2, 4, 1, 4, 4, 4, 5, 4, 1, 1, 2, 2, 1, 2, 3, 4, 2, 3, 4, 4, 4]",42,9.721
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 2, 5, 3, 6, 3, 4, 1, 3, 4, 3, 1, 2, 4, 1, 2, 5, 6, 2, 2, 4, 1, 3, 4, 2, 3, 2, 4, 4, 3, 4, 5, 3, 4, 3, 4, 3]",41,8.773
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_804,"[5, 5, 3, 3, 6, 2, 3, 2, 4, 1, 4, 3, 3, 2, 3, 3, 3, 2, 3, 2, 2, 4, 3, 6, 3, 4, 4, 2, 2, 1, 2, 3, 3, 3, 5, 2, 4, 2, 3, 1, 4, 2, 3]",43,9.094
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_807,"[4, 6, 1, 4, 6, 4, 6, 6, 6, 3, 3, 4, 5, 4, 4, 3, 2, 2, 2, 4, 3, 2, 5, 4, 2, 3, 5, 4, 4, 6, 5, 4, 3]",33,6.574
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_808,"[3, 2, 5, 3, 4, 2, 2, 4, 4, 2, 2, 2, 5, 2, 3, 3, 3, 2, 3, 4, 2, 4, 2, 6, 2, 1, 3, 2, 6, 3, 3, 4, 4, 3, 4, 4, 6, 3, 2, 3, 3]",41,8.085
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_809,"[1, 4, 4, 3, 6, 5, 6, 2, 6, 4, 4, 4, 4, 3, 4, 4, 4, 2, 5, 4, 1, 1, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 6, 3, 5, 2, 4, 5]",38,7.05
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_812,"[2, 6, 6, 4, 3, 3, 2, 4, 6, 3, 5, 3, 4, 2, 5, 3, 2, 1, 4, 3, 3, 5, 4, 4, 1, 4, 6, 4, 1, 3, 3, 5, 3, 4, 5, 1, 1]",37,6.89
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_813,"[1, 2, 2, 4, 3, 1, 2, 1, 2, 2, 3, 4, 3, 3, 3, 5, 4, 4, 3, 4, 2, 3, 3, 3, 5, 1, 4, 4, 3, 2, 3, 4, 3, 2, 5, 5, 3, 5, 2, 5, 5]",41,8.119
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_815,"[5, 3, 3, 4, 4, 4, 6, 3, 5, 2, 2, 2, 2, 4, 1, 4, 4, 5, 4, 4, 3, 4, 2, 3, 5, 5, 5, 1, 3, 1, 3, 2, 2, 1, 2, 3, 4, 3, 2, 3]",40,8.123
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_817,"[5, 4, 3, 2, 2, 3, 4, 3, 3, 2, 3, 4, 4, 3, 2, 4, 4, 2, 3, 2, 2, 2, 4, 3, 2, 3, 6, 2, 1, 3, 3, 2, 3, 6, 3, 2, 2, 4, 5, 6, 6]",41,8.911
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_818,"[4, 5, 2, 3, 6, 5, 4, 6, 6, 2, 2, 3, 2, 5, 3, 5, 2, 3, 2, 4, 6, 2, 1, 4, 2, 2, 2, 3, 4, 6, 3, 2, 3, 4, 2, 2, 2, 3, 5]",39,8.005
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_819,"[4, 5, 2, 2, 4, 4, 2, 2, 3, 3, 4, 3, 3, 2, 6, 3, 1, 6, 2, 2, 6, 3, 2, 3, 3, 4, 1, 6, 3, 2, 5, 4, 4, 5, 5, 3, 3, 2, 4]",39,8.663
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 5, 1, 1, 5, 5, 2, 3, 3, 1, 2, 2, 4, 5, 1, 3, 1, 4, 6, 4, 2, 4, 1, 3, 4, 2, 2, 4, 2, 2, 2, 2, 4, 2, 6, 2, 4, 2]",43,9.478
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_823,"[3, 6, 2, 2, 2, 2, 4, 6, 3, 4, 4, 6, 6, 6, 4, 4, 6, 2, 3, 3, 4, 2, 3, 3, 4, 2, 3, 3, 2, 1, 1, 3, 3, 1, 3, 4, 3, 3, 1, 2]",40,8.322
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_824,"[3, 3, 4, 4, 1, 4, 4, 2, 4, 6, 3, 3, 5, 4, 4, 4, 6, 2, 3, 4, 6, 4, 2, 5, 4, 2, 5, 2, 5, 2, 3, 4, 3, 2, 4, 5]",36,8.195
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_826,"[1, 6, 4, 2, 3, 3, 4, 3, 3, 3, 4, 2, 6, 3, 4, 4, 1, 2, 1, 4, 4, 3, 6, 5, 3, 3, 2, 2, 1, 1, 4, 4, 2, 4, 4, 3, 3, 2, 1, 3, 1, 1, 4]",43,9.464
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_827,"[1, 6, 3, 2, 3, 3, 2, 4, 4, 5, 4, 4, 4, 4, 2, 2, 1, 2, 1, 2, 4, 4, 3, 4, 1, 2, 3, 3, 1, 4, 3, 4, 2, 6, 2, 6, 2, 4, 4, 1, 3, 4]",42,9.497
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_828,"[1, 5, 4, 3, 3, 3, 4, 6, 4, 3, 2, 3, 2, 4, 2, 1, 4, 5, 4, 1, 2, 4, 2, 3, 2, 2, 1, 2, 3, 2, 3, 3, 4, 1, 4, 4, 4, 3, 4, 4, 2, 6]",42,10.071
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_829,"[5, 3, 4, 2, 1, 3, 2, 4, 5, 1, 1, 2, 4, 6, 6, 6, 2, 3, 2, 2, 3, 3, 3, 2, 6, 2, 3, 5, 4, 6, 4, 5, 4, 3, 2, 4, 4, 1]",38,11.053
CSEL_CAN_P2_B_conv_s2_st100,int4,c4,c4_val_832,"[3, 4, 1, 2, 2, 3, 3, 6, 2, 3, 6, 4, 2, 3, 2, 3, 3, 3, 3, 2, 2, 5, 4, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 3, 4, 5, 2, 6]",42,9.728
