tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_802,"[6, 2, 4, 3, 1, 3, 1, 4, 4, 1, 4, 3, 1, 1, 2, 5, 5, 1, 1, 2, 4, 2, 1, 5, 4, 5, 3, 1, 1, 4, 4, 3, 3, 1, 1, 3, 4, 4, 1, 2, 4, 1, 3, 2, 1, 4, 2, 2]",48,10.242
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_803,"[1, 5, 1, 3, 2, 3, 1, 1, 6, 1, 2, 3, 5, 6, 4, 1, 3, 4, 2, 3, 3, 6, 3, 2, 3, 2, 6, 4, 2, 3, 1, 2, 4, 1, 3, 3, 2, 3, 3, 4, 4, 1, 1, 6]",44,8.659
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_804,"[6, 3, 2, 1, 4, 6, 6, 5, 5, 6, 3, 3, 3, 2, 3, 2, 4, 3, 2, 4, 4, 4, 5, 2, 1, 3, 1, 3, 3, 1, 4, 2, 4, 1, 2, 2, 1, 6, 5, 3]",40,7.531
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_807,"[5, 4, 4, 3, 6, 6, 4, 4, 6, 1, 4, 2, 5, 1, 6, 6, 4, 2, 2, 2, 4, 3, 4, 4, 2, 2, 3, 4, 2, 3, 3, 4, 2, 2, 5, 3, 2]",37,6.579
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_808,"[3, 2, 4, 4, 3, 3, 2, 3, 2, 2, 1, 4, 2, 1, 1, 2, 3, 1, 3, 3, 6, 3, 2, 3, 3, 4, 5, 4, 4, 2, 2, 2, 2, 3, 4, 2, 4, 4, 5, 4, 2, 4, 3, 5]",44,7.317
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_809,"[4, 5, 3, 4, 3, 4, 2, 4, 6, 6, 6, 6, 3, 2, 4, 4, 3, 2, 3, 3, 2, 3, 2, 1, 2, 5, 4, 4, 5, 1, 4, 1, 2, 6, 3, 4, 3]",37,5.014
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_812,"[2, 6, 6, 4, 2, 1, 3, 2, 4, 6, 4, 5, 6, 4, 4, 4, 3, 4, 3, 6, 5, 1, 3, 3, 2, 3, 4, 2, 3, 4, 3, 3, 4, 2, 3, 1, 2, 3]",38,5.314
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_813,"[1, 2, 2, 3, 2, 3, 2, 1, 2, 2, 3, 4, 3, 4, 2, 6, 2, 5, 2, 4, 3, 3, 1, 3, 4, 3, 1, 4, 1, 5, 3, 3, 1, 3, 5, 2, 5, 3, 3, 4, 3, 2, 5, 5]",44,9.775
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_815,"[4, 4, 3, 6, 4, 4, 6, 4, 4, 3, 2, 1, 5, 1, 4, 2, 3, 3, 2, 4, 4, 2, 5, 4, 2, 3, 6, 5, 3, 2, 3, 2, 4, 1, 2, 3, 5, 3]",38,8.288
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_817,"[6, 3, 3, 2, 2, 3, 4, 5, 3, 3, 4, 4, 2, 2, 3, 2, 3, 2, 2, 4, 4, 2, 2, 3, 3, 4, 2, 2, 4, 4, 4, 3, 3, 4, 5, 6, 3, 3, 6]",39,6.845
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_818,"[6, 3, 3, 3, 3, 2, 6, 4, 6, 6, 4, 6, 1, 1, 2, 2, 1, 4, 4, 4, 2, 3, 5, 2, 3, 4, 2, 2, 2, 3, 4, 6, 3, 2, 4, 4, 2, 2, 1, 4]",40,8.354
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_819,"[4, 4, 1, 1, 3, 3, 3, 4, 3, 4, 4, 3, 2, 2, 4, 3, 1, 1, 5, 4, 5, 6, 6, 4, 2, 4, 2, 3, 2, 4, 4, 4, 5, 4, 3, 2, 3, 3, 3]",39,10.274
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_822,"[3, 4, 6, 4, 2, 3, 2, 2, 6, 3, 4, 4, 2, 2, 5, 6, 2, 2, 3, 2, 4, 1, 2, 3, 3, 3, 4, 1, 4, 1, 2, 4, 2, 4, 2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 5]",45,9.83
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_823,"[6, 3, 3, 4, 2, 6, 2, 2, 5, 4, 4, 6, 3, 3, 4, 3, 4, 4, 2, 4, 2, 3, 4, 1, 1, 3, 5, 3, 2, 2, 1, 5, 1, 3, 3, 4, 6, 2, 2, 2]",40,8.428
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_824,"[6, 5, 3, 3, 2, 2, 4, 6, 4, 4, 5, 5, 6, 4, 4, 2, 3, 5, 3, 2, 2, 3, 1, 4, 4, 3, 2, 3, 5, 2, 4, 6, 4, 3, 6]",35,7.376
CSEL_CAN_P2_B_greedy_s0_st1500,int4,c4,c4_val_826,"[6, 3, 2, 5, 6, 4, 5, 4, 6, 2, 3, 4, 6, 1, 1, 6, 1, 3, 6, 2, 2, 2, 4, 2, 6, 3, 5, 4, 6, 2, 4, 2, 3, 4, 4]",35,7.515
