tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_802,"[6, 2, 4, 3, 1, 3, 4, 6, 4, 3, 1, 1, 2, 6, 4, 6, 3, 4, 3, 4, 5, 2, 4, 2, 4, 1, 2, 3, 2, 3, 2, 3, 4, 2, 3, 2, 2, 4, 3, 2, 1, 1, 2]",43,9.49
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_803,"[1, 2, 3, 1, 6, 1, 6, 2, 3, 5, 4, 4, 2, 3, 2, 5, 2, 2, 5, 4, 4, 5, 2, 3, 4, 5, 5, 2, 2, 2, 3, 4, 2, 4, 2, 4, 4, 1, 4, 3]",40,7.724
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_804,"[6, 4, 2, 4, 6, 5, 6, 5, 3, 4, 4, 1, 3, 2, 2, 2, 4, 4, 3, 4, 1, 2, 2, 3, 2, 2, 5, 3, 3, 1, 3, 2, 1, 3, 3, 3, 6, 3, 2, 4]",40,7.101
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_807,"[4, 3, 4, 3, 4, 4, 6, 4, 5, 6, 3, 3, 3, 5, 4, 5, 3, 2, 2, 5, 2, 1, 2, 4, 2, 1, 1, 1, 5, 2, 3, 4, 4, 3, 4, 5, 4, 4]",38,6.853
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_808,"[3, 3, 4, 3, 4, 2, 2, 3, 3, 2, 1, 1, 2, 2, 6, 5, 4, 4, 3, 3, 4, 1, 1, 6, 2, 2, 1, 3, 4, 1, 2, 3, 3, 4, 4, 3, 2, 2, 3, 4, 4, 2, 4, 5]",44,7.808
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_809,"[4, 5, 2, 3, 5, 4, 4, 2, 2, 6, 4, 6, 4, 2, 5, 3, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 2, 3, 5, 2, 4, 4]",38,7.799
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_812,"[2, 5, 6, 3, 2, 2, 2, 2, 6, 2, 6, 6, 4, 4, 3, 6, 4, 1, 4, 6, 4, 2, 5, 6, 6, 4, 1, 4, 3, 3, 4, 4, 2, 3, 2]",35,7.148
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_813,"[1, 1, 3, 5, 3, 2, 1, 4, 3, 4, 3, 4, 2, 6, 2, 5, 2, 4, 3, 3, 3, 4, 4, 2, 3, 1, 4, 4, 2, 2, 3, 3, 2, 3, 4, 4, 2, 5, 2, 2, 5, 5]",42,9.04
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_815,"[5, 3, 3, 4, 5, 6, 4, 4, 5, 3, 2, 1, 4, 3, 1, 3, 4, 3, 3, 2, 3, 1, 4, 2, 4, 6, 2, 1, 6, 2, 5, 4, 3, 2, 1, 2, 4, 2, 2, 4]",40,8.728
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_817,"[4, 4, 3, 4, 2, 3, 4, 4, 5, 1, 6, 4, 5, 3, 3, 4, 4, 4, 6, 3, 3, 2, 3, 4, 4, 2, 4, 4, 4, 5, 5, 5, 4, 2, 1]",35,7.386
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_818,"[5, 5, 2, 2, 4, 6, 5, 5, 4, 4, 3, 2, 1, 4, 4, 6, 5, 4, 4, 2, 4, 2, 2, 2, 3, 4, 6, 3, 2, 2, 2, 2, 1, 1, 3, 6, 1, 2, 2, 1]",40,8.262
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_819,"[6, 3, 6, 1, 3, 3, 1, 6, 1, 1, 3, 4, 2, 2, 1, 6, 4, 5, 5, 3, 4, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 2, 4, 4, 1, 2, 3]",39,7.761
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_822,"[1, 5, 4, 6, 1, 2, 5, 2, 2, 6, 3, 3, 3, 2, 3, 2, 2, 4, 2, 4, 2, 3, 1, 2, 4, 3, 1, 2, 3, 3, 1, 3, 2, 5, 5, 3, 4, 2, 3, 4, 6, 4]",42,9.11
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_823,"[6, 6, 1, 3, 6, 6, 4, 4, 6, 6, 5, 5, 1, 3, 4, 3, 4, 6, 3, 6, 6, 2, 3, 4, 3, 3, 4, 6, 2, 1, 1, 2, 4]",33,7.168
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_824,"[5, 4, 4, 4, 4, 3, 5, 6, 4, 4, 6, 4, 4, 6, 2, 4, 3, 3, 2, 4, 1, 4, 6, 2, 2, 2, 4, 3, 5, 6, 3, 6, 4]",33,7.166
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_826,"[6, 3, 3, 6, 4, 4, 6, 4, 6, 1, 4, 4, 5, 2, 3, 4, 5, 4, 4, 2, 2, 1, 4, 2, 2, 4, 6, 1, 4, 6, 4, 6, 2, 3, 2]",35,6.774
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_827,"[3, 6, 3, 3, 2, 1, 2, 2, 2, 3, 4, 4, 1, 2, 4, 5, 4, 1, 1, 4, 4, 1, 3, 2, 1, 2, 4, 3, 2, 3, 2, 2, 2, 2, 4, 4, 4, 4, 2, 1, 3, 3, 2, 1, 2, 4, 4]",47,8.254
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_828,"[6, 4, 2, 4, 3, 3, 3, 3, 4, 3, 2, 4, 3, 2, 1, 1, 1, 5, 5, 3, 3, 2, 4, 3, 2, 1, 2, 2, 2, 6, 3, 4, 3, 2, 1, 4, 2, 3, 3, 2, 2, 3, 5, 1, 4]",45,8.009
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_829,"[6, 3, 2, 1, 2, 3, 3, 5, 1, 6, 4, 3, 3, 1, 1, 2, 3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 1, 1, 4, 2, 2, 1, 1, 3, 2, 3, 3, 4, 2, 4, 6, 4, 4, 4, 4, 3]",46,8.191
CSEL_CAN_P2_B_hybrid_s1_st3000,int4,c4,c4_val_832,"[4, 5, 3, 3, 6, 6, 5, 4, 5, 4, 2, 1, 4, 4, 1, 2, 3, 1, 2, 2, 3, 1, 2, 2, 1, 1, 2, 1, 1, 4, 3, 1, 1, 1, 1, 2, 1, 3, 4, 2, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 4, 2, 2, 3]",54,10.642
