tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_802,"[6, 6, 3, 2, 4, 1, 4, 1, 2, 6, 4, 2, 3, 3, 5, 1, 6, 4, 5, 4, 1, 2, 4, 3, 4, 2, 4, 4, 3, 1, 4, 5, 2, 4, 6, 2, 5]",37,7.07
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_803,"[1, 2, 3, 1, 2, 5, 3, 3, 4, 1, 3, 4, 2, 2, 3, 2, 6, 5, 4, 2, 3, 4, 1, 2, 4, 5, 4, 2, 2, 4, 3, 2, 3, 3, 4, 4, 4, 2, 4, 2, 4, 4]",42,7.686
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_804,"[6, 4, 2, 2, 2, 6, 6, 5, 5, 3, 4, 2, 4, 4, 2, 3, 5, 4, 1, 2, 2, 4, 2, 2, 4, 2, 2, 3, 4, 3, 2, 4, 4, 6, 3, 2, 3, 4]",38,6.944
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_807,"[5, 6, 3, 6, 6, 6, 4, 6, 2, 2, 5, 3, 3, 2, 3, 2, 6, 2, 2, 3, 4, 5, 3, 4, 4, 4, 4, 2, 4, 4, 4, 2, 3, 2, 2]",35,7.26
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_808,"[3, 2, 4, 4, 3, 3, 2, 3, 2, 3, 5, 2, 1, 4, 1, 3, 1, 3, 5, 4, 1, 2, 2, 4, 1, 2, 5, 5, 5, 2, 2, 2, 3, 4, 2, 3, 3, 6, 4, 4, 6, 3]",42,9.18
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_809,"[4, 5, 2, 1, 6, 3, 4, 3, 3, 4, 1, 6, 4, 6, 4, 4, 6, 3, 2, 2, 4, 4, 2, 2, 3, 4, 2, 4, 3, 4, 4, 3, 4, 2, 1, 2, 5, 2]",38,7.598
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_812,"[2, 5, 6, 3, 2, 2, 3, 1, 2, 4, 4, 2, 3, 4, 6, 4, 2, 4, 5, 2, 4, 4, 4, 3, 6, 6, 6, 4, 3, 2, 1, 2, 3, 3, 4, 5, 2]",37,7.367
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_813,"[1, 2, 2, 3, 4, 1, 2, 1, 2, 2, 3, 4, 3, 4, 2, 4, 3, 5, 4, 4, 2, 3, 4, 4, 4, 4, 1, 5, 3, 3, 1, 3, 5, 2, 3, 2, 3, 3, 4, 3, 2, 6, 4]",43,8.436
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_815,"[5, 3, 3, 6, 2, 3, 5, 6, 5, 4, 2, 5, 3, 3, 2, 4, 3, 4, 4, 2, 1, 2, 2, 4, 4, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 1, 2, 2, 1, 2, 1, 1, 3, 5]",44,7.583
CSEL_CAN_P2_B_survival_s0_st1500,int4,c4,c4_val_817,"[4, 4, 3, 4, 2, 3, 4, 6, 3, 1, 4, 6, 4, 4, 4, 2, 2, 4, 1, 4, 6, 5, 4, 2, 4, 4, 3, 2, 4, 6, 2, 2, 4, 6, 3, 1, 3]",37,6.218
