tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_802,"[6, 4, 4, 3, 3, 1, 5, 6, 6, 4, 5, 2, 2, 1, 1, 1, 2, 2, 4, 1, 2, 5, 1, 5, 1, 3, 4, 3, 3, 4, 2, 1, 1, 1, 1, 1, 2, 1, 6, 4, 2, 2, 3, 4, 1, 3]",46,8.17
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 2, 4, 3, 6, 4, 4, 1, 4, 4, 3, 2, 4, 2, 1, 5, 5, 5, 2, 4, 2, 3, 4, 1, 4, 5, 3, 5, 4, 2, 4, 4, 2, 4, 3]",39,7.726
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_804,"[6, 3, 3, 2, 2, 6, 2, 1, 4, 6, 3, 2, 2, 5, 2, 4, 4, 4, 2, 2, 2, 1, 3, 1, 4, 4, 2, 4, 6, 4, 2, 3, 3, 3, 1, 3, 2, 3, 2, 1, 4, 2, 3]",43,8.638
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_807,"[6, 4, 6, 6, 6, 6, 2, 6, 1, 4, 2, 4, 2, 5, 4, 3, 5, 2, 2, 2, 3, 3, 2, 1, 5, 2, 4, 4, 4, 3, 3, 4, 3, 4, 5]",35,5.79
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_808,"[3, 2, 4, 4, 3, 3, 4, 1, 2, 3, 3, 2, 3, 4, 1, 3, 1, 2, 3, 4, 3, 2, 3, 4, 1, 2, 5, 5, 3, 1, 2, 4, 5, 4, 3, 3, 6, 4, 2, 1, 2, 2, 1, 5]",44,7.872
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_809,"[4, 5, 3, 6, 4, 3, 4, 6, 4, 6, 6, 3, 2, 6, 3, 5, 3, 4, 3, 4, 3, 1, 3, 5, 4, 3, 1, 4, 2, 2, 2, 4, 6, 2, 6]",35,5.952
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_812,"[2, 6, 5, 5, 2, 3, 1, 2, 4, 6, 4, 5, 4, 5, 2, 4, 3, 2, 2, 5, 1, 4, 6, 3, 4, 3, 3, 2, 2, 4, 3, 4, 3, 3, 4, 3, 3, 1]",38,6.5
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_813,"[1, 1, 3, 5, 3, 2, 1, 4, 3, 4, 3, 4, 2, 4, 3, 4, 2, 2, 5, 2, 3, 3, 1, 4, 3, 2, 3, 1, 4, 4, 3, 1, 4, 4, 2, 6, 3, 4, 5, 2, 6, 6]",42,7.14
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_815,"[5, 3, 3, 4, 5, 4, 4, 5, 5, 2, 2, 2, 2, 3, 3, 3, 4, 3, 4, 2, 3, 1, 2, 4, 6, 4, 4, 6, 6, 1, 2, 4, 3, 1, 1, 2, 4, 3, 4]",39,5.511
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_817,"[6, 3, 3, 2, 2, 3, 6, 3, 3, 2, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 3, 3, 2, 3, 6, 4, 2, 3, 6, 6, 6, 3, 1, 5, 2, 2, 5]",37,4.977
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_818,"[5, 4, 3, 2, 6, 6, 4, 6, 6, 3, 3, 4, 3, 4, 2, 3, 6, 2, 3, 4, 2, 2, 2, 3, 5, 3, 4, 1, 2, 3, 3, 2, 2, 1, 3, 6, 2, 1, 2]",39,5.19
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_819,"[4, 5, 2, 2, 4, 3, 3, 2, 1, 3, 2, 2, 3, 1, 3, 4, 1, 4, 4, 4, 3, 6, 1, 6, 4, 6, 2, 4, 3, 4, 3, 6, 2, 3, 3, 4, 2, 2, 4, 5]",40,6.172
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_822,"[3, 5, 6, 3, 2, 5, 2, 1, 5, 5, 1, 2, 2, 1, 3, 1, 1, 3, 2, 4, 3, 4, 2, 4, 3, 3, 4, 2, 3, 2, 2, 2, 1, 2, 4, 3, 1, 3, 6, 2, 3, 5, 3, 3, 2]",45,6.379
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_823,"[5, 5, 2, 3, 1, 6, 6, 5, 6, 2, 3, 4, 3, 4, 4, 5, 4, 3, 3, 6, 3, 3, 4, 3, 5, 4, 6, 2, 2, 2, 5, 4, 2, 3]",34,4.593
CSEL_CAN_T6_gs_conv_s1_st2500,int4,c4,c4_val_824,"[5, 3, 6, 3, 2, 2, 3, 6, 2, 4, 3, 6, 4, 6, 2, 3, 3, 3, 3, 3, 4, 2, 2, 4, 3, 3, 3, 3, 1, 4, 2, 3, 4, 4, 5, 4, 6]",37,6.29
