tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_802,"[4, 3, 1, 5, 2, 4, 3, 2, 2, 6, 6, 6, 6, 3, 2, 2, 3, 5, 1, 3, 3, 4, 3, 1, 4, 3, 5, 3, 5, 4, 1, 6, 5, 4, 6, 1, 2]",37,9.006
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 2, 4, 3, 4, 4, 2, 5, 3, 4, 4, 4, 3, 3, 5, 6, 3, 4, 2, 3, 3, 2, 3, 2, 4, 4, 1, 3, 3, 4, 4, 2, 1, 5, 3, 6]",40,7.903
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_804,"[6, 3, 3, 2, 2, 6, 2, 1, 4, 3, 5, 1, 2, 4, 2, 3, 6, 4, 4, 2, 3, 1, 1, 3, 4, 2, 4, 1, 3, 3, 3, 4, 4, 4, 3, 4, 3, 3, 4, 1, 1, 6]",42,8.426
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_807,"[5, 2, 4, 3, 4, 4, 5, 6, 4, 6, 1, 6, 1, 4, 3, 1, 4, 3, 4, 4, 3, 5, 4, 5, 2, 1, 1, 3, 2, 5, 2, 3, 5, 4, 4, 5]",36,7.362
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_808,"[3, 2, 5, 4, 4, 1, 4, 2, 2, 3, 4, 2, 2, 5, 4, 1, 6, 3, 2, 4, 4, 4, 2, 2, 5, 4, 3, 6, 2, 3, 2, 3, 5, 2, 3, 5, 4, 2, 2, 1, 2]",41,8.295
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_809,"[3, 4, 4, 4, 3, 5, 2, 4, 6, 6, 5, 6, 3, 3, 4, 3, 2, 2, 5, 2, 1, 3, 1, 2, 2, 4, 2, 4, 1, 4, 4, 2, 6, 4, 4, 3, 3, 5]",38,7.01
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_812,"[3, 6, 6, 3, 2, 3, 2, 1, 5, 4, 5, 4, 4, 4, 3, 4, 6, 1, 5, 6, 4, 6, 6, 5, 3, 4, 2, 1, 3, 4, 4, 4, 2, 2, 4]",35,6.145
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_813,"[1, 1, 3, 4, 3, 3, 1, 4, 3, 4, 4, 5, 4, 3, 4, 2, 2, 6, 4, 3, 4, 4, 2, 4, 4, 4, 2, 2, 6, 2, 2, 5, 4, 3, 6, 2, 6, 5]",38,6.262
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_815,"[5, 3, 3, 6, 4, 4, 4, 6, 4, 1, 3, 2, 2, 4, 1, 4, 1, 3, 5, 3, 4, 4, 5, 5, 3, 6, 2, 4, 1, 4, 3, 1, 3, 1, 1, 2, 2, 1, 3, 4, 4]",41,6.757
CSEL_CAN_T6_gs_hybrid_s0_st1500,int4,c4,c4_val_817,"[4, 4, 3, 1, 2, 2, 3, 6, 3, 3, 3, 4, 4, 3, 2, 4, 3, 2, 1, 1, 2, 2, 1, 5, 3, 4, 4, 2, 3, 5, 6, 4, 5, 3, 6, 2, 6, 6, 1]",39,6.596
