tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_802,"[6, 4, 4, 3, 3, 2, 4, 6, 4, 6, 1, 5, 2, 2, 1, 1, 4, 4, 1, 3, 3, 5, 5, 1, 4, 2, 1, 2, 4, 3, 2, 5, 1, 3, 2, 2, 1, 2, 2, 4, 1, 6, 2]",43,9.332
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_803,"[1, 2, 3, 3, 5, 4, 2, 3, 4, 2, 3, 3, 1, 4, 2, 2, 5, 2, 4, 3, 5, 4, 2, 3, 5, 4, 1, 4, 2, 4, 2, 2, 3, 4, 2, 3, 3, 4, 6, 4, 4]",41,8.115
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_804,"[6, 3, 3, 1, 3, 6, 2, 3, 2, 4, 3, 2, 2, 1, 4, 4, 2, 1, 1, 2, 3, 5, 4, 4, 4, 6, 1, 2, 3, 2, 4, 3, 1, 3, 3, 3, 2, 3, 5, 5, 3, 3, 4]",43,7.484
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_807,"[5, 4, 4, 4, 3, 5, 6, 5, 6, 2, 5, 4, 4, 3, 4, 3, 4, 5, 5, 2, 1, 2, 3, 2, 4, 2, 3, 2, 5, 4, 3, 4, 3, 5, 4]",35,6.207
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_808,"[3, 4, 4, 2, 4, 2, 4, 1, 4, 1, 1, 3, 3, 1, 6, 5, 6, 3, 5, 1, 4, 3, 1, 4, 1, 2, 1, 4, 4, 5, 4, 2, 3, 3, 3, 3, 6, 2, 4, 5, 2]",41,6.224
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_809,"[4, 4, 2, 5, 3, 4, 3, 4, 6, 3, 6, 6, 5, 6, 4, 5, 3, 4, 3, 4, 2, 5, 4, 4, 2, 1, 6, 2, 3, 2, 4, 4, 4, 6]",34,4.584
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_812,"[4, 4, 4, 5, 3, 4, 2, 4, 6, 4, 5, 4, 4, 3, 5, 6, 4, 6, 3, 5, 3, 3, 3, 4, 3, 2, 2, 4, 1, 4, 1, 2, 6, 3, 4]",35,6.769
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_813,"[1, 1, 3, 5, 3, 2, 1, 2, 2, 3, 4, 4, 5, 5, 4, 4, 3, 4, 2, 4, 3, 4, 3, 2, 3, 1, 3, 5, 4, 3, 5, 2, 4, 4, 4, 6, 2, 6, 5]",39,7.297
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_815,"[5, 3, 3, 6, 4, 4, 6, 4, 5, 4, 3, 4, 1, 4, 3, 6, 1, 4, 4, 2, 4, 5, 2, 1, 6, 4, 3, 4, 1, 2, 3, 1, 2, 1, 2, 3, 4, 3, 2]",39,6.669
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_817,"[4, 4, 4, 2, 2, 3, 6, 3, 3, 3, 4, 4, 3, 2, 3, 4, 2, 2, 1, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2, 4, 3, 3, 2, 3, 6, 3, 6, 4, 6, 6]",40,8.126
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_818,"[4, 4, 4, 2, 6, 6, 4, 6, 6, 3, 2, 1, 2, 5, 6, 3, 2, 3, 4, 4, 2, 4, 2, 2, 2, 3, 6, 6, 3, 3, 3, 4, 1, 1, 4, 6]",36,7.23
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_819,"[4, 4, 1, 1, 3, 4, 5, 3, 1, 3, 2, 2, 3, 1, 2, 5, 1, 5, 3, 4, 4, 5, 1, 5, 6, 6, 2, 3, 6, 4, 5, 4, 6, 4, 3, 3, 3, 2]",38,7.763
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_822,"[1, 5, 4, 4, 3, 3, 6, 1, 5, 5, 3, 3, 3, 3, 3, 4, 4, 3, 1, 3, 1, 2, 6, 3, 2, 3, 4, 2, 2, 4, 2, 5, 4, 3, 3, 2, 6, 2, 5]",39,5.44
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_823,"[4, 4, 1, 3, 4, 2, 6, 6, 4, 6, 4, 3, 4, 4, 6, 2, 4, 3, 6, 3, 2, 6, 6, 1, 1, 4, 2, 6, 2, 4, 3, 4, 2, 1, 5]",35,4.727
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_824,"[4, 3, 4, 3, 1, 4, 2, 6, 4, 4, 6, 2, 5, 3, 4, 3, 4, 4, 2, 6, 3, 3, 1, 3, 4, 5, 3, 5, 4, 2, 3, 5, 4, 5, 1, 4]",36,5.238
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_826,"[6, 3, 4, 5, 6, 6, 5, 6, 2, 3, 4, 6, 2, 4, 2, 4, 6, 4, 2, 4, 5, 6, 3, 5, 2, 5, 5, 3, 2, 2, 1, 5]",32,6.912
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_827,"[3, 6, 3, 3, 3, 2, 4, 4, 3, 4, 3, 4, 5, 4, 2, 4, 4, 4, 2, 2, 2, 4, 2, 2, 2, 4, 5, 4, 2, 4, 4, 4, 3, 4, 4, 4, 5]",37,7.927
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_828,"[3, 3, 4, 2, 1, 1, 3, 3, 4, 3, 2, 3, 4, 4, 1, 1, 4, 2, 4, 4, 3, 4, 1, 4, 3, 2, 2, 4, 1, 4, 4, 1, 1, 4, 6, 6, 2, 1, 3, 3, 4, 2, 5, 4]",44,7.99
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_829,"[6, 3, 2, 4, 3, 3, 5, 3, 4, 4, 3, 4, 3, 3, 2, 3, 4, 1, 2, 5, 2, 3, 4, 4, 6, 1, 1, 4, 6, 5, 3, 3, 4, 4, 4, 5, 4]",37,7.264
CSEL_CAN_T6_gsr5_conv_s1_st2000,int4,c4,c4_val_832,"[4, 4, 2, 3, 2, 4, 4, 6, 5, 6, 4, 2, 4, 2, 3, 6, 2, 6, 3, 3, 3, 2, 1, 2, 3, 3, 1, 1, 1, 3, 1, 3, 1, 2, 2, 2, 3, 1, 2, 2, 3, 4, 5, 1, 2]",45,7.812
