tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_802,"[6, 2, 4, 3, 1, 3, 4, 4, 5, 3, 3, 1, 4, 3, 3, 3, 2, 2, 1, 3, 6, 4, 6, 4, 2, 1, 3, 4, 4, 3, 3, 2, 3, 4, 3, 1, 4, 4, 4, 2, 4]",41,8.928
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 4, 2, 3, 4, 5, 4, 1, 3, 3, 4, 1, 2, 4, 1, 3, 6, 6, 6, 2, 3, 1, 4, 3, 2, 4, 2, 4, 4, 4, 1, 3, 3, 4, 4, 2, 6]",41,8.437
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_804,"[6, 3, 2, 1, 4, 6, 5, 6, 5, 3, 4, 4, 2, 4, 2, 3, 4, 2, 3, 3, 4, 4, 1, 2, 1, 3, 3, 3, 4, 4, 3, 2, 3, 3, 3, 1, 4, 4, 3, 4]",40,7.597
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_807,"[4, 3, 4, 3, 4, 4, 4, 5, 6, 6, 4, 4, 3, 4, 3, 3, 2, 3, 2, 2, 1, 3, 1, 3, 3, 2, 3, 5, 1, 2, 4, 3, 3, 2, 2, 6, 1, 2, 4, 4]",40,5.273
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_808,"[3, 3, 3, 4, 3, 3, 2, 3, 2, 6, 2, 2, 2, 3, 1, 3, 1, 3, 6, 3, 1, 2, 2, 4, 1, 2, 4, 5, 5, 2, 3, 2, 1, 2, 5, 2, 1, 2, 2, 1, 4, 4, 3, 2, 4, 3, 2]",47,6.434
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_809,"[4, 5, 3, 4, 3, 4, 4, 3, 4, 4, 4, 6, 5, 3, 2, 4, 4, 4, 6, 2, 2, 4, 3, 5, 2, 4, 4, 4, 3, 6, 4, 4, 4, 3]",34,5.99
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_812,"[3, 5, 6, 4, 2, 1, 3, 2, 4, 6, 6, 4, 4, 3, 5, 1, 5, 4, 3, 3, 4, 4, 5, 2, 1, 2, 4, 4, 2, 1, 2, 5, 5, 3, 4, 3, 3]",37,6.975
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_813,"[1, 3, 1, 5, 3, 2, 1, 4, 3, 4, 4, 5, 5, 4, 3, 4, 4, 3, 3, 3, 4, 3, 1, 4, 1, 5, 3, 4, 5, 3, 3, 4, 5, 6, 4, 6, 4]",37,7.991
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_815,"[5, 3, 3, 4, 5, 6, 4, 4, 5, 3, 2, 1, 5, 3, 5, 4, 3, 2, 3, 2, 2, 2, 2, 1, 3, 1, 6, 3, 2, 1, 3, 3, 4, 2, 2, 3, 4, 3, 4, 3, 2]",41,10.915
CSEL_CAN_T6_gsr5_hybrid_s0_st3000,int4,c4,c4_val_817,"[4, 4, 4, 2, 2, 3, 4, 5, 3, 3, 6, 5, 4, 3, 4, 2, 3, 3, 2, 6, 4, 1, 3, 2, 4, 6, 2, 2, 2, 3, 1, 1, 6, 4, 4, 5, 6]",37,7.665
