tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_802,"[6, 4, 4, 4, 2, 1, 5, 5, 6, 5, 5, 2, 2, 2, 1, 1, 2, 2, 4, 1, 4, 4, 4, 4, 1, 3, 3, 1, 2, 4, 3, 4, 2, 3, 3, 3, 2, 4, 6, 4]",40,7.364
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 4, 2, 4, 3, 5, 4, 1, 3, 4, 4, 2, 4, 1, 3, 5, 3, 4, 4, 4, 2, 4, 2, 1, 1, 2, 2, 4, 6, 3, 2, 2, 1, 3, 2, 3, 4, 3, 4]",43,7.435
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_804,"[6, 4, 1, 1, 4, 6, 6, 6, 4, 4, 4, 4, 2, 3, 4, 1, 2, 4, 1, 2, 1, 4, 3, 3, 2, 5, 1, 2, 3, 3, 2, 4, 2, 3, 2, 2, 2, 4, 2, 3, 4, 2]",42,7.303
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_807,"[5, 4, 2, 5, 6, 5, 6, 4, 6, 1, 5, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 1, 4, 3, 6, 4, 2, 2, 4, 3, 4, 2, 4, 4]",34,4.847
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_808,"[3, 2, 4, 5, 5, 4, 2, 2, 3, 4, 2, 2, 5, 4, 1, 6, 1, 2, 2, 3, 2, 3, 5, 1, 3, 5, 3, 5, 6, 2, 3, 2, 3, 5, 6, 4, 6, 2]",38,6.988
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_809,"[4, 5, 3, 5, 2, 5, 4, 3, 4, 6, 6, 6, 4, 1, 4, 6, 1, 2, 3, 2, 3, 3, 6, 4, 4, 5, 3, 4, 3, 4, 2, 5, 1, 4, 4]",35,6.246
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_812,"[1, 3, 6, 3, 5, 3, 3, 1, 1, 4, 4, 3, 6, 4, 4, 5, 3, 2, 4, 3, 2, 5, 3, 6, 2, 4, 2, 5, 5, 1]",30,5.198
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_813,"[2, 3, 5, 3, 2, 1, 4, 3, 4, 3, 6, 4, 3, 6, 2, 5, 3, 2, 4, 4, 3, 2, 3, 1, 4, 4, 3, 1, 4, 4, 2, 5, 4, 5, 4, 4, 4, 4]",38,7.217
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_815,"[5, 3, 3, 4, 4, 6, 4, 6, 3, 3, 2, 1, 4, 3, 3, 4, 3, 1, 4, 3, 2, 4, 2, 6, 3, 2, 1, 6, 2, 4, 2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 4, 3, 3]",43,8.8
CSEL_CAN_T6_ls_hybrid_s0_st2000,int4,c4,c4_val_817,"[4, 4, 3, 4, 2, 3, 4, 6, 3, 1, 6, 4, 5, 3, 3, 3, 2, 5, 6, 6, 2, 2, 3, 4, 4, 4, 2, 6, 2, 6, 6, 4, 6]",33,6.771
