tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_802,"[6, 3, 4, 2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 2, 3, 3, 3, 4, 6, 3, 1, 2, 3, 2, 3, 4, 4, 2, 5, 1, 6, 4, 3, 1, 2, 2, 4, 4, 4, 3, 3, 3]",42,9.251
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 2, 5, 2, 4, 5, 1, 4, 1, 3, 4, 4, 2, 5, 3, 4, 3, 5, 2, 4, 1, 3, 4, 2, 4, 3, 2, 3, 4, 4, 5, 3, 4, 5, 3, 4]",40,7.893
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_804,"[6, 3, 3, 2, 2, 6, 2, 3, 2, 5, 4, 2, 1, 2, 5, 3, 4, 5, 5, 2, 2, 1, 3, 1, 2, 1, 6, 6, 4, 3, 3, 3, 2, 3, 3, 2, 4, 2, 5, 3, 5]",41,8.101
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_807,"[5, 4, 5, 4, 4, 4, 6, 4, 6, 2, 6, 3, 2, 4, 1, 4, 3, 2, 6, 3, 4, 1, 4, 2, 3, 4, 2, 3, 1, 5, 3, 2, 4, 3, 4, 1, 4]",37,5.627
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_808,"[3, 2, 5, 3, 4, 2, 2, 3, 3, 3, 3, 3, 1, 4, 2, 3, 2, 5, 4, 5, 3, 3, 2, 3, 3, 4, 6, 4, 4, 2, 3, 4, 2, 3, 2, 5, 2, 2, 5, 2, 1, 2]",42,5.343
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_809,"[4, 4, 4, 4, 4, 3, 3, 5, 6, 3, 2, 3, 1, 6, 3, 2, 1, 2, 4, 4, 2, 4, 4, 6, 4, 6, 2, 5, 1, 3, 5, 4, 6, 1, 2, 4, 2]",37,4.724
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_812,"[2, 6, 5, 4, 1, 2, 1, 3, 2, 3, 6, 3, 6, 3, 3, 2, 1, 4, 2, 4, 1, 4, 3, 4, 4, 4, 2, 3, 6, 3, 5, 3, 3, 3, 3, 5, 5, 1, 2, 4]",40,5.107
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_813,"[1, 1, 3, 4, 4, 2, 1, 4, 3, 4, 3, 4, 2, 4, 3, 5, 5, 5, 3, 3, 4, 3, 2, 4, 5, 4, 3, 5, 3, 2, 6, 4, 6, 4, 6, 4]",36,4.614
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_815,"[4, 4, 3, 3, 5, 4, 6, 3, 6, 4, 2, 4, 4, 1, 2, 5, 2, 5, 3, 2, 4, 2, 6, 4, 2, 6, 1, 5, 4, 3, 1, 3, 1, 2, 3, 3, 2, 4]",38,6.348
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_817,"[4, 4, 2, 1, 4, 4, 5, 6, 3, 1, 4, 5, 2, 3, 4, 3, 3, 3, 4, 4, 6, 3, 2, 1, 1, 6, 4, 2, 5, 4, 2, 2, 6, 6, 3, 6]",36,7.095
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_818,"[5, 6, 3, 6, 6, 4, 5, 6, 2, 4, 3, 4, 1, 3, 3, 2, 6, 5, 2, 4, 2, 2, 2, 3, 4, 6, 3, 2, 2, 1, 2, 2, 3, 5, 3, 3, 1, 3]",38,6.882
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_819,"[4, 4, 1, 2, 2, 4, 4, 2, 2, 3, 3, 3, 6, 1, 2, 6, 6, 3, 3, 5, 4, 1, 4, 3, 3, 3, 3, 3, 4, 1, 2, 6, 4, 6, 4, 4, 3, 4]",38,7.417
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_822,"[1, 3, 3, 6, 4, 2, 3, 4, 2, 4, 2, 5, 2, 3, 2, 4, 3, 1, 1, 2, 4, 4, 4, 5, 3, 3, 2, 4, 1, 3, 3, 1, 1, 4, 2, 1, 3, 2, 3, 3, 3, 3, 2, 2, 2, 4]",46,9.663
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_823,"[5, 4, 3, 2, 2, 4, 5, 1, 4, 3, 6, 6, 6, 2, 4, 3, 3, 3, 3, 3, 4, 1, 5, 2, 4, 6, 3, 1, 3, 5, 2, 4, 4, 6, 2, 1, 6]",37,7.688
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_824,"[5, 3, 4, 4, 1, 4, 4, 6, 3, 3, 6, 6, 6, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 3, 2, 3, 4, 1, 2, 2, 3, 4, 3, 2, 5, 4, 4, 3, 3]",39,6.849
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_826,"[6, 3, 3, 4, 4, 5, 4, 4, 6, 4, 3, 5, 2, 3, 3, 1, 4, 3, 1, 2, 6, 2, 4, 6, 3, 3, 3, 6, 2, 6, 5, 2, 2, 2, 1, 2, 4]",37,6.389
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_827,"[4, 4, 4, 3, 3, 2, 5, 1, 2, 4, 4, 2, 4, 5, 2, 3, 1, 2, 3, 4, 3, 3, 4, 2, 4, 6, 3, 1, 2, 3, 2, 2, 3, 3, 3, 2, 5, 1, 3, 3, 2, 5, 3]",43,6.574
CSEL_CAN_T6_lsr5_hybrid_s2_st100,int4,c4,c4_val_828,"[5, 6, 4, 1, 1, 2, 3, 4, 3, 4, 4, 1, 3, 3, 3, 4, 3, 4, 4, 1, 2, 3, 4, 2, 2, 4, 2, 3, 4, 5, 2, 5, 3, 4, 1, 4, 3, 3, 5, 4]",40,5.308
