tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_down_proj,int4,c4,c4_val_802,"[1, 5, 2, 5, 2, 4, 2, 1, 2, 2, 5, 4, 2, 2, 4, 4, 3, 4, 1, 5, 1, 2, 2, 3, 4, 4, 3, 4, 3, 4, 3, 3, 4, 4, 5, 5, 4, 2, 1, 3, 3, 4]",42,6.581
CS_down_proj,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 2, 4, 3, 6, 3, 1, 4, 3, 4, 5, 5, 2, 1, 3, 6, 2, 2, 4, 1, 2, 3, 4, 4, 1, 5, 2, 4, 4, 5, 3, 4, 2, 6, 3, 4]",40,5.936
CS_down_proj,int4,c4,c4_val_804,"[1, 5, 6, 3, 3, 4, 4, 4, 3, 3, 6, 5, 3, 3, 2, 3, 4, 2, 2, 4, 2, 4, 2, 3, 3, 4, 2, 2, 2, 2, 3, 3, 1, 1, 2, 5, 2, 4, 2, 3, 3, 2, 4]",43,6.365
CS_down_proj,int4,c4,c4_val_807,"[1, 2, 2, 6, 2, 4, 6, 4, 4, 3, 3, 6, 2, 2, 4, 2, 4, 4, 4, 3, 3, 4, 2, 4, 5, 4, 4, 4, 2, 3, 5, 4, 4, 5, 3, 4]",36,5.065
CS_down_proj,int4,c4,c4_val_808,"[1, 2, 6, 4, 3, 3, 2, 4, 2, 6, 1, 2, 1, 4, 2, 4, 6, 1, 2, 2, 5, 2, 5, 2, 2, 4, 3, 6, 5, 4, 4, 4, 4, 5, 6, 4, 5]",37,4.123
CS_down_proj,int4,c4,c4_val_809,"[1, 2, 6, 2, 5, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 5, 1, 5, 1, 4, 2, 2, 6, 5, 2, 6, 3, 2, 4, 5, 2, 3, 4, 5, 3, 1, 4, 1, 1, 3]",40,4.414
CS_down_proj,int4,c4,c4_val_812,"[1, 6, 6, 4, 1, 2, 3, 4, 4, 4, 5, 3, 2, 3, 4, 3, 5, 4, 3, 2, 6, 4, 2, 2, 2, 3, 4, 2, 4, 4, 1, 3, 2, 3, 3, 4, 5, 4, 3]",39,4.282
CS_down_proj,int4,c4,c4_val_813,"[3, 2, 5, 3, 2, 1, 5, 2, 5, 4, 4, 5, 4, 4, 2, 4, 4, 2, 4, 5, 3, 4, 6, 3, 4, 5, 2, 4, 4, 3, 6, 4, 5, 2, 3]",35,3.847
CS_down_proj,int4,c4,c4_val_815,"[1, 2, 3, 5, 3, 3, 4, 2, 4, 4, 3, 6, 3, 2, 3, 6, 3, 2, 2, 2, 3, 4, 1, 3, 3, 4, 3, 1, 4, 3, 3, 3, 1, 1, 4, 2, 4, 5, 6, 2, 4, 5]",42,4.628
CS_down_proj,int4,c4,c4_val_817,"[1, 2, 4, 4, 4, 5, 4, 6, 3, 2, 3, 4, 2, 3, 4, 4, 3, 3, 3, 2, 6, 4, 2, 3, 4, 3, 3, 1, 4, 6, 2, 4, 6, 2, 2, 2, 5, 4]",38,4.319
CS_down_proj,int4,c4,c4_val_818,"[1, 4, 4, 2, 3, 6, 4, 4, 4, 3, 6, 4, 2, 5, 3, 3, 3, 2, 2, 4, 1, 2, 3, 3, 2, 3, 2, 3, 1, 4, 6, 1, 3, 1, 3, 1, 4, 3, 5, 4, 4]",41,4.558
