tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_embed,int4,c4,c4_val_802,"[1, 5, 2, 5, 2, 4, 2, 1, 2, 2, 5, 4, 1, 3, 4, 4, 3, 4, 1, 5, 1, 4, 5, 2, 4, 3, 4, 3, 4, 4, 5, 5, 5, 2, 2, 3, 2, 3, 2, 3, 6]",41,7.954
CS_embed,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 1, 4, 4, 4, 4, 1, 4, 1, 4, 6, 1, 5, 2, 2, 5, 4, 2, 5, 3, 4, 4, 4, 4, 3, 3, 3, 4, 2, 1, 4, 3, 4, 6, 5]",39,7.089
CS_embed,int4,c4,c4_val_804,"[1, 5, 6, 3, 4, 3, 4, 4, 3, 3, 6, 6, 2, 3, 2, 4, 3, 2, 5, 3, 5, 1, 4, 3, 3, 4, 4, 6, 1, 3, 5, 3, 6, 3, 4, 3]",36,6.648
CS_embed,int4,c4,c4_val_807,"[1, 2, 2, 4, 5, 4, 6, 3, 4, 2, 3, 6, 2, 2, 4, 6, 6, 2, 3, 3, 3, 2, 2, 4, 3, 3, 5, 2, 4, 4, 4, 2, 5, 2, 5, 6, 2]",37,6.659
CS_embed,int4,c4,c4_val_808,"[1, 2, 6, 4, 3, 3, 2, 4, 2, 4, 3, 3, 5, 3, 1, 3, 6, 4, 4, 5, 2, 5, 4, 5, 3, 1, 3, 5, 5, 4, 6, 1, 2, 4, 5, 4, 6]",37,5.02
CS_embed,int4,c4,c4_val_809,"[1, 2, 6, 3, 6, 4, 1, 4, 2, 2, 4, 3, 3, 6, 2, 5, 2, 3, 3, 3, 3, 4, 4, 4, 1, 6, 2, 3, 1, 5, 1, 5, 3, 5, 2, 2, 3, 3, 4, 2]",40,5.888
CS_embed,int4,c4,c4_val_812,"[1, 3, 6, 3, 4, 1, 2, 3, 6, 4, 4, 5, 4, 5, 6, 5, 4, 3, 5, 4, 3, 4, 3, 2, 6, 3, 3, 4, 3, 6, 4, 4, 1, 1, 4]",35,4.367
CS_embed,int4,c4,c4_val_813,"[5, 5, 3, 2, 4, 4, 2, 4, 3, 3, 6, 4, 5, 6, 5, 2, 2, 5, 5, 4, 6, 3, 3, 6, 4, 4, 4, 4, 5, 3, 6, 6]",32,5.64
CS_embed,int4,c4,c4_val_815,"[1, 4, 3, 3, 4, 4, 3, 4, 3, 3, 6, 6, 4, 4, 4, 5, 6, 4, 3, 3, 4, 2, 4, 6, 4, 1, 5, 2, 6, 2, 3, 1, 3, 1, 2, 2, 3]",37,6.678
CS_embed,int4,c4,c4_val_817,"[3, 4, 4, 4, 5, 4, 6, 3, 2, 4, 3, 2, 3, 4, 3, 4, 4, 2, 4, 5, 3, 2, 2, 4, 3, 4, 4, 6, 4, 6, 6, 5, 6]",33,5.684
CS_embed,int4,c4,c4_val_818,"[1, 2, 4, 4, 6, 5, 4, 4, 3, 6, 2, 3, 2, 5, 4, 3, 6, 5, 6, 4, 2, 2, 2, 3, 4, 4, 3, 2, 2, 3, 2, 1, 5, 3, 4, 1, 1, 2, 2, 4]",40,5.925
CS_embed,int4,c4,c4_val_819,"[1, 6, 5, 4, 6, 5, 3, 2, 5, 4, 3, 4, 6, 1, 4, 4, 1, 4, 2, 4, 2, 2, 3, 4, 4, 6, 4, 3, 3, 5, 4, 6, 3, 4, 2]",35,4.705
CS_embed,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 6, 1, 5, 5, 3, 3, 3, 4, 4, 6, 3, 1, 3, 6, 5, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 3, 4, 1, 2, 6, 1]",38,5.905
CS_embed,int4,c4,c4_val_823,"[1, 4, 4, 3, 2, 2, 4, 4, 2, 4, 5, 4, 6, 6, 6, 4, 6, 5, 4, 2, 6, 3, 3, 4, 4, 5, 1, 2, 4, 6, 1, 6, 4, 3]",34,5.296
CS_embed,int4,c4,c4_val_824,"[1, 5, 6, 2, 1, 3, 6, 3, 3, 3, 6, 4, 4, 6, 5, 6, 3, 2, 4, 4, 2, 5, 4, 3, 6, 5, 4, 4, 4, 4, 2, 4, 4]",33,4.958
CS_embed,int4,c4,c4_val_826,"[1, 4, 4, 3, 5, 4, 3, 2, 4, 2, 6, 5, 4, 5, 4, 2, 4, 3, 4, 4, 4, 2, 4, 6, 6, 2, 6, 4, 6, 5, 3, 1, 4, 4]",34,5.115
CS_embed,int4,c4,c4_val_827,"[4, 6, 2, 3, 3, 2, 6, 4, 4, 4, 4, 5, 5, 1, 2, 4, 4, 4, 1, 5, 5, 4, 6, 1, 1, 2, 2, 4, 5, 6, 4, 5, 4, 4, 4]",35,5.253
CS_embed,int4,c4,c4_val_828,"[1, 5, 6, 4, 3, 6, 5, 3, 3, 2, 3, 3, 6, 4, 3, 1, 5, 5, 4, 4, 5, 6, 1, 4, 2, 4, 1, 4, 1, 1, 4, 4, 2, 6, 4, 2, 1]",37,5.567
CS_embed,int4,c4,c4_val_829,"[4, 5, 2, 4, 3, 5, 2, 1, 6, 4, 3, 4, 3, 4, 4, 1, 2, 4, 3, 4, 3, 5, 4, 3, 1, 1, 4, 2, 4, 2, 1, 2, 5, 4, 1, 4, 5, 3, 4, 4]",40,6.092
CS_embed,int4,c4,c4_val_832,"[1, 4, 4, 2, 2, 5, 6, 2, 4, 5, 3, 3, 6, 3, 4, 3, 3, 4, 2, 5, 3, 4, 6, 4, 2, 3, 4, 5, 5, 4, 4, 2, 3, 6, 6]",35,5.466
