tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_gate_proj,int4,c4,c4_val_802,"[1, 4, 3, 5, 2, 3, 3, 1, 2, 2, 5, 4, 2, 2, 4, 3, 3, 5, 1, 3, 4, 2, 6, 2, 3, 1, 4, 4, 4, 4, 4, 1, 5, 4, 2, 3, 2, 4, 3, 3, 4, 1]",42,6.358
CS_gate_proj,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 1, 4, 4, 4, 4, 1, 5, 4, 4, 3, 5, 2, 2, 2, 3, 6, 3, 5, 2, 4, 1, 3, 4, 4, 6, 4, 4, 3, 4, 2, 1, 5, 2, 3]",39,5.591
CS_gate_proj,int4,c4,c4_val_804,"[1, 5, 6, 4, 3, 5, 4, 4, 2, 6, 4, 4, 4, 6, 3, 4, 2, 4, 5, 2, 1, 5, 2, 1, 4, 3, 1, 3, 4, 4, 3, 3, 4, 2, 2, 3, 4, 2]",38,5.508
CS_gate_proj,int4,c4,c4_val_807,"[1, 2, 2, 6, 3, 6, 6, 5, 2, 4, 6, 1, 6, 4, 4, 3, 6, 6, 4, 3, 4, 1, 1, 3, 1, 2, 2, 6, 2, 3, 4, 3, 4, 5, 2, 2, 6]",37,5.285
CS_gate_proj,int4,c4,c4_val_808,"[3, 4, 4, 2, 3, 3, 2, 4, 2, 4, 3, 3, 4, 1, 4, 3, 4, 2, 4, 3, 4, 2, 2, 5, 3, 6, 3, 3, 3, 5, 4, 3, 4, 4, 3, 4, 2, 2, 4]",39,5.098
CS_gate_proj,int4,c4,c4_val_809,"[1, 2, 6, 2, 4, 4, 4, 2, 4, 4, 4, 4, 2, 6, 5, 2, 4, 5, 4, 4, 3, 4, 2, 3, 4, 4, 5, 6, 4, 1, 3, 5, 5, 2, 6]",35,3.809
CS_gate_proj,int4,c4,c4_val_812,"[2, 6, 5, 4, 1, 2, 3, 6, 6, 4, 6, 4, 3, 1, 4, 5, 2, 4, 2, 3, 4, 2, 4, 2, 4, 4, 4, 3, 4, 2, 4, 4, 3, 4, 6, 6]",36,3.904
CS_gate_proj,int4,c4,c4_val_813,"[5, 5, 3, 2, 4, 4, 2, 6, 4, 6, 4, 6, 6, 3, 3, 2, 5, 4, 5, 6, 3, 3, 4, 5, 4, 5, 4, 5, 3, 6, 5]",31,3.376
CS_gate_proj,int4,c4,c4_val_815,"[1, 4, 3, 3, 4, 5, 2, 4, 4, 3, 6, 4, 3, 5, 4, 4, 5, 1, 4, 4, 2, 6, 3, 2, 1, 4, 4, 6, 3, 3, 1, 2, 3, 1, 2, 2, 3, 1, 2, 3, 4]",41,4.385
CS_gate_proj,int4,c4,c4_val_817,"[3, 4, 4, 4, 5, 4, 4, 4, 1, 2, 4, 3, 2, 3, 4, 3, 4, 4, 2, 2, 6, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 6, 4, 5]",36,3.895
CS_gate_proj,int4,c4,c4_val_818,"[1, 2, 4, 5, 6, 5, 5, 3, 2, 6, 4, 4, 6, 1, 4, 3, 4, 3, 4, 5, 5, 5, 3, 2, 3, 4, 4, 5, 2, 5, 4, 2, 3, 4]",34,3.684
CS_gate_proj,int4,c4,c4_val_819,"[1, 6, 4, 4, 1, 4, 3, 4, 3, 2, 4, 3, 2, 3, 4, 6, 3, 3, 5, 1, 4, 4, 3, 4, 2, 3, 4, 4, 3, 6, 2, 5, 3, 4, 5, 5, 6]",37,4.03
CS_gate_proj,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 6, 3, 3, 5, 3, 4, 2, 4, 4, 6, 2, 1, 1, 6, 6, 2, 2, 4, 2, 6, 2, 3, 3, 3, 3, 2, 3, 2, 5, 4, 4, 5]",38,4.17
CS_gate_proj,int4,c4,c4_val_823,"[1, 4, 5, 2, 3, 4, 2, 2, 2, 4, 3, 6, 6, 4, 3, 5, 4, 6, 4, 4, 5, 4, 2, 4, 5, 4, 2, 2, 5, 5, 6, 4, 4, 2]",34,3.706
CS_gate_proj,int4,c4,c4_val_824,"[1, 5, 6, 2, 1, 3, 6, 3, 3, 4, 6, 4, 6, 5, 6, 4, 3, 4, 6, 2, 2, 1, 4, 6, 4, 4, 6, 3, 2, 6, 3, 3, 3, 4]",34,3.707
CS_gate_proj,int4,c4,c4_val_826,"[1, 4, 4, 3, 5, 4, 3, 4, 4, 4, 6, 1, 4, 4, 4, 3, 5, 4, 5, 2, 5, 3, 3, 2, 2, 4, 3, 4, 2, 1, 2, 6, 2, 6, 4, 2, 4]",37,4.132
CS_gate_proj,int4,c4,c4_val_827,"[3, 6, 3, 3, 3, 2, 6, 5, 5, 2, 4, 5, 5, 1, 2, 3, 5, 4, 1, 6, 6, 3, 5, 1, 2, 1, 2, 4, 1, 1, 6, 1, 5, 4, 6, 4, 4]",37,4.0
CS_gate_proj,int4,c4,c4_val_828,"[1, 5, 4, 4, 2, 3, 6, 5, 3, 3, 3, 2, 3, 6, 4, 3, 1, 5, 4, 3, 4, 2, 5, 6, 4, 3, 5, 3, 3, 3, 2, 4, 5, 4, 4, 4]",36,3.969
CS_gate_proj,int4,c4,c4_val_829,"[1, 5, 3, 2, 3, 3, 1, 4, 3, 1, 4, 3, 3, 4, 2, 6, 3, 2, 2, 6, 2, 3, 5, 5, 6, 4, 5, 5, 6, 2, 2, 3, 4, 4, 3, 4, 1, 3]",38,4.131
CS_gate_proj,int4,c4,c4_val_832,"[1, 4, 4, 2, 1, 3, 3, 4, 2, 2, 3, 4, 4, 1, 3, 6, 1, 2, 3, 4, 4, 5, 2, 4, 4, 3, 4, 2, 5, 4, 4, 1, 5, 4, 4, 3, 2, 6, 6]",39,4.419
