tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_k_proj,int4,c4,c4_val_802,"[1, 5, 2, 5, 2, 4, 3, 2, 4, 4, 4, 4, 4, 3, 5, 1, 3, 4, 5, 2, 4, 3, 2, 3, 3, 1, 4, 4, 4, 4, 4, 6, 6, 4, 6, 1, 2]",37,7.256
CS_k_proj,int4,c4,c4_val_803,"[1, 2, 4, 2, 4, 3, 4, 4, 4, 4, 1, 4, 1, 4, 6, 1, 6, 1, 2, 2, 6, 5, 2, 5, 3, 4, 2, 4, 6, 4, 2, 2, 4, 6, 1, 4, 4, 2, 4]",39,7.112
CS_k_proj,int4,c4,c4_val_804,"[1, 5, 6, 3, 4, 3, 4, 3, 6, 2, 3, 6, 2, 4, 1, 3, 1, 5, 4, 4, 3, 2, 4, 4, 3, 2, 3, 3, 4, 3, 4, 4, 4, 5, 4, 3, 2, 6]",38,6.948
CS_k_proj,int4,c4,c4_val_807,"[1, 2, 2, 4, 5, 6, 6, 5, 2, 4, 6, 1, 6, 3, 3, 3, 6, 6, 4, 3, 2, 3, 2, 1, 3, 1, 2, 2, 6, 2, 4, 4, 4, 4, 4, 3, 4]",37,6.803
CS_k_proj,int4,c4,c4_val_808,"[1, 2, 6, 4, 3, 3, 2, 4, 2, 4, 3, 3, 5, 3, 1, 3, 6, 4, 4, 5, 2, 5, 6, 4, 2, 4, 4, 5, 3, 4, 6, 2, 5, 3, 4, 4]",36,5.972
CS_k_proj,int4,c4,c4_val_809,"[1, 2, 6, 3, 6, 4, 1, 4, 2, 2, 4, 3, 3, 6, 2, 5, 2, 3, 3, 3, 3, 4, 4, 4, 1, 6, 2, 3, 1, 5, 1, 5, 3, 5, 2, 3, 4, 1, 4, 2]",40,6.423
CS_k_proj,int4,c4,c4_val_812,"[1, 3, 6, 3, 4, 1, 2, 3, 6, 4, 4, 5, 4, 5, 6, 5, 4, 3, 4, 3, 4, 1, 4, 3, 2, 6, 3, 3, 4, 3, 6, 4, 4, 1, 1, 4]",36,5.581
CS_k_proj,int4,c4,c4_val_813,"[5, 5, 3, 2, 4, 4, 2, 4, 3, 3, 6, 4, 5, 6, 4, 3, 2, 5, 4, 5, 6, 3, 3, 6, 4, 4, 4, 3, 4, 5, 6, 6]",32,5.745
CS_k_proj,int4,c4,c4_val_815,"[1, 2, 4, 3, 5, 4, 4, 4, 4, 3, 6, 5, 2, 5, 4, 3, 6, 1, 4, 4, 2, 6, 3, 2, 1, 4, 4, 5, 4, 3, 3, 3, 1, 2, 3, 2, 2, 2, 2]",39,7.018
CS_k_proj,int4,c4,c4_val_817,"[3, 4, 4, 4, 4, 4, 6, 4, 3, 6, 2, 3, 4, 4, 4, 6, 4, 4, 4, 2, 2, 4, 3, 4, 4, 6, 4, 6, 6, 5, 5]",31,4.448
CS_k_proj,int4,c4,c4_val_818,"[1, 2, 4, 4, 6, 5, 4, 4, 3, 6, 2, 4, 1, 5, 3, 2, 3, 4, 3, 5, 4, 2, 2, 2, 3, 4, 6, 3, 2, 3, 3, 2, 6, 2, 3, 3, 2, 4, 4]",39,4.599
CS_k_proj,int4,c4,c4_val_819,"[1, 6, 4, 5, 6, 5, 3, 2, 5, 4, 3, 4, 4, 4, 3, 4, 1, 4, 2, 4, 2, 2, 3, 4, 4, 6, 2, 4, 4, 5, 4, 6, 3, 4, 2]",35,4.211
CS_k_proj,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 6, 1, 5, 5, 3, 3, 3, 4, 3, 6, 3, 1, 1, 4, 6, 4, 2, 4, 2, 5, 4, 3, 4, 4, 4, 1, 2, 1, 3, 2, 3, 4, 2]",39,4.601
CS_k_proj,int4,c4,c4_val_823,"[1, 4, 4, 3, 2, 2, 4, 4, 2, 4, 5, 4, 6, 6, 6, 4, 6, 5, 4, 2, 6, 3, 3, 3, 4, 4, 4, 4, 3, 4, 6, 3, 6]",33,4.029
CS_k_proj,int4,c4,c4_val_824,"[1, 5, 6, 2, 1, 3, 6, 3, 3, 3, 6, 4, 4, 6, 5, 6, 3, 4, 3, 5, 2, 3, 6, 4, 6, 4, 4, 4, 2, 6, 3, 4, 2]",33,4.263
CS_k_proj,int4,c4,c4_val_826,"[1, 2, 4, 3, 4, 3, 4, 3, 3, 2, 5, 4, 6, 2, 4, 2, 3, 4, 3, 4, 2, 4, 4, 3, 6, 4, 6, 4, 1, 4, 6, 4, 6, 4, 4]",35,5.494
CS_k_proj,int4,c4,c4_val_827,"[4, 6, 2, 3, 3, 2, 6, 4, 3, 5, 4, 5, 5, 1, 2, 3, 5, 4, 1, 5, 5, 4, 6, 1, 2, 4, 3, 2, 2, 1, 3, 4, 6, 4, 4, 1, 4]",37,5.706
CS_k_proj,int4,c4,c4_val_828,"[1, 5, 6, 4, 3, 3, 6, 4, 4, 2, 1, 5, 1, 4, 6, 4, 3, 4, 3, 3, 3, 2, 3, 2, 3, 1, 5, 2, 4, 5, 3, 4, 5, 2, 1, 6, 2, 3]",38,5.809
CS_k_proj,int4,c4,c4_val_829,"[4, 5, 2, 5, 4, 3, 2, 1, 4, 3, 3, 3, 4, 4, 6, 1, 4, 5, 3, 5, 5, 1, 4, 1, 5, 4, 2, 2, 2, 1, 2, 4, 4, 3, 4, 1, 4, 3, 4, 6]",40,6.14
CS_k_proj,int4,c4,c4_val_832,"[1, 4, 4, 2, 2, 5, 6, 2, 2, 3, 3, 6, 6, 2, 5, 4, 2, 3, 3, 3, 4, 3, 6, 4, 4, 4, 4, 3, 4, 4, 5, 3, 6, 5, 3]",35,5.335
