tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_q_proj,int4,c4,c4_val_802,"[1, 5, 2, 5, 2, 4, 2, 1, 2, 4, 4, 4, 4, 4, 3, 5, 1, 3, 4, 5, 2, 4, 3, 2, 4, 3, 4, 4, 4, 4, 4, 5, 4, 3, 4, 1, 6, 2]",38,7.119
CS_q_proj,int4,c4,c4_val_803,"[1, 2, 4, 2, 6, 1, 4, 4, 4, 4, 1, 4, 1, 4, 6, 1, 5, 2, 2, 5, 4, 2, 5, 3, 4, 5, 3, 6, 4, 3, 3, 4, 3, 4, 5, 4, 2, 6]",38,6.61
CS_q_proj,int4,c4,c4_val_804,"[1, 5, 6, 3, 4, 3, 4, 4, 3, 3, 6, 6, 2, 3, 2, 4, 4, 2, 2, 5, 2, 2, 2, 1, 2, 3, 4, 1, 3, 2, 4, 2, 3, 4, 3, 3, 4, 4, 3, 4]",40,7.115
CS_q_proj,int4,c4,c4_val_807,"[1, 2, 2, 4, 5, 6, 6, 5, 2, 4, 6, 1, 6, 3, 3, 3, 6, 6, 5, 4, 2, 2, 4, 2, 4, 4, 2, 2, 3, 3, 2, 3, 5, 4, 3, 4]",36,6.449
CS_q_proj,int4,c4,c4_val_808,"[1, 2, 6, 4, 3, 3, 2, 4, 2, 6, 2, 2, 4, 4, 2, 6, 1, 2, 3, 5, 2, 4, 2, 2, 6, 6, 6, 2, 6, 2, 4, 4, 5, 6, 4, 5]",36,6.394
CS_q_proj,int4,c4,c4_val_809,"[1, 2, 6, 3, 6, 5, 4, 2, 2, 4, 3, 3, 6, 2, 5, 2, 3, 3, 3, 1, 3, 4, 2, 5, 1, 5, 2, 1, 3, 1, 5, 1, 5, 3, 5, 2, 3, 4, 1, 4, 2]",41,6.575
CS_q_proj,int4,c4,c4_val_812,"[1, 3, 6, 4, 4, 2, 3, 6, 4, 4, 6, 5, 4, 6, 5, 6, 6, 5, 2, 5, 6, 6, 4, 2, 2, 2, 3, 1, 4, 5, 4, 5]",32,5.197
CS_q_proj,int4,c4,c4_val_813,"[5, 5, 3, 2, 4, 4, 2, 6, 4, 6, 4, 6, 3, 5, 2, 2, 2, 5, 5, 4, 6, 3, 3, 4, 4, 5, 5, 3, 4, 6, 6]",31,4.731
CS_q_proj,int4,c4,c4_val_815,"[1, 2, 4, 3, 5, 4, 4, 4, 4, 3, 6, 5, 2, 5, 4, 3, 6, 1, 4, 4, 2, 6, 3, 2, 1, 4, 4, 6, 3, 3, 1, 4, 1, 3, 1, 4, 2, 2, 2]",39,6.803
CS_q_proj,int4,c4,c4_val_817,"[3, 4, 4, 4, 5, 4, 4, 4, 1, 2, 4, 3, 2, 3, 4, 3, 4, 4, 2, 4, 5, 4, 3, 4, 3, 4, 2, 5, 4, 4, 6, 6, 6, 4]",34,6.106
CS_q_proj,int4,c4,c4_val_818,"[1, 2, 4, 4, 6, 5, 4, 4, 3, 6, 2, 3, 2, 5, 4, 1, 3, 4, 5, 5, 4, 2, 2, 2, 3, 4, 6, 3, 2, 3, 5, 3, 4, 3, 4, 3, 3]",37,6.157
CS_q_proj,int4,c4,c4_val_819,"[1, 6, 4, 4, 3, 5, 3, 4, 2, 5, 4, 3, 4, 3, 4, 4, 4, 2, 6, 4, 1, 2, 4, 2, 2, 3, 4, 4, 6, 4, 3, 3, 5, 6, 6]",35,5.027
CS_q_proj,int4,c4,c4_val_822,"[1, 3, 4, 6, 3, 3, 6, 3, 3, 5, 3, 3, 3, 2, 5, 6, 3, 1, 1, 3, 6, 5, 2, 4, 2, 5, 3, 3, 3, 2, 4, 2, 5, 4, 1, 2, 5, 4]",38,4.453
CS_q_proj,int4,c4,c4_val_823,"[1, 4, 4, 3, 2, 2, 4, 4, 2, 4, 6, 4, 6, 5, 5, 3, 3, 2, 5, 5, 1, 5, 5, 5, 4, 2, 2, 4, 2, 3, 3, 5, 4, 2, 4, 4]",36,4.323
CS_q_proj,int4,c4,c4_val_824,"[1, 5, 6, 2, 1, 3, 4, 6, 2, 3, 6, 4, 4, 6, 5, 6, 3, 4, 5, 5, 5, 4, 4, 2, 6, 6, 3, 6, 3, 2, 6]",31,3.66
CS_q_proj,int4,c4,c4_val_826,"[1, 2, 4, 3, 4, 3, 4, 3, 3, 2, 5, 4, 5, 2, 1, 4, 2, 3, 4, 3, 3, 3, 4, 3, 1, 3, 2, 3, 5, 3, 4, 3, 6, 2, 2, 3, 5, 3, 1, 4, 6]",41,4.861
CS_q_proj,int4,c4,c4_val_827,"[4, 6, 2, 3, 3, 2, 6, 4, 6, 2, 4, 5, 5, 1, 2, 4, 4, 4, 1, 5, 5, 4, 6, 1, 2, 3, 4, 4, 1, 6, 4, 6, 4, 3, 5]",35,4.216
CS_q_proj,int4,c4,c4_val_828,"[1, 5, 4, 4, 2, 3, 6, 5, 3, 3, 2, 3, 3, 6, 4, 3, 1, 5, 5, 4, 4, 5, 6, 1, 4, 3, 2, 3, 2, 3, 3, 3, 4, 6, 5, 4]",36,4.234
CS_q_proj,int4,c4,c4_val_829,"[3, 4, 4, 3, 4, 1, 4, 3, 1, 4, 4, 3, 2, 6, 4, 2, 3, 5, 1, 4, 4, 4, 4, 6, 4, 3, 4, 5, 4, 3, 4, 4, 6, 6, 1, 4]",36,4.24
CS_q_proj,int4,c4,c4_val_832,"[1, 4, 4, 2, 2, 5, 6, 2, 2, 3, 3, 6, 6, 2, 5, 4, 4, 4, 3, 4, 3, 6, 6, 5, 4, 4, 6, 2, 5, 4, 2, 4, 4, 4]",34,3.986
