tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CS_up_proj,int4,c4,c4_val_802,"[1, 4, 3, 5, 2, 4, 2, 1, 2, 2, 5, 4, 2, 2, 4, 4, 3, 3, 2, 5, 1, 4, 1, 3, 3, 4, 3, 4, 3, 3, 5, 5, 5, 6, 1, 2, 3, 2, 3, 2, 3, 6]",42,6.749
CS_up_proj,int4,c4,c4_val_803,"[1, 2, 4, 2, 5, 4, 3, 6, 4, 2, 4, 1, 4, 6, 1, 6, 1, 4, 3, 2, 4, 4, 5, 2, 5, 1, 1, 4, 6, 4, 3, 2, 2, 2, 4, 2, 5, 2, 2, 2, 3]",41,6.148
CS_up_proj,int4,c4,c4_val_804,"[1, 5, 6, 3, 4, 3, 4, 4, 3, 3, 4, 6, 2, 2, 3, 2, 4, 4, 2, 2, 6, 2, 4, 3, 2, 3, 4, 2, 5, 1, 2, 2, 5, 4, 1, 3, 3, 3, 4, 2]",40,5.932
CS_up_proj,int4,c4,c4_val_807,"[1, 2, 2, 4, 5, 6, 6, 5, 2, 6, 5, 6, 3, 3, 4, 6, 5, 1, 6, 3, 2, 4, 1, 4, 2, 2, 4, 2, 2, 5, 6, 4, 5, 3, 4]",35,4.029
CS_up_proj,int4,c4,c4_val_808,"[1, 2, 6, 4, 3, 3, 2, 4, 2, 6, 2, 2, 4, 4, 2, 6, 1, 2, 3, 4, 3, 5, 1, 3, 6, 3, 4, 3, 5, 3, 4, 4, 4, 1, 6, 3, 6, 3]",38,4.262
CS_up_proj,int4,c4,c4_val_809,"[1, 2, 6, 2, 4, 4, 5, 3, 3, 4, 4, 4, 3, 4, 5, 2, 2, 5, 5, 4, 4, 6, 4, 1, 2, 4, 5, 6, 5, 3, 4, 5, 6, 2]",34,3.796
CS_up_proj,int4,c4,c4_val_812,"[2, 6, 5, 4, 1, 3, 6, 6, 3, 4, 4, 3, 4, 5, 5, 6, 4, 5, 4, 5, 2, 2, 6, 4, 3, 4, 4, 2, 1, 4, 4, 2, 2, 4]",34,3.831
CS_up_proj,int4,c4,c4_val_813,"[5, 5, 3, 2, 4, 4, 2, 4, 3, 3, 6, 4, 5, 4, 4, 3, 2, 3, 4, 5, 4, 6, 3, 3, 4, 4, 5, 6, 5, 6, 6, 5]",32,3.639
CS_up_proj,int4,c4,c4_val_815,"[1, 4, 3, 3, 4, 5, 2, 4, 4, 3, 6, 4, 3, 4, 3, 2, 3, 6, 1, 4, 4, 2, 6, 6, 1, 4, 4, 5, 4, 3, 1, 2, 2, 2, 3, 4, 2, 3, 2]",39,4.356
CS_up_proj,int4,c4,c4_val_817,"[3, 4, 4, 4, 5, 4, 6, 3, 2, 4, 3, 2, 3, 4, 3, 4, 4, 2, 2, 6, 3, 4, 6, 4, 3, 3, 4, 3, 4, 4, 5, 4, 3, 5, 2]",35,3.96
CS_up_proj,int4,c4,c4_val_818,"[1, 2, 4, 5, 6, 5, 5, 3, 2, 6, 2, 3, 6, 4, 1, 1, 4, 3, 3, 5, 4, 5, 3, 2, 3, 4, 4, 5, 2, 4, 3, 4, 5, 3, 3, 4]",36,4.018
CS_up_proj,int4,c4,c4_val_819,"[3, 4, 2, 3, 3, 4, 4, 4, 3, 2, 6, 3, 3, 3, 5, 3, 6, 5, 2, 4, 2, 2, 3, 4, 4, 6, 2, 4, 4, 5, 4, 5, 6, 3, 4]",35,3.912
CS_up_proj,int4,c4,c4_val_822,"[1, 3, 3, 6, 4, 3, 5, 2, 1, 3, 2, 5, 6, 4, 4, 2, 2, 3, 2, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 2, 4, 4, 3, 2, 6, 4]",38,4.301
CS_up_proj,int4,c4,c4_val_823,"[1, 4, 4, 3, 2, 2, 4, 4, 2, 4, 5, 4, 6, 6, 6, 4, 6, 4, 3, 2, 2, 5, 5, 4, 4, 1, 4, 4, 4, 1, 4, 4, 6, 5]",34,3.837
CS_up_proj,int4,c4,c4_val_824,"[1, 5, 6, 2, 1, 2, 2, 4, 4, 3, 3, 6, 4, 4, 6, 5, 6, 4, 2, 3, 4, 4, 2, 5, 4, 3, 4, 5, 4, 4, 3, 3, 5, 4, 4]",35,3.963
CS_up_proj,int4,c4,c4_val_826,"[1, 2, 4, 4, 3, 3, 5, 3, 3, 4, 2, 4, 4, 2, 4, 3, 2, 2, 3, 4, 4, 3, 2, 4, 4, 1, 4, 3, 5, 2, 4, 4, 4, 3, 4, 1, 2, 5, 4, 6]",40,4.455
CS_up_proj,int4,c4,c4_val_827,"[4, 6, 3, 4, 1, 4, 4, 3, 3, 6, 5, 2, 2, 2, 5, 4, 4, 4, 6, 1, 2, 3, 4, 2, 2, 4, 4, 3, 3, 1, 4, 3, 1, 2, 3, 2, 6, 1, 6]",39,4.366
CS_up_proj,int4,c4,c4_val_828,"[1, 5, 4, 4, 2, 3, 4, 6, 4, 3, 2, 3, 3, 6, 2, 2, 4, 5, 2, 4, 4, 4, 2, 4, 3, 2, 1, 2, 2, 3, 3, 2, 6, 4, 2, 3, 3, 3, 1, 2, 1, 6]",42,4.841
CS_up_proj,int4,c4,c4_val_829,"[4, 5, 2, 3, 4, 5, 2, 1, 4, 3, 3, 3, 4, 2, 3, 1, 1, 4, 4, 4, 6, 4, 3, 3, 2, 3, 4, 2, 5, 4, 2, 3, 2, 3, 4, 4, 4, 4, 1, 2, 4]",41,4.618
CS_up_proj,int4,c4,c4_val_832,"[1, 4, 4, 2, 2, 5, 6, 2, 4, 5, 3, 3, 2, 4, 4, 4, 3, 3, 4, 1, 3, 5, 5, 4, 1, 3, 3, 2, 4, 2, 2, 3, 6, 6, 4, 1, 5, 2, 4]",39,4.954
